施設名,郵便番号,住所,電話番号,産科、婦人科又は産婦人科の標榜の有無,常時の緊急避妊薬の在庫の有無
福井総合病院,910-8561,福井市江上町第58号16番地1,0776-59-1300,有,有
福井県済生会病院,918-8503,福井市和田中町舟橋7番地1,0776-23-1111,有,有
医療法人 福井愛育病院,910-0833,福井市新保2丁目301番地,0776-54-5757,有,有
坂井市立三国病院,913-0042,坂井市三国町中央一丁目2番34号,0776-82-0480,有,有
福井勝山総合病院,911-8558,勝山市長山町2-6-21,0779-88-0350,有,有
公立丹南病院,916-0021,鯖江市三六町1丁目2番31号,0778-51-2260,有,有
財団法人  今立中央病院,915-0242,越前市粟田部町33-1,0778-42-1800,有,無
市立敦賀病院,914-0058,敦賀市三島町1丁目6-60,0770-22-3611,有,有
杉田玄白記念公立小浜病院,917-0078,小浜市大手町2-2,0770-52-0990,有,有
若狭高浜病院,919-2225,大飯郡高浜町宮崎87-14-2,0770-72-0880,有,無
福井総合クリニック,910-0067,福井市新田塚1丁目42-1,0776-21-1300,有,有
ホーカベレディースクリニック,918-8002,福井市左内町10号11番地,0776-36-0665,有,有
加藤内科・婦人科クリニック,910-0845,福井市志比口1丁目10-28,0776-53-0053,有,有
レディースクリニックつねざわ,910-0858,福井市手寄1丁目7-23 駅東さくらビル4階,0776-30-5233,有,有
平井医院,910-0019,福井市春山2丁目24-9,0776-22-6733,有,有
まきレディースクリニック,910-0064,福井市新田塚町101,0776-22-8989,有,有
打波外科胃腸科・婦人科,910-0017,福井市文京7丁目10-2,0776-26-7171,有,有
本多レディースクリニック,910-0004,福井市宝永4丁目2番18号,0776-24-6800,有,有
ふくのレディースクリニック,910-0842,福井市開発5丁目606番地,0776-52-3600,有,有
金津産婦人科クリニック,919-0621,あわら市市姫1-8-5,0776-73-3800,有,有
春日レディスクリニック,919-0465,坂井市春江町江留上新町8番地,0776-51-6080,有,有
栃木産婦人科医院,912-0053,大野市春日92-6,0779-66-2502,有,有
藤井医院,915-0841,越前市文京1丁目6-28,0778-23-3211,有,有
医療法人 文生会 井元産婦人科医院,915-0061,越前市堀川町6-25,0778-23-3541,有,有
加藤産婦人科,916-0022,鯖江市水落町1-4-21,0778-51-1285,有,有
産婦人科 鈴木クリニック,916-0041,鯖江市東鯖江町4丁目2-23,0778-52-6000,有,有
医療法人 松田マタニティクリニック,914-0815,敦賀市平和町7-3,0770-24-1131,有,有
産科・婦人科 井上クリニック,914-0814,敦賀市木崎49-24-1,0770-21-4103,有,有
中山クリニック,917-0026,小浜市多田2-2-1,0770-56-5588,有,有
