施設名,郵便番号,住所,電話番号,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯
医療法人瑞称会くれはの里レディースクリニック,563-0022,大阪府池田市旭丘2-4-17,072-748-1122,有,9:30-12:30(火・水・木・土)15:30-19:00(月・火・木・
箕面市立病院,562-0014,大阪府箕面市萱野5-7-1,072-728-2001,有,平日・土日祝日 0:00-23:59
共立さわらぎ産婦人科,562-0025,大阪府箕面市粟生外院6-3-5,072-726-1103,有,平日9:00-19:00、土曜9:00-16:00
松崎産婦人科クリニック,563-0055,大阪府池田市菅原町3-1ステーションN2階202号ー2,072-750-2025,産婦人科で有,平日9:00-12:00、16:30-19:30、土曜9:00-12:00
川口レディースクリニック,563-0048,大阪府池田市呉服町1-1サンシティ池田305,072-753-5888,有,月-土9:00-12:00、月、木14:30-17:30、火、金17:00-20:00
医療法人徳洲会吹田徳洲会病院,565-0814,大阪府吹田市千里丘西21-1,06-6878-1110,有,平日 9:00-17:00土曜 9:00-12:00
大阪府済生会吹田病院,564-0013,大阪府吹田市川園町1-2,06-6382-1521,有,日勤、当直(24時間可能)
大阪府済生会千里病院,565-0862,大阪府吹田市津雲台1丁目1-6,06-6871-0121,有,平日 9:00-17:00土曜 9:00-12:00※院外処方対応のみ
市立吹田市民病院,564-8567,大阪府吹田市岸部新町5-7,06-6387-3311,有,平日 8:30-11:00
医療法人ボンヌサンテ宇田レディースクリニック,565-0854,大阪府吹田市桃山台5丁目2-3アザール桃山台3階,06-6833-0558,有,月・火・水・金曜9:00-12:00、16:00-19:00土曜 9:00-12:00
飯藤産婦人科,564-0041,大阪府吹田市泉町5丁目6-6,06-6388-0141,有,月~土曜 9:00-13:00月・水・金曜 17:30-19:30
いとうレディースクリニック,565-0844,大阪府吹田市千里山霧が丘1-5-101,06-6369-7333,有,平日 9:00-12:30、15:00-19:00土曜 9:00-16:00
医療法人社団公仁会城クリニック,564-0031,大阪府吹田市元町26-10,06-6381-2281,有,月~土曜 9:00-12:00月曜 13:00-19:00火・水・金曜 16:30-19:00
医療法人琢生会神田マタニティクリニック,564-0063,大阪府吹田市江坂町3丁目31-5,06-6330-1135,有,月~金曜9:00-12:00、17:00-19:00土曜 9:00-12:00、14:00-16:00
医療法人琢生会神田マタニティクリニック分院,564-0053,大阪府吹田市江の木町5-26プラトゥビル3階,06-6339-7241,有,月・火・水・金・土曜9:30-13:00月・金曜 14:30-16:30月・水曜 17:30-20:00
医療法人優美会吉井クリニック,564-0051,大阪府吹田市豊津町1-21エサカ中央ビル5階,06-6388-0110,有,月・火・水・金・土曜10:00-13:00月・火・水・金曜 15:00-19:00
加藤レディースクリニック,565-0862,大阪府吹田市津雲台5丁目19-18千里つくも医療ビル2階,06-6871-1010,有,月・火・水・金・土曜9:00-12:00月・火・金曜 17:30-19:30
かまちレディースクリニック,565-0855,大阪府吹田市佐竹台1丁目4-1クリニックモール南千里 201号,06-6170-9129,有,月・火・木・金曜9:00-12:00、15:30-18:30水・土曜 9:00-12:00
医療法人玉樹会 玉田レディースクリニック,564-0018,大阪府吹田市岸部新町5-25健都メディカルビル2階,06-4860-6622,有,月・火・金曜9:30-13:00、16:00-19:30木曜 16:00-19:30土曜 9:00-14:30
西田ヒロ子クリニック,564-0063,大阪府吹田市江坂町1丁目21-39-303土泰第一ビル3階,06-6380-1651,有,月~土曜 9:30-13:00月・火・木・金曜16:00-19:00
林田レディースクリニック,565-0874,大阪府吹田市吉江台4丁目2-60北千里医療ビル5階,06-4863-5773,有,月・火・水・金曜9:30-12:00、14:00-17:00土曜 9:30-12:00
みさき医院,564-0011,大阪府吹田市岸部南2丁目1-6,06-6381-6022,有,月・火・水・金曜9:00-12:00、17:00-19:00土曜 9:00-12:00
吉本婦人科クリニック,564-0082,大阪府吹田市片山町1丁目3-5シルバーマンションII2階,06-6337-0260,有,平日 9:00-12:30、16:00-17:00土曜 9:00-13:00
医療法人 恵仁会 田中病院,567-0861,大阪府茨木市東奈良3-16-31,072-635-5831,有,平日 9:00から12:3017:30~19:30土曜 9:00~12:30
医療法人恒昭会 藍野病院,567-0011,大阪府大阪府茨木市高田町11番18号,072-627-7611,有,月(13:30~15:30)水( 9:00~12:00)金(13:30~15:30)
医療法人和倉会 サンタマリア病院,567-0884,大阪府茨木市新庄町13-15,072-627-3459,有,月~土:9:00~12:00月・火・木・金:14:00~17:00
社会福祉法人恩賜財団大阪府支部大阪府済生会茨木病院,567-0035,大阪府茨木市見付山2-1-45,567-0035,有,平日 9:00~17:00土曜日 9:00~12:30(第三土曜日を除く)
友紘会総合病院,567-0058,大阪府茨木市西豊川町25番1,072-641-2488,有,平日:9:00~17:00土日祝:9:00~12:00
