0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
ウィメンズクリニックグリーンヒル,861-8043,熊本県熊本市東区戸島西3-1-100,096-360-5511,http://www.w-greenhill.jp/,有(産婦人科),月・火・木・金(9:00-12:00、14:00-19:00)土(9:00-12:00、15:00-18:00),有
みやはらレディースクリニック,860-0047,熊本県熊本市西区春日7丁目21-15,096-325-1107,https://miyahara-lc.jp,有,月・火・水・金・土(9:00-18:00),有
米田産婦人科医院,861-1331,熊本県菊池市隈府497-1,0968-25-2589,なし,有,平日:8:30-18:30土曜:8:30-12:30,有
わせだ直子レディースクリニック,863-0021,熊本県天草市港町1631,0969-24-8711,なし,有,水・木・金(9:00-17:30)土(9:00-15:00)日(9:00-13:00),有
いんでレディースクリニック,862-0908,熊本県熊本市東区新生2-3-6,096-367-2333,http://www.hiji-in.com/,有,平日:9:30-18:00(水:9:30-13:00)土曜:9:30-16:00,有
医療法人 本原会産科婦人科 本原クリニック,863-0025,熊本県天草市亀場町亀川1962-12,0969-24-1175,http://www.motoharakai.jp/,有,24時間対応,有
清田産婦人科医院,861-0135,熊本県熊本市北区植木町一木178-4,096-273-4111,https://kiyotaclinic.or.jp/,有,"平日・土曜8:30-12:30, 14:00-17:30これ以外の時間帯は電話で対応後、医師在院中は診察可",有
片岡産婦人科医院,861-8006,熊本県熊本市北区龍田4丁目30番45号,096-339-1103,http://www010.upp.so-net.ne.jp/katasan/,有,月・火・水・木・土(9:00-13:00)水(9:00-13:00、14:30-17:00),有
愛甲産婦人科麻酔科医院,868-0006,熊本県人吉市駒井田町1951,0966-22-4020,http://aikouiin.com/,有,平日:9:00-13:00、15:30-19:00土曜:9:00-13:00,有
田代産婦人科医院,862-0971,熊本県熊本市中央区大江4丁目5-5,096-362-1414,https://tashiroclinic.jimdo.com/,有,月・火・水・金・土(9:00-12:30、14:00-18:00),有
田レディースクリニッ,867-0065,熊本県水俣市浜町3-6-21,0966-63-2019,http://www.mediqube.com/honda-lc/usr/pc/index.php,有,"火・水・木・金(9:00-12:00,14:30-18:00)土曜(9:00-12:00、13:30-16:30)",有
澁江産科婦人科,861-2118,熊本県熊本市東区花立3丁目29-20,096-365-5050,なし,有,平日:9:00-12:00土曜:9:00-12:00,有
阿蘇温泉病院,869-2301,熊本県阿蘇市内牧1153-1,0967-32-0881,http://asospahp.jp/,有,平日:9:15-17:00休日・夜間は電話連絡が必要(対応可)観光客などに365日24時間対応,有
坂本産婦人科クリニック,865-0025,熊本県玉名市高瀬35,0968-74-2045,http://www.sakamotolc.net/,有,月・火・水・金:9:30-17:30木・土:9:30-12:30,有
斎藤産婦人科医院,861-1307,熊本県菊池市片角294-2,0968-24-1177,http://saitolcl.com/,有,平日:9:00-18:00木・土曜:9:00-12:00,有
まつばせレディースクリニック,869-0502,熊本県宇城市松橋町松橋689番地の1,0964-34-0303,https://matsubase.or.jp/,有,24時間対応,有
よしむら産婦人科皮ふ科クリニック,860-0851,熊本県熊本市中央区子飼本町6番20号,096-345-8300,http://www.yoshimura-gdc.jp/,有,月・火・木・金(9:00-17:30)水(9:00-12:00)土(9:00-15:00),有
福田クリニック・産婦人科内科,869-5133,熊本県八代市日奈久中西町418,0965-38-0068,なし,有,平日:9:00-18:00土曜:9:00-12:30,有
医療法人英会産科婦人科うしじまクリニック,862-0962,熊本県熊本市南区田迎4丁目7の23,096-379-2727,https://ushijima-cl.com/,有,"月・火・木・金(9:00-12:30,14:00-18:00)水(9:00-12:30)土(9:00-12:30,13:30-15:30)",有
森川レディースクリニック,862-0950,熊本県熊本市水前寺6丁目31番1号,096-381-4115,http://www.morikawa-lc.or.jp/,有,"月・火・木・金(9:00-13:00,14:30-18:30)水・土(9:00-13:00)",有
八木産婦人科医院,862-0950,熊本県熊本市中央区水前寺1丁目19-5,096-383-2311,http://www.yagisanfujinka.jp/,有,月・火・金(9:00-12:30、14:00-17:30)水・土(9:00-12:30、14:00-16:00)木(9:00-12:30、14:30-19:00),有
医療法人西原会清ら内科産婦人科医院,861-8029,熊本県熊本市東区西原2丁目11-3,096-382-3388,http://www.facebook.com/kiyora.ob.gyn,有,平日:9:00-18:00水・土:9:00-13:00,有
,,,,,,,
ゆのはら産婦人科医院,860-0812,熊本市中央区南熊本5丁目9番3号,096-372-1110,http://yunohara.jp/,有,月・火・水・金・土 午前9:30-13:00午後14:00-18:30水曜午後は手術が入ることがあり,有
桑原産科婦人科医院,861-2101,熊本市東区桜木2-2-6,096-365-4103,http://kuwahara-obgyn.jp/about/,有,平日(9:00-12:00.14:00-17:30)金曜 午前のみ土曜(9:00-12:00.14:00-15:00),有
福田病院,860-0004,熊本市中央区新町2丁目2番6号,096-322-2995,http://www.fukuda-hp.or.jp/,有,月曜~土曜9:00~17:30,有
鬼塚クリニック,863-0046,天草市亀場町食場984-1,0969-24-3636,なし,有,月・水・木・金(9:00-18:00)火・土(9:00-13:00)時間外でも対応可能な場合あり,有
北熊本井上産婦人科医院,861-5517,熊本市北区鶴羽田1丁目14番27号,096-345-3911,http://www.inoue-sanfujinka.jp/,有,月・火・水・金(9:00-11:30・14:00-17:30)木(9:00-12:30)土(9:00-11:30・14:00-14:30),有
伊井産婦人科病院,862-0973,熊本市中央区大江本町8番15号,096-364-4003,https://www.ii-sanhujinka.com/,有,平日(9:00-18:00)土曜(9:00-13:00)日・祝は診療なし,有
山鹿市民医療センター,861-0593,山鹿市山鹿511,0968-44-2185,http://yamaga-medical-center.jp/,有,平日(8:30-17:15),有
かぐち女性のクリニッ,862-0924,熊本市帯山3丁目15-10,096-382-3600,https://sakaguchi-wclinic.com/,有,月・金・土(9:00-18:00)火・水(9:00-19:00),有
医療法人社団ソフィア愛育会 ソフィアレディースクリニック水道町,860-0844,熊本市中央区水道町9番5-1,096-322-2996,http://www.suidouchou-lc.jp/,有,月・火・木・金・土(10:00-14:00・16:00-19:00)水曜(10:00-13:00・15:00-18:00)日・祝(8:30-12:00),有
医療法人セント・ソフィア片岡レディスクリニック,866-0861,八代市本町3丁目3-35,0965-32-2344,http://www.kataoka-lc.com/,有,平日:9:00-18:30土曜:9:00-15:00,有
橋本産婦人科医院,866-0081,八代市植柳上町931,0965-32-4155,http://www.hashimoto-sanfujinka.com/,有,平日(9:00-12:30.14:00-18:00)土曜(9:00-12:30),有
産科婦人科まつおレディースクリニック,864-0041,荒尾市荒尾4160-257,0968-66-3110,http://www.matsuo-lc-com/,有,24時間,有
荒尾市民病院,864-0041,荒尾市荒尾2600番地,0968-63-1115,http://www.hospital.arao.kumamoto.jp/,有,平日:8:30-17:15それ以外も対応可能な場合あり,有
下川産婦人科医院,865-0064,玉名市中1806,0968-73-3527,なし,有,平日:9:00-17:30火曜・土曜:9:00-12:00,有
レディースクリニックなかむら,861-8039,熊本市東区長嶺南1-5-48,096-213-1555,https://www.lc-nakamura.com/,有,月・水・金(10:00-13:00・16:00-20:00)土(10:00-13:00-16:00-18:00)日(10:00-13:00),有
医療法人社団 博慈会ちが産婦人科医院,869-1102,菊池群菊陽町大字原水295-1,096-232-9131,http://www.web-clover.net/chiga-c/,有,月・火・金(9:00-11:30・14:00-17:30)水(9:00-11:30-15:00-17:30)土(9:00-11:30),有
うちの産婦人科,861-4113,熊本市南区八幡5丁目10-12,096-288-5566,http://www.uchino.or.jp/,有,月・火・水・金(9:00-12:00・14:00-18:00)木(9:00-12:00)土(9:00-13:00),有
末永産婦人科医院,860-0051,熊本市西区二本木2丁目10-13,096-352-7280,https://suenaga-obgyn.com/,有,月・木(9:00-19:00)火・水・金(9:00-18:00)土(9:00-15:00),有
医療法人 フェリチタ前田産婦人科医院,862-0963,熊本市南区出仲間7丁目2-32,096-378-8010,http://www.maedalc.com/,有,月・火・木・金(9:00-12:00・14:00-18:00)水・土(9:00-12:00),有
医療法人社団桑原産婦人科医院,866-0852,八代市大手町7-22,0965-32-3405,http://www.kuwahara-sanfujinka.net/,有,24時間対応可能,有
長嶺そよかぜクリニック,862-0920,熊本県熊本市東区月出6-5-130,096-285-4121,http://www.nagaminesoyokaze.com,有,月・火・木・金 (9:00-18:00)水・土 (9:00-12:00),有
