0,1,2,3,4,5,6,7,8
公表の希望の有無,基本情報,,,,,,,
,施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
有,愛知クリニック,901-2206,沖縄県宜野湾市愛知1-2-12,098-892-3511,,有,月曜・水曜  9:00~18:00火曜・金曜 17:30~20:30木曜・土曜  9:00~12:15,有
有,あいレディースクリニック,904-2153,沖縄県沖縄市美里4-17-7,098-937-1111,http://www.ai-ladies.com/,有,24時間対応可能,有
有,(医)海秀会 うえむら病院,901-2424,沖縄県中城村南上原803-3,098-895-3535,https://www.uemura-hp.or.jp,有,月・火・水・金・土9:00~13:00、 15:00~18:00,有
有,中部産婦人科医院,904-0012,沖縄県沖縄市安慶田1-3-20,098-937-8878,,有,平日 9:00~17:00土曜 9:00~12:00,有
有,当山産婦人科医院,901-2225,沖縄県宜野湾市大謝名5-20-8,098-897-5666,,有,9:00~18:00,有
有,医療法人なしろ 名城病院,904-2245,沖縄県うるま市赤道175-3,098-974-2121,http://www.nashiro.jp/,有,午前 8:30~11:00 妊婦検診のみ 4:30まで午後 13:00~16:00  (水曜・日曜・祝日を除く),有
有,古堅ウィメンズクリニック,901-2225,沖縄県宜野湾市大謝名165,098-890-1600,,有,平日 9:00~18:00 木曜休診土曜 9:00~17:00,有
有,美里女性クリニック,904-2155,沖縄県沖縄市美原2-25-3,098-929-3003,,有,平日  9:00~17:00土曜  9:00~12:00,有
有,医療法人彩の会 やびく産婦人科・小児,904-0111,沖縄県北谷町字砂辺306,098-936-6789,http://yabiku-ladys-clinic.jp,有,24時間対応可能,有
有,ゆいクリニック,904-2142,沖縄県沖縄市登川2444-3,098-989-3801,http://www.yuiclinic.com/,有,24時間,有
有,赤嶺レディースクリニック,901-2133,沖縄県浦添市城間4-18-2,098-877-8839,,有,月・火・木・金  09:00~13:00 14:00~18:00水・土       09:00~12:00,有
有,バークレー レディースクリニック,901-2104,沖縄県浦添市当山2-2-11 5階,098-873-1135,https://www/baraclays-lc.com/,有,月・水・木・土  8:30~11:30 13:30~17:00火        13:30~17:00病院からのメモ書き: 強制性交等の事案に関しては高次機関での診療としています。,有
有,石川産婦人科(医院),900-0021,沖縄県那覇市泉崎2-20-2,098-832-3351,無,有,平日 9:00~17:00(火・木休診)土曜 9:00~16:00(日曜・祝祭日休診),有
有,糸数病院,900-0012,沖縄県那覇市泊1-28-1,098-863-4103,http://www.itokazu-hospital.com/itokazu/,有,平日  9:00~18:00 (受付 17:30まで)土曜  9:00~12:00 (受付 11:30まで),有
有,伊波レディースクリニック,903-0806,沖縄県那覇市首里汀良町1-8-2,098-885-5435,www.iha-ladies.com,有,月・火・木・金・土  9:00~17:00,有
有,医療法人 祐の会 友利産婦人科,900-0024,沖縄県那覇市古波蔵2-25-24,098-855-1103,https://tomori-clinic.jp,有,平日 9:00~17:00土曜 9:00~12:00※その他の時間帯や休日・祝祭日は問合せ後、対応を検討します。,有
有,沖縄協同病院,900-8558,沖縄県那覇市古波蔵4-10-55,098-853-1200,http://oki-kyo.jp/,有,平日 9:00~17:00土曜 9:00~11:00,有
有,新田クリニック,900-0016,沖縄県那覇市前島1-14-3,098-863-0073,,有,平日9:30~18:00  水・土 9:30~13:,0有
有,Joy レディースクリニックくもじ,900-0015,沖縄県那覇市久茂地1-8-16,098-943-2500,,有,月曜から木曜 10:00~19:30土曜     10:00~13:30,有
有,奥平産婦人科医院,906-0013,沖縄県宮古島市平良下里1259-1,0980-72-3026,,有,平日      8:30~17:30木曜・土曜  8:30~12:30,有
有,まつをレディースクリニック,907-0002,沖縄県石垣市真栄里233-3,0980-83-4822,,有,月・火・水・金 8:45~11:30、14:45~17:30土 8:45~11:30,有
有,那覇市立病院,902-8511,沖縄県那覇市古島2-31-1,098-884-5111,http://www.nch.naha.okinawa.jp/,有,外来 平日      8:30~16:00急病センター     平日 18:00~翌日 8:00,有
有,琉球大学医学部付属病院,903-0125,沖縄県西原町字上原207,098-895-3331,http://www.hosp.u-ryukyu.ac.jp,有,終日,有
有,県立中部病院,904-2293,沖縄県うるま市宮里281,098-973-4111,https://chubuweb.hosp.pref.okinawa.jp,有,24時間 365日,有
有,公立久米島病院,901-3121,沖縄県久米島町字嘉手苅572-3,098-985-5555,http://kumejima.jadecom.or.jp,無,24時間,有
有,沖縄県立北部病院,905-8512,沖縄県名護市大中二丁目12番3号,0980-52-2719,ttp://www.hosp.pref.okinawa.jp/hokubu/section/specialty/ob,有,24時間 365日,有
