0,1,2,3,4,5,6,7
医療法人社団康知会 富岡産婦人科医院,270-0021,千葉県松戸市小金原6-8-11,047-342-1078,https://tomlc.com,有,平日9:00-16:30  土曜9:00-16:30,有
成尾医院,285-0846,千葉県佐倉市上志津1569-50,043-462-6400,0,有,月~土9:00-12:00   月・水・金14:00-18:00,有
たじま産婦人科,263-0043,千葉県千葉市稲毛区小仲台6-3-7,043-251-8197,http://www.tajima-lc.jp/,有,平日9:00-12:00  15:00-18:00  土9:00-12:00,有
塚本産婦人科,299-1152,千葉県君津市久保4-8-8,0439-55-5100,0,有,月・火・木・金9:00-11:30   14:00-16:30   水・土9:00-11:30,有
医療法人社団あけぼの会 遠藤内科医院,289-1115,千葉県八街市八街ほ836-2,043-443-3721,なし,有,月・火・水・金8:30-11:00   15:30-17:00   木・土8:30-11:00,有
河宇産婦人科,283-0063,千葉県東金市堀上35-1,0475-52-4371,なし,有,月・水・金9:00-12:00   15:00-17:30   火・木9:00-12:00  土9:00-12:00   15:00-17:00,無
野井レディースクリニック,260-0842,千葉県千葉市中央区南町2-14-14,043-261-4103,http://noi-ladies.jp,有,月・火・木・金10:00-13:00  15:00-18:00   土10:00-13:0015:00-18:00,有
中野レディースクリニック,277-0005,千葉県柏市柏2-10-11-1F,04-7162-0345,www.nakano-lc.com,有,月・水・金8:30-12:30   14:30-17:00   17:30-19:00   火・木8:30-12:30   14:30-17:00   土8:30-12:30,有
医療法人社団竹生会 小泉産婦人科医院,270-0013,千葉県松戸市小金きよしヶ丘1-12-16,,http://www.koizumi-clinic.or.jp/,有,平日9:00-17:00   火・土9:00-12:00   木・日・祝日:休診,有
作永産婦人科,297-0021,千葉県茂原市高師町1-5-5,0475-24-8822,sakunaga.jp,有,月・水・金9:00-12:30   14:00-16:30   火・土9:00-12:30,有
医療法人社団健生会 杉﨑クリニック,278-0005,千葉県野田市宮崎56-23,04-7125-1070,sugisaki-cl.or.jp,有,平日9:00-17:50   土曜9:00-12:30,有
医療法人社団 重城産婦人科小児科,292-0003,千葉県木更津市万石358,0438-41-3700,0,有,月・火・水・金・土9:00-18:00  (木曜・祝祭日休診),有
弓立産婦人科,286-0221,千葉県富里市七栄646,0476-93-8272,0,有,平日9:00-12:00   15:00-17:30   木・土・日10:00-12:00,有
駒医院,292-0056,千葉県木更津市木更津3-2-28,0438-23-5311,なし,有,月・水・金・土9:00-12:00   15:00-18:00   火・木9:00-12:00,有
医療法人社団三恵会 育生医院,297-0024,千葉県茂原市八千代2-12-14,0475-25-1251,web-clover.net/ikuseiiin/,有,月・水・金9:00-11:30   15:00-17:00    火・土9:00-11:30日・祝休診,有
医療法人社団順裕会 クリニック ソワニエ,270-2231,千葉県松戸市稔台7-2-18,047-308-3008,www.clinique-soigner.jp,有,月・水・木9:30-17:30   金・土9:30-12:30,有
医療法人社団マザー・キー なのはなクリニック,260-0856,千葉県千葉市中央区井鼻ー2-3,043-222-1135,http://nanohana-clinic.jp/,有,月・火・水・金9:00-12:00   15:00-19:00   土9:00-12:00,有
石黒医院,272-0133,千葉県市川市行徳駅前1-2-2,047-357-2196,0,有,平日9:00-17:45   土曜9:00-12:30   木・日・祝日休診,有
とけレディースクリニック,267-0066,千葉県千葉市緑区あすみが丘3丁目4番地3,043-295-4103,http://tokelc.com,有,平日9:00-16:30  土曜9:00-16:30,有
清川医院,294-0045,千葉県館山市北条1548,0470-23-7731,https://kiyokawa-iin.jp,有,全時間帯対応(17:00-9:00は一度電話下さい),有
医療法人社団豊修会 パークシティ吉田レディースクリニック,279-0014,千葉県浦安市明海5-7-5,047-316-3321,http://www.yoshida-ladies.com,有,月・火・水・金9:00-12:30   15:00-18:30   木・土9:30-12:30,有
アイレディースクリニック,270-0235,千葉県野田市尾崎1464,04-7137-7661,http://www.i-ladies.jp,有,月・火・水・金8:30-12:00   15:00-17:30   木8:30-12:00   土8:30-12:30,有
ファミール産院きみつ,299-1127,千葉県君津市郡1-5-4,0439-57-1135,http://www.famil-s-kimitsu.com/,有,平日9:00-17:00   木曜9:00-12:00,有
尾﨑クリニック,286-0011,千葉県成田市玉造7-24-4,0476-28-8511,0,有,火・水・金・土9:00-12:00   14:00-17:00,有
秋津産科婦人科,275-0025,千葉県習志野市秋津5-12-1,047-452-3541,0,有,月・火・水・金9:00-12:00   14:00-17:00   土・日9:00-12:00木曜・祭日は休診,有
医療法人社団鎮誠会 千葉きぼーるクリニック,260-0013,千葉県千葉市中央区中央4-5-1,043-201-6600,www.josn.jp,有,火~金9:00-12:00   14:30-17:30,有
医療法人社団 わたなべ医院,272-0803,千葉県市川市奉免町201-5,047-339-7033,http://watanabeiin.xsrv.jp/,有,月・火・木・金9:00-11:30   15:00-17:30   土9:00-11:3015:00-16:30,有
医療法人緑生会 あびこクリニック,270-1166,千葉県我孫子市我孫子4-3-25,04-7184-0321,www.abiko-clinic.or.jp,有,平日・土曜9:00-11:45   15:00-17:45   日曜9:00-11:45   祝日休診,有
木下婦人科医院,264-0004,千葉県千葉市若葉区千城台西2-4-5,043-237-7418,0,有,平日9:00-17:00   土曜9:00-12:00,有
医療法人社団志成会 ロイヤルクリニック,292-0045,千葉県木更津市清見台3-6-5,0438-25-6840,0,有,月・水・土9:00-12:00   火・木・金9:00-12:00   14:00-18:00,有
鈴木医院,277-0843,千葉県柏市明原4-3-19,04-7144-2972,なし,有,月~土9:00-11:30,有
有秋台医院,299-0125,千葉県市原市有秋台西1-7,0436-66-3838,http://yushudai-obgy.com/#,有,月・火・木・金9:00-11:30   15:00-17:30    土9:00-11:3015:00-16:30,有
医療法人社団恵生会 三枝医院,297-0015,千葉県茂原市東部台2-20-1,0475-25-2203,http://sites.google.com/view/keiseikai-saegusaclinic,有,平日(月・火・金)9:00-18:00   土曜9:00-17:00,有
千葉レディースクリニック,260-0015,千葉県千葉市中央区富士見1-14-11 常盤ビル4階,043-221-3000,http://chibaladiesclinic.com,有,月・火・金10:00-12:15   15:00-18:15   水・土10:00-14:15,有
オーククリニック フォーミズ病院,271-0072,千葉県松戸市竹ヶ花50番地の3,047-703-1112,http://www.oak-clinic.com/,有,月~火 9:00-17:00 木~土 9:00-17:00(水、日、祝日不可),有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊への対応可能時間帯,常時の緊急避妊薬の在庫の有無
成田赤十字病院,286-8523,千葉県成田市飯田町90番地1,0476-22-2311,http://www.narita.jrc.or.jp,有,平日9:00-17:00  土日9:00-17:00,無
社会医療法人社団木下会 千葉西総合病院,270-2251,千葉県松戸市金ヶ作107-1,047-384-8111,www.chibanishi-hp.or.jp,有,月~木8:00-10:30 金8:00-10:00,有
医療法人SHIODA 塩田記念病院,297-0203,千葉県長生郡長柄町国府里550-1,0475-35-0099,http://www.s-fmc.jp,有,月9:00-11:30  14:00-16:30  火9:00-11:30  水14:30-16:30  木9:00-11:30  14:00-16:30(第3・5休診)  金 休診 土9:00-11:30,有
千葉県済生会習志野病院,275-8585,千葉県習志野市泉町1-1-1,047-473-1281,http://www.chiba-saiseikai.com,有,平日9:00-17:00,有
独立行政法人地域医療機能推進機構 船橋中央病院,273-8556,千葉県船橋市海神6丁目13番10号,047-433-2111,https://funabashi.jcho.go.jp/,有,平日8:00-11:00(受付時間),無
医療法人財団明理会 行徳総合病院,272-0103,千葉県市川市本行徳5525番地2,047-395-1151,https://gyo-toku.jp/,有,平日8:30-16:30 金曜のみ16:30-翌8:30  土8:30-12:00,有
キッコーマン総合病院,278-0005,千葉県野田市宮崎100,04-7123-5911,http://hospital.kikkoman.co.jp/,有,平日8:00-15:00  土8:00-11:00,有
地方独立行政法人 さんむ医療センター,289-1326,千葉県山武市成東167,0475-82-2521,http://www.sanmu-mc.jp/,有,受付 平日8:30-11:30,有
千葉市立海浜病院,261-0012,千葉県千葉市美浜区磯辺3-31-1,043-277-7711,,有,平日8:30-11:30,有
医療法人社団保健会 谷津保健病院,275-0026,千葉県習志野市谷津4-6-16,047-451-0026,http://www.yatsu.or.jp/,有,平日8:00-17:00  土8:00-12:00,無
医療法人社団吉祥会 加藤病院,292-0014,千葉県木更津市高柳2-12-31,0438-41-2276,http://kato-hosp.jp/,有,月・水9:00-12:00   14:30-18:00   木・金・土9:00-12:0014:30-17:30   日9:00-11:30,有
