0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
日本赤十字社和歌山医療センター,640-8558,和歌山県和歌山市小松原通4-20,073-422-4171,https://www.wakayama-med.jrc.or.jp/,有,常時,有
秋月レディースクリニック,640-8328,和歌山県和歌山市木広町5-4-4,073-423-9888,http://akizuki-ladies.com/,有,月火木金9:00-12:00、15:00-18:00水土9:00-12:00,有
稲田クリニック,641-0004,和歌山市和田461,073-475-3131,https://inadacl.jp/,有,月火水金9:00-12:00、15:00-18:00木土9:00-12:00,有
花山ママクリニック,640-8322,和歌山県和歌山市秋月483,073-471-2250,http://www.curam.co.jp/mama/,有,月火水金9:00-12:00、15:00-19:00木土9:00-12:00,有
岩橋産科婦人科,641-0035,和歌山県和歌山市関戸1-6-44,073-444-4060,https://iwahashi-sanfu.com/,有,月火水金9:00-12:00、16:00-19:00木9:00-12:00、18:00-19:00土9:00-12:00,有
かさの医院,640-8314,和歌山県和歌山市神前372-1,073-471-1197,http://kasanoiin.com/,有,月火水金9:00-12:00、16:00-19:00土9:00-12:00,有
葵町クリニック,640-8273,和歌山県和歌山市葵町2-33,073-432-7876,http://aoichou.jp/index.html,有,月水金9:30-12:30、16:00-18:00火木9:30-12:30土9:30-12:30,有
かわばた産婦人科,640-8432,和歌山県和歌山市土入25-1,073-453-0600,http://www009.upp.so-net.ne.jp/kawagyne/,有,月火金9:00-12:00、15:30-16:30水土9:00-12:00,有
粉川レディスクリニック,640-8482,和歌山県和歌山市六十谷366-4,073-461-0349,http://kokawa-lc.jp/,有,月火水金9:30-12:30、16:00-19:00木土9:30-12:30,有
瀧口レディースクリニック,640-8341,和歌山県和歌山市黒田109-1,073-473-6220,,有,月~土9:00-13:00月火水金15:00-18:00,有
根来産婦人科医院,640-8137,和歌山県和歌山市吹上4-1-28,073-425-3351,,有,月水金9:00-12:00、16:00-19:00火木土9:00-12:00,有
はまだ産婦人科,649-6314,和歌山県和歌山市島230-2,073-462-0341,http://hama-san.com/,有,月火水金8:30-18:30土曜8:30-11:30,有
森女性クリニック,640-8323,和歌山県和歌山市太田1-10-13,073-488-7027,http://www.mori-ladies.com/,有,月火水金9:00-14:00火金15:30-19:00土9:00-12:00,有
やましたレディース・マタニティクリニック,640-8007,和歌山県和歌山市元寺町西ノ丁9,073-426-8111,https://yamashita-lmc.com/,有,月水金9:00-12:00、16:00-19:00火土9:00-12:00,有
藤永医院,640-8038,和歌山県和歌山市北町41,073-432-1200,0,有,平日9:00-12:00土曜9:00-12:00,有
海南医療センター,642-0002,和歌山県海南市日方1522-1,073-482-4521,http://kic-kainan-hsp.jp/,有,平日9:00-17:00,有
いくこレディースクリニック,642-0002,和歌山県海南市日方1501-7,073-482-0399,http://ikuko-ladies.jp/,有,月~土9:00-12:00月水金15:00-18:00,有
柳川レディースクリニック,642-0002,和歌山県海南市日方1519-1,073-482-0351,http://www.eonet.ne.jp/~yanagawa/,有,月火木金9:00-13:00、16:00-19:00水9:00-12:00土9:00-13:00,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
北山産婦人科クリニック,640-0401,和歌山県紀の川貴志川町丸栖662,0736-64-3048,http://www.kitayama-sanfujinkaclinic.or.jp/,有,常時(24時間)対応可,有
馬渕医院,649-6531,和歌山県紀の川市粉河2213,0736-73-2116,,有,月水金8:00-12:00、16:30-18:00第2・第4の土8:00-12:00,有
吉田クリニック,649-7113,和歌山県伊都郡かつらぎ町妙寺439,0736-22-5862,,有,平日8:30-17:00土8:30-12:00,有
橋本市民病院,648-0005,和歌山県橋本市小峰台2-8-1,0736-37-1200,https://www.hashimoto-hsp.jp/,有,平日8:30-17:00土日祝8:30-17:00,有
いこまレディースクリニック,648-0072,和歌山県橋本市東家1-2-25 サンライズビル1F,0736-39-8080,,有,月火水金8:30-20:00土日8:30-12:00,有
奥村マタニティクリニック,648-0072,和歌山県橋本市東家4-18-13,0736-32-0072,http://www.okumuraclinic.or.jp/maternity/,有,平日9:00-17:00土9:00-13:00,有
奥村レディースクリニック,648-0072,和歌山県橋本市東家4-18-13,0736-32-0072,http://www.okumuraclinic.or.jp/ladies/,有,月火水金9:00-12:00、15:00-17:45木土9:00-12:00,有
吉岡レディースクリニック,643-0034,和歌山県有田郡有田川町小島291,0737-52-7503,http://yoshioka-ladies.com/,有,月水金9:00-12:00、16:00-19:00火土9:00-12:00木16:00-19:00,有
くすばやし医院,643-0152,和歌山県有田郡有田川町金屋256-1,0737-32-2336,,有,平日9:00-12:00、16:00-18:00土9:00-12:00,有
ひだか病院,644-0002,和歌山県御坊市薗116-2,0738-22-1111,http://www.hidakagh.gobo.wakayama.jp/,有,平日・休日共に24時間対応,有
白浜はまゆう病院,649-2211,和歌山県西牟婁郡白浜町1447,0739-43-6200,http://www.hamayu-hp.or.jp/,有,平日8:00-17:00,有
榎本産婦人科,646-0031,和歌山県田辺市湊8-26,0739-22-0019,http://www.enomoto.or.jp/,有,月火水金9:00-12:00、17:00-19:00木土9:00-12:00,有
レディースクリニックばんどう,646-0022,和歌山県田辺市東山2-27-26,0739-25-0929,http://lcbandoh.jp/,有,月火水金9:00-18:00木土9:00-12:00,有
新宮市立医療センター,647-0072,和歌山県新宮市蜂伏18-7,0735-31-3333,http://www.hsp.shingu.wakayama.jp/,有,対応は24時間,有
いずみウィメンズクリニック,647-0033,和歌山県新宮市清水元1-6-33,0735-21-0311,http://www.izumi-w-clinic.jp/,有,月~土9:00-12:00月火水金15:00-18:00,有
矢島医院,647-0007,和歌山県新宮市別当屋敷町6-8,0735-22-2337,,有,平日9:00-17:00,有
KAY CLINIC,641-0007,和歌山県和歌山市小雑賀3丁目3-14,073-488-2246,https://kay-cl.com/,有,月・火(第1・3)木金 9:00~12:00月・火(第2・4・5)木金 9:00~12:,無(隣接薬局に在庫
ふじ戸台レディースクリニック,640-8451,和歌山県和歌山市中573-19ふじと台ステーションビルエスタシオン東棟4階,073-451-6058,https://fujitodailc.net/,有,月火水金土9:30~13:00月火水木金14:00~17:00,有
