0,1,2,3,4,5,6,7
緊急避妊に係る診療が可能な産婦人科医療機関等一覧,,,,,,,
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人友光会 友成医院,879-4413,玖珠郡玖珠町大字塚脇128-2,0973-72-0330,-,あり,月・火・木・金  9:00-17:30水       14:00-17:30土        9:00-12:00,あり
緊急避妊に係る診療が可能な産婦人科医療機関等一覧,,,,,,,
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
アンジェリッククリニック浦田,870-0933,大分市花津留2丁目10番2号,097-558-2020,https://www.angelicurata.jp,あり,月・火・水・金  9:00-12:0014:00-17:00木        9:00-12:00土        9:00-12:0014:00-15:30,あり
いしい産婦人科醫院,870-0952,大分市下郡北3丁目434番地2,097-569-7770,-,あり,平日(水曜除く) 9:00-18:00水曜・土曜    9:00-12:00,あり
医療法人大川産婦人科病院,870-0027,大分市末広町2-4-16,097-536-3511,http://www.okawa-hosp.com/,あり,平日 9:00-12:30、14:30-17:30土曜 9:00-12:30、14:30-16:30,あり
大川産婦人科・高砂,870-0029,大分市高砂町1番5号,097-532-1135,-,あり,平日 9:00-12:30、14:30-17:30土曜 9:00-13:30、14:30-16:30,あり
ひらかわ産婦人科医院,870-0254,大分市横塚2-4-5,097-592-1000,https://hirakawa-oita.jp/,あり,月・水・木・金  9:00-12:0014:30-18:00火・土      9:00-12:00,あり
貞永産婦人科医院,870-0003,大分市生石2-1-18,097-532-6327,sadanaga-ladies@nifty.com,あり,平日 9:00-17:30土曜 9:00-12:30,あり
医療法人あろは会さゆりレディースクリニック,870-0165,大分市明野北4丁目1番1号,097-535-7322,http://www.sayuriclinic.jp,あり,平日 9:00-18:00 水曜のみ9:00-12:30土曜 9:00:-14:00,あり
医療法人社団愛育会曽根崎産婦人科医院,870-0883,大分市大字永興149番地の3,097-543-3939,http://www.sonezaki-clinic.com,あり,9:00-17:00事前連絡があった方がよい,あり
医療法人宥和会大分府内レディースクリニック,870-0021,大分市府内町2-3-25コスモビル5F,097-535-1060,https://oita-funai-ladies-clinic.com/,あり,火・水・木・金 9:00-19:00(18:30受付終了)月曜 9:00-13:00(12:30受付終了)土曜 9:00-17:00(16:30受付終了),あり
つるさきクリニック,870-0104,大分市南鶴崎2丁目6番5号,097-527-2152,http://www.kakuyukai.com/,あり,月・火・水・金 8:40-18:00(昼休み12:30-13:30)木・土     8:40-12:30,あり
ヘレネ婦人クリニック,870-0035,大分市中央町1丁目3-12 大一ビル2階,097-532-3555,-,あり,平 日  9:00-13:0014:30-18:00土曜日  9:00-13:00,あり
