0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
学校法人関西医科大学関西医科大学総合医療センター,570-8507,守口市文園町10番15号,06-6992-1001,http://www.kmu.ac.jp/takii/,有,平日 8:30~11:30,有
医療法人慈心会栗林クリニック,571-0057,門真市元町4-5,06-6909-2060,http://Kuri-clinic.or.jp,有,月水金   9:30~12:3017:00~19:00木土    9:30~12:30,有
医療法人飯藤産婦人科,571-0030,門真市末広町2-7,06-6909-0815,http://iito.or.jp,有,平日 9:00~13:3018:00~20:00土   9:00~13:00,有
医療法人神谷産婦人科医院,571-0046,門真市本町25番8号,06-6908-5156,http://kamiya-clinic.or.jp,有,月火金 9:00~19:00水 9:00~13:00  17:00~19:00土 9:00~15:00,有
金子産婦人科,571-0068,門真市大倉町6番14号,06-6901-3631,http://www.kanekolc.jp/,有,月~土 9:00~12:00月・水・金 14:00~17:00火・木 17:00~19:00,有
桑名クリニック,570-0076,守口市滝井西町1-5-5,06-6993-0785,http://www.moriguchi-med.or.jp/kuwana/,有,月火木金土 10:00~12:0017:00~19:00水        17:00~19:00,有
医療法人徳洲会 野崎徳洲会病院,574-0074,大東市谷川2丁目10番50号,072-874-1641,https://nozaki.tokushukai.or.jp/,有,月・火・水・金 9:00~17:00木 9:00~12:00,有
医療法人仁久会 藤原産婦人科,576-0042,交野市梅が枝44番3号,072-892-0341,http://www.asahi-net.or.jp/~td6y-fjwr/profile.html,有,月・火・木・金・土 9:00~12:00,有
医療法人はと産婦人科,576-0022,交野市藤が尾4丁目3-16,072-891-4103,https://www.hatosanhujinka.jp/,有,月~金 9:00~12:00月・火・木・金 17:00~20:00,有
天の川レディースクリニック,576-0041,交野市私部西2丁目3番15号,072-892-1124,http://amanogawa-ivf.com/,有,予約制月・火・水(第1、3)・金・土9:30~12:15月 16:30~19:15金 16:30~18:15,有
医療法人 たかばたけウィメンズクリニック,574-0033,大東市扇町4番18号,072-873-6671,http://www.takabatake-cl.net/,有,月~土 9:00~12:30月・火・木・金 16:30~19:30,有
医療法人 小林医院 (HPには小林産婦人科クリニックと記載),574-0046,大東市赤井2丁目2番20号,072-872-0268,http://www.kobayashi-clinic.or.jp/,有,24時間対応可能。ただし分娩がある場合は診察時間外不可の場合もある。,有
医療法人三和会 福田産婦人科医院,575-0002,四條畷市岡山1丁目4-7,072-862-0621,http://www.fukuda-lc.com/,有,月~土 9:00~12:00月~金 18:00~20:00,有
ふくだクリニック,575-0051,四條畷市中野本町8-39,072-862-1156,http://web1.kcn.jp/dream/fukuda/,有,月~土 8:30~12:00月・木・金 16:30~19:30,有
江藤クリニック,583-0861,羽曳野市西浦1242番6号,072-956-8881,,有,月火水木金土 9:00~13:00月火木金 17:00~20:00,有
いしどレディースクリニック,583-0885,羽曳野市南恵我之荘1丁目1番29号,072-959-7123,,有,月火木土 8:30~13:00水 8:30~12:00月火水木 17:00~19:30,有
医療法人光仁幸会 西本産婦人科,580-0016,松原市上田3-7-25,072-331-0512,,有,月火水金土 9:00~12:00月火水金 16:30~19:30,有
医療法人平成会平松産婦人科クリニック,583-0024,藤井寺市藤井寺1-6-1,072-955-8881,,有,月火水木金土 9:00~13:00月火木金 17:00~20:00,有
医療法人 船内クリニック,583-0024,藤井寺市藤井寺1-9-8,072-955-0678,,有,月火水木金 9:00~12:00月火水木 17:00~19:00,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人 いとうレディースこどもクリニック,572-0857,大阪府寝屋川市打上中町13番1号,072-880-1503,http://www.ito-ladies-and-kodomo-clinic.com/,有,月~火・木~土9:30~12:00月~火・木金17:30~19:30土12:30~13:30夜間・休診日も対応可能,有
中嶋婦人科クリニック,572-0061,大阪府寝屋川市長栄寺町12番12号,072-813-8666,http://nakajima-fujinka.com/,有,月火木~土9:00~12:00月~金16:30~19:30,有
医療法人 西野レディースクリニック,572-0062,大阪府寝屋川市高柳栄町1番4号,072-800-8824,http://www.nishino-ladies-cl.com/,有,月~水・金~土9:30~12:00月~水・金16:00~18:30,有
真野医院,572-0067,大阪府寝屋川市宝町18-26,072-838-2320,,有,月~水・金~土9:00~12:00月~水・金18:00~20:00,有
医療法人 柳原医院,572-0043,大阪府寝屋川市錦町1-1,072-826-0476,,有,月~土9:00~12:30月水金17:30~19:00,有
渡辺産婦人科,572-0085,大阪府寝屋川市香里新町16-15,072-834-1179,,有,月~土9:00~12:00月・水・金16:00~19:00,有
医療法人桜花会 あきせウィメンズクリニック寝屋川院,572-0084,大阪府寝屋川市香里南之町20番20号グランフィール香里園3階302号,072-831-1115,http://neyagawa.akise-wc.com/,有,月~水・金~土9:00~12:00月・火・水・金16:00~19:00土14:00~16:00,有
堺市立総合医療センター,593-8304,堺市西区家原寺町1丁1番1号,072-272-1199,http://www.sakai-city-hospital.jp/,有,日曜・祝日 9:00~17:00,有
独立行政法人労働者健康安全機構 大阪労災病院,591-8025,堺市北区長曽根町1179番地3,072-252-3561,http://www.osakah.johas.go.jp/,有,平日8:15~17:00,無
耳原総合病院,590-8505,堺市堺区協和町4丁465,072-241-0501,http://www.mimihara.or.jp/sogo/,有,平日9:00-17:00土曜日9:00-13:00,有
吉川病院,591-8046,堺市北区東三国ヶ丘町4-1-25,072-259-0100,http://www.yoshikawabyouin.com,有,月曜~土曜 9:00-13:00月水木金 17:00-19:00土曜 14:00-17:00,有
池田産婦人科,590-0942,大阪府堺市堺区材木町東3丁1-20,072-228-1319,,有,月金 9:00~15:00、17:00~19:00水 9:00~15:00火土 9:00~12:00,有
今井医院,591-8037,大阪府堺市北区百舌鳥赤畑町4丁343-5,072-257-1682,,有,月水金 9:00~12:00、17:00~19:30,有
医療法人赤井マタニティクリニック,590-0103,大阪府堺市南区深阪南167,072-239-5988,akai-maternity.com,有,平日 9:00~11:45、17:00~19:00,有
医療法人泉谷診療所,590-0011,大阪府堺市堺区香ヶ丘町1丁8-9,072-227-6011,,有,月水土 9:00~12:00但し、土曜日は隔週,無
医療法人大平産婦人科,590-0141,堺市南区桃山台4-2-1,072-299-1103,https://www.ohira-ladies.com/,有,月金 9:00~20:00火木土 9:00~14:00水 17:00~19:00,有
医療法人甲潤会八木クリニック,590-0938,堺市堺区神明町西1丁1-17,072-233-5630,http://yagi-clinic.jp/,有,月金 9:30~12:30、18:00~20:00火水金土 9:30~12:30,有
医療法人甲潤会レディースクリニックやぎ,591-8023,堺市北区中百舌鳥町2丁39 クリスタルなかもず4F,072-259-1107,https://lc-yagi.com/,有,月火水金 9:30~13:00、16:30~17:00,有
医療法人沈沢医院,590-0974,堺市堺区大浜北町2丁1の30,072-223-5733,,有,月水金土 10:00~12:00月水金 17:00~19:00,有
医療法人竹山産婦人科,590-0113,堺市南区晴美台3-1-4,072-292-3500,https://www.takeyama-clinic.or.jp/,有,6:00~24:00(電話連絡のうえ対応),有
医療法人浜中産婦人科,590-0144,堺市南区赤坂台3-10-5,072-298-3535,https://hamanaka.or.jp/,有,平日 9:00~12:00月水金 17:30~19:00木曜日休診,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人瑞称会くれはの里レディースクリニック,563-0022,大阪府池田市旭丘2-4-17,072-748-1122,http://www.kurehanosato.jp,有,9:30-12:30(火・水・木・土)15:30-19:00(月・火・木・,有
箕面市立病院,562-0014,大阪府箕面市萱野5-7-1,072-728-2001,https://minoh-hp.jp/,有,平日・土日祝日 0:00-23:59,有
共立さわらぎ産婦人科,562-0025,大阪府箕面市粟生外院6-3-5,072-726-1103,http://www.sawaragi-hosp.jp/,有,平日9:00-19:00、土曜9:00-16:00,有
松崎産婦人科クリニック,563-0055,大阪府池田市菅原町3-1ステーションN2階202号ー2,072-750-2025,http://www.matsuzaki-clinic.com,産婦人科で有,平日9:00-12:00、16:30-19:30、土曜9:00-12:00,有
川口レディースクリニック,563-0048,大阪府池田市呉服町1-1サンシティ池田305,072-753-5888,https://kawaguchi-ladies.com,有,月-土9:00-12:00、月、木14:30-17:30、火、金17:00-20:00,有
医療法人徳洲会吹田徳洲会病院,565-0814,大阪府吹田市千里丘西21-1,06-6878-1110,https://www.suita.tokushukai.or.jp,有,平日 9:00-17:00土曜 9:00-12:00,有
大阪府済生会吹田病院,564-0013,大阪府吹田市川園町1-2,06-6382-1521,https://www.suita.saiseikai.or.jp,有,日勤、当直(24時間可能),有
大阪府済生会千里病院,565-0862,大阪府吹田市津雲台1丁目1-6,06-6871-0121,http://www.senri.saiseikai.or.jp,有,平日 9:00-17:00土曜 9:00-12:00※院外処方対応のみ,無
市立吹田市民病院,564-8567,大阪府吹田市岸部新町5-7,06-6387-3311,https://www.suitamhp.osaka.jp,有,平日 8:30-11:00,有
医療法人ボンヌサンテ宇田レディースクリニック,565-0854,大阪府吹田市桃山台5丁目2-3アザール桃山台3階,06-6833-0558,http://www.eonet.ne.jp/~bonnesante/index.html,有,月・火・水・金曜9:00-12:00、16:00-19:00土曜 9:00-12:00,有
飯藤産婦人科,564-0041,大阪府吹田市泉町5丁目6-6,06-6388-0141,http://www.iito.jp,有,月~土曜 9:00-13:00月・水・金曜 17:30-19:30,有(少量)
いとうレディースクリニック,565-0844,大阪府吹田市千里山霧が丘1-5-101,06-6369-7333,http://ito-lc.com,有,平日 9:00-12:30、15:00-19:00土曜 9:00-16:00,有
医療法人社団公仁会城クリニック,564-0031,大阪府吹田市元町26-10,06-6381-2281,http://www.jyo-clinic.jp,有,月~土曜 9:00-12:00月曜 13:00-19:00火・水・金曜 16:30-19:00,有
医療法人琢生会神田マタニティクリニック,564-0063,大阪府吹田市江坂町3丁目31-5,06-6330-1135,http://www.kanda-mc.com,有,月~金曜9:00-12:00、17:00-19:00土曜 9:00-12:00、14:00-16:00,有
医療法人琢生会神田マタニティクリニック分院,564-0053,大阪府吹田市江の木町5-26プラトゥビル3階,06-6339-7241,http://www.kandaclinic.com,有,月・火・水・金・土曜9:30-13:00月・金曜 14:30-16:30月・水曜 17:30-20:00,有
医療法人優美会吉井クリニック,564-0051,大阪府吹田市豊津町1-21エサカ中央ビル5階,06-6388-0110,http://www.yoshiiclinic.jp/,有,月・火・水・金・土曜10:00-13:00月・火・水・金曜 15:00-19:00,有
加藤レディースクリニック,565-0862,大阪府吹田市津雲台5丁目19-18千里つくも医療ビル2階,06-6871-1010,http://www.kato-ladies.com,有,月・火・水・金・土曜9:00-12:00月・火・金曜 17:30-19:30,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人 脇本産婦人科,543-0012,大阪市天王寺区空堀町1番19号,06-6761-5537,http://www.kcn.ne.jp/~wakimoto/,有,月・水・金 9:00-17:30火・土 9:00-12:00木日休診,有
宮原レディースクリニック,543-0045,大阪市天王寺区寺田町1丁目7番3号,06-4305-8806,―,有,平日9:00-12:00 15:00-18:00水土9:00-12:00,有
三好産婦人科,543-0021,大阪市天王寺区東高津町10番7号,06-6761-7236,―,有,平日・土9:30-13:00火水金17:00-19:30,有
医療法人曙光会 おおつかレディースクリニック,543-0054,大阪市天王寺区南河堀町9番40号,06-6776-8856,https://www.otsuka-clinic.jp/,有,木日以外9:30-12:30,有
小池レディスクリニック,556-0011,大阪市浪速区難波中2丁目3番3号森川医療ビル5F,06-6575-9323,http://koike-ladies-clinic.com/,産科・婦人科 有,平日9:30-13:00 15:30-18:30土9:30-13:00 15:30-18:30,有
医療法人 近藤産婦人科,555-0022,大阪市西淀川区柏里2丁目2番12号,06-6471-2103,―,有,平日9:30-12:30 16:00-18:30木・土9:30-12:30,有
かわばたレディスクリニック,532-0023,大阪市淀川区十三東2丁目5番15号アーリーアーク1F,06-6308-7660,http://www4.plala.or.jp/kwbtlc/,有,月-土10:00-13:00月・火・木・金16:30-19:30,有
医療法人 志紀会 希咲クリニック,532-0023,大阪市淀川区十三東2丁目7番8号十三東駅前ビル3階,06-6476-7233,https://kisaki-clinic.com/,有,月火木金9:30-12:30 15:00-19:00土9:30-12:30,有
レディース クリニック かたかみ,532-0011,大阪市淀川区西中島1丁目11番23号ユニティ北川口1階,06-6100-2525,https://www.katakami-lc.jp/,婦人科 有,11:00-18:30木土11:00-13:00,有
こおりたクリニック,532-0002,大阪市淀川区東三国5丁目15番27号,06-6394-0055,http://www.kohlita.com/,有,平日9:00-12:30 16:00-19:00土9:00-12:30,有
医療法人 斉藤女性クリニック,532-0003,大阪市淀川区宮原1丁目6番1号新大阪ブリックビル2階,06-6151-5582,http://www.saito-wc.com/,有,平日9:30-12:30 16:00-18:30土9:30-13:00,有
坂本産婦人科クリニック,533-0005,大阪市東淀川区瑞光4丁目12番36号,06-6326-4103,http://www.sakamoto-baby.com/,有,月水金9:00-12:0017:00-19:00水・土9:00-12:00木・日・祝 休み,有
医療法人ヒロレディースクリニック,533-0023,大阪市東淀川区東淡路4丁目30番2号イーズメディテラスII 4階,06-6990-5100,https://hilo-ladies-clinic.com/,有,平日9:30-12:30 16:00-19:00土9:30-12:30,有
医療法人 明青会 あやこレディースクリニック,537-0025,大阪市東成区中道3丁目16番15号ソレアード玉造 2階,06-6753-7416,http://ayako-clinic.com/,有,診療時間内,有
中山医院,537-0021,大阪市東成区東中本2丁目2番1号,06-6971-0801,―,有,月火水金9:00-13:00,有
前田診療所,537-0021,大阪市東成区東中本2丁目16番19号ロイヤルラフィーネ1F,06-6977-1955,―,有,平日9:30-18:30土9:00-12:30,有
藤上産婦人科クリニック,544-0021,大阪市生野区勝山南4丁目2番23号,06-6717-6033,―,有,診療時間内,有
医療法人光臨会 奥野クリニック,544-0011,大阪市生野区田島4丁目6番16号長田ビル2F,06-6751-5269,https://okuno-clinic.com/,有,平日9:00-19:00土9:00-12:30,有
ゆきおかクリニック,544-0034,大阪市生野区桃谷2丁目17番18号,06-6718-3939,https://yukioka-cl.com/,有,月火木金土9:00-18:00,有
医療法人圭香会梅嵜クリニック,535-0021,大阪市旭区清水5丁目13番22号,06-6958-3800,http://umezaki-clinic.my.coocan.jp/,有,平日9:30-12:30 16:30-19:30土9:30-12:30,有
医療法人 神吉産婦人科,535-0022,大阪市旭区新森5丁目4番10号,06-6956-1001,http://www.kanki.or.jp/,有,月火木金9:00-12:00 17:30-19:30,有
医療法人 岩田レディースクリニック,535-0003,大阪市旭区中宮4丁目9番19号,06-6951-7089,https://www.iwata-ladies.com/,有,月火木金9:00-12:00 17:00-19:00土9:00-12:00,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
