0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
あおば通りかずみクリニック,980-0804,宮城県仙台市青葉区大町1-1-5グレイス大町3F,022-724-7294,https://www.kazumi-clinic.com/,有,平日:9:00~12:00、14:00~16:00土曜:12:00~14:00,有
ウィメンズクリニック金上,981-1505,宮城県角田市角田字田町114-12,0224-61-2001,www.womensclinic-k.or.jp,有,診療時間時間内,有
おざわ女性総合クリニック,984-0073,宮城県仙台市若林区荒町192,022-222-9716,http://happy-ozawa.jp,有,月、火、水、金:8:30-18:00木、土:8:30-12:30,有
きたのはら女性クリニック,980-0803,宮城県仙台市青葉区国分町2-2-5 柴崎ビル8F,022-722-2077,http://www.kitanohara.com,有,月、火、木、金:12:00-14:00、16:00-20:00水、土:10:00-13:00、14:00-16:00日:10:00-12:30休診の土日有り注意休診日でもできる限り対応要メール,有
セイントマザークリニック,980-0824,宮城県仙台市青葉区支倉町1-31,022-263-8001,http://www.saint-mothers.jp,有,月~土:9:00~12:00、14:00~17:00※水・土曜日午後および日曜祝日は休診,有
中川記念ちか子女性クリニック,989-6162,宮城県大崎市古川駅前大通6-1-23,0229-23-0655,http://www.nakagawa-sanfujinka.jp/,有,月・火・木・金:9:00~17:30水・土:9:00~12:00,有
スズキ記念病院,989-2481,宮城県岩沼市里の杜3丁目5番5号,0223-23-3111,http://www.suzuki-hospital.jp/,有,平日:9:00~18:00 土曜:9:00~13:00,有
医療法人友仁会 松島病院,981-0215,宮城県宮城郡松島町高城字浜1-26,022-354-5811,www.matushimahospital.com,有,平日:9:00~16:30土曜:9:00~11:30日祝:休診,有
向仁会 永井産婦人科,980-0824,宮城県仙台市青葉区支倉町4-3,022-222-5582,http://www.nagai-obgyne.com/,有,月・火・木・金:9:00~12:30、14:30~17:30水・土:9:00~12:30,有
公益財団法人宮城厚生協会 坂総合クリニック,985-0835,宮城県多賀城市下馬2丁目13-7,022-365-5175,https://www.m-kousei.com/saka/about/clinic/message.html,有,平日:9:00~17:00、土曜:9:00-12:30,有
公益財団法人宮城厚生協会 坂総合病院,985-8506,宮城県塩釜市錦町16-5,022-365-5175,https://www.m-kousei.com/saka/,有,平日8:30-17:00、土曜8:30-12:30,有
千田医院,981-8002,宮城県仙台市泉区南光台南2-7-7,022-251-8256,0,有,月・火・木・金:9:00~17:30水:9:00-14:30土:9:00~11:30,有
村口きよ女性クリニック,983-0852,宮城県仙台市宮城野区榴岡4-2-3仙台MTビル2F,022-292-0166,http://www.muraguchikiyo-wclinic.or.jp/,有,診療受付時間内(新患受付は午前・午後とも1時間前に終了致します)9:00~12:30(月・火・水・金・土)14:30~17:00(月・金)14:30~17:00(火・水)休診日:木曜日・日曜・祝祭日・土曜日の午後,有
長池産婦人科,980-0021,宮城県仙台市青葉区中央3丁目4-2,022-222-5251,https://nagaike-clinic.com,有,月・火・木・金:9:00~18:00土:9:00~13:00,有
富谷医院,981-3304,宮城県富谷市ひより台1丁目45-1,022-358-2872,www.tomiyaiin.jp/,有,月~金:8:30~12:00、14:00~18:00土:8:30~13:00(日・祝日は休診),有
仙台中央レディースクリニック,982-0032,宮城県仙台市太白区富沢4丁目4-2,022-244-5558,,有,平日:9:30~11:30、14:00~17:30水・土:9:30~11:30,有
明石台レディースクリニック,981-3332,宮城県富谷市明石台2-13-1,022-772-8188,,有,平日:9:00~12:30、14:30~18:30土:9:00~12:30、午後14:30~17:00木・日・祝日:休診,有
八乙女レディースクリニック,981-3121,宮城県仙台市泉区上谷刈1-7-33,022-772-6020,,有,月・火・木・金:8:30~11:30、14:00~17:00水・土:8:30~11:30休診日/日曜日・祝日,有
齋藤産婦人科医院,986-0822,宮城県石巻市中央三丁目5-26,0225-22-0707,,有,平日:9:00~17:00木・土曜:9:00~12:30,有
しらゆりクリニック,986-0861,宮城県石巻市蛇田字新立野330-2,0225-22-3717,,有,月・水・木・金:9:00~11:45、13:30~17:15火:13:30~17:15土:9:00~12:45,有
うつみレディスクリニック,981-0501,宮城県東松島市赤井字八反谷地132-6,0225-84-2868,,有,"月・火・木・金:9:00~17:00水・土:9:00~12:30(第3,4,5(月)は休診)",有
やすこ女性クリニック,981-3332,宮城県富谷市明石台6丁目1-20,022-342-1255,http://yasuko-cli.jp/,有,"平日:9:00~12:30,14:00~18:00土:9:00~13:00",有
洞口・佐藤クリニック,981-1224,宮城県名取市増田1-5-12,022-382-2333,,有,平日:9:00~17:30(月曜日休診)土:9:00~12:00,有
医療法人社団結城産婦人科医院,987-0511,宮城県登米市迫町佐沼字小金丁22-5,0220-22-3252,http://yuuki.or.jp/,有,月・火・木・金:9:00~11:30水・土:14:00~17:00,有
北仙台レディースクリニック,981-0913,宮城県仙台市青葉区昭和町4-6ロイヤルオフィス北仙台3階,022-234-3541,,有,月・火・木・金:9:00~12:30、14:00~19:00水・土:9:00~12:30,有
山田医院,982-0803,宮城県仙台市太白区金剛沢3-14-33,022-245-5711,,有,平日:9:00~18:00水・土:9:00~12:00,有
ささき産婦人科クリニック,987-2216,宮城県栗原市伊豆4-6-60,0228-22-2412,https://sasakiob-gynclinic.com/,有,月・火・水・金:9:00~12:00、14:30~18:00木・土:9:00~12:00,有
宮上クリニック,989-1622,宮城県柴田郡柴田町西船迫2丁目7-1,0224-55-4103,http://miyagami.jp/,有,月~土:8:30~12:30月・水・金:14:00~17:30火:15:00~17:30,有
杜のレディースクリニック,980-0021,宮城県仙台市青葉区中央2丁目7-15 4階,022-711-2351,,有,平日:9:30~12:00、15:00~18:00土:9:30~12:00,有
笹森医院,980-0014,宮城県仙台市青葉区本町二丁目13-13,022-222-9081,http://www7a.biglobe.ne.jp/~sasamori-iinn/,有,月:9:00~10:00、14:30~18:00火・水・金:9:00~13:00、14:30~18:00木・土:9:00~13:00,有
青葉産婦人科医院,981-3135,宮城県仙台市泉区八乙女中央3丁目2-20,022-373-9811,,有,月・火・木・金・土:9:00~12:00、午後休診水:休診,有
仙台市急患センター,984-0806,宮城県仙台市若林区舟丁64-12,022-266-6561,http://www.sendai-emsf.jp/,有,日曜・祝日:9:45~17:00,有
佐々木悦子産科婦人科クリニック,982-0022,宮城県仙台市太白区鹿野本町11-21,022-246-7310,http://etsuko-cl.jp/,有,平日:9:00~18:00(※水曜日は9:00~17:00)土曜:9:00~14:00,有
はまざきウィメンズクリニック,983-0014,宮城県仙台市宮城野区高砂1-1-15 3階,022-388-8321,https://www.hama3711.jp/,有,月・火・木・金:9:30~18:00水・土:9:30~13:00,有
東北医科薬科大学病院,983-8536,宮城県仙台市宮城野区福室1-12-1,022-259-1221,http://www.hosp.tohoku-mpu.ac.jp/,有,平日:8:30~17:00,有
医療法人正悠会 八幡レディースクリニック,980-0871,宮城県仙台市青葉区八幡3丁目1-50,022-217-7825,http://website2.infomity.net/8070000044/,有,月・火・金:9:30~12:00、14:30~17:00水・土:9:00~11:30、14:00~16:00,有
みやぎ県南中核病院,989-1253,宮城県大河原町字西38番地1,0224-51-5500,https://www.southmiyagi-mc.jp/,有,24時間対応,有
T’sレディースクリニック,984-0032,宮城県仙台市若林区荒井3-26-1,022-288-1103,https://www.tslc.jp/,有,月・火・金:9:00~11:30、14:00~17:30木:9:00~11:30土:9:00~13:30,有
わたなべ産婦人科 内科・小児科,987-1304,宮城県大崎市松山千石字松山440,0229-55-3535,http://w-keyaki.clinic/,有,"月・火・木・金:8:30~11:30,14:00~17:00土:8:30~11:30",有
森産婦人科医院,988-0083,宮城県気仙沼市入沢4-5,0226-22-6808,,有,平日:9:00~17:00土曜:9:00~12:00,有
いけの医院,985-0004,宮城県塩釜市藤倉三丁目17-5,022-367-1110,http://www.ikeno-clinic.com/,有,月・火・木:9:00~12:00、14:30~18:00水・土:9:00~12:00、14:30~17:00,有
独立行政法人労働者健康安全機構 東北労災病院,981-8563,宮城県仙台市青葉区台原四丁目3番21号,022-275-1111,https://www.tohokuh.johas.go.jp/,有,平日:8:15~17:00,有
南三陸病院,986-0725,宮城県本吉郡南三陸町志津川字沼田14番地3,0226-46-3646,,有,金:13:20~15:30,有
上杉・五十嵐産婦人科医院,980-0011,宮城県仙台市青葉区上杉5-6-22,022-261-3231,http://www.kamisugi-igarashi-clinic.com/,有,月・火・木・金:9:00~18:00土:9:00~13:00水・日・祝日:休診,有
鬼怒川産婦人科女性内科医院,980-0004,宮城県仙台市青葉区小田原6丁目6-1,022-227-2205,http://www.kinugawasanfujinka.jp/,有,平日:9:00~18:00土曜:9:00~13:00(日曜祝日木曜は休診のため不可),有
登米市立登米市民病院,987-0511,宮城県登米市迫町佐沼字下田中25,0220-22-5511,https://www.city.tome.miyagi.jp/iryou/tomehp/,有,水・木:9:00~11:00、13:30~14:30,有
同済病院,981-1522,宮城県角田市佐倉字上土浮2番地,0224-63-0360,無,有,月火木金:9:00~15:00,有
医療法人五葉会 山本クリニック,989-2432,宮城県岩沼市中央1丁目3-12,0223-22-2630(代表)0223-22-2773(産婦人科直通),http://www.yamamoto-gni.jp/,有,平日:9:00~17:30土曜:9:00~12:30(木曜・日曜・祝日は休診),有
医療法人公孫樹会大里胃腸科内科婦人科医院,988-0043,宮城県気仙沼市南郷2-2,0226-23-7802,https://osato-clinic.com/,有,月~木:9:00~12:00、14:00~17:00(最終受付は終了30分前),有
公立刈田綜合病院,989-0231,宮城県白石市福岡蔵本字下原沖36番地,0224-25-2145,https://www.katta-hosp.jp,有,平日:8:30~17:00,有
わんや産婦人科医院,989-6161,宮城県大崎市古川駅南三丁目11-2,0229-21-0303,http://www.wanya.co.jp/,有,月・火・水・金:8:45~12:00、14:30~18:00木:8:45~12:00、14:30~17:30土:8:45~13:00,有
