0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
独立行政法人労働者健康安全機構富山労災病院,937-0042,富山県魚津市六郎丸992,0765-22-1280,http://www.toyamah.johas.go.jp/,有,平日8:30-17:00,有
富山県立中央病院,930-8550,富山県富山市西長江2-2-78,076-424-1531,https://www.tch.pref.toyama.jp/,有,平日8:30~17:00,有
富山赤十字病院,930-0859,富山県富山市牛島本町二丁目1-58,076-433-2222,http://www.toyama-med.jrc.or.jp/,有,平日: 午前 8:40~12:00午後 1:00~ 4:30夜間休日 : 二次救急輪番日,有
富山県済生会富山病院,931-8442,富山県富山市楠木33-1,0764-37-1111,http://www.saiseikai-toyama.jp/,有,平日 8:30-17:00,有
富山西総合病院,939-2716,富山県富山市婦中町下轡田1019,076-461-7700,http://toyama-nishi.jp,有,平日(月・火・木・金) 8:30~17:00水曜          8:30~19:30,有
かみいち総合病院,930-0391,富山県中新川郡上市町法音寺51,076-472-1212,https://www.kamiichi-hosp.jp/,有,平日8:45~12:00夜間はオンコールで対応可能,有
富山県済生会高岡病院,933-8525,富山県高岡市二塚387-1,0766-21-0570,http://www.takaoka-saiseikai.jp/,有,平日  8:15-11:0014:30-16:00夜間休日 二次救急輪番日,有
厚生連高岡病院,933-8555,富山県県高岡市永楽町5-10,0766-21-3930,http://www.kouseiren-ta.or.jp/,有,365日 24時間,有
独立行政法人地域医療機能推進機構高岡ふしき病,933-0115,富山県高岡市伏木古府元町8-5,0766-44-1181,https://takaoka.jcho.go.jp/,有,平日9:00-12:00(11:30まで受付),有
射水市民病院,934-0053,富山県射水市朴木20番地,0766-82-8100,https://hosp.city.imizu.toyama.jp/,有,月、火、木、金 8:15-11:00水 8:15-10:30上記時間に受付可能な場合,有
公立学校共済組合北陸中央病院,932-8503,富山県小矢部市野寺123,0766-67-1150,http://hokuriku-ctr-hsp.jp/,有,平日8:30~17:15,有
南砺市民病院,932-0211,富山県南砺市井波938番地,0763-82-1475,http://shiminhp.city.nanto.toyama.jp,有,平日の月・水・金曜日の9:00~11:00(婦人科外来診療時間帯に限る。休診等詳細は病院ホームページを参照してください。),有
佐伯レディースクリニック,935-0024,富山県氷見市窪660,0766-91-8855,http://saeki-lc.jp/,有,7:00-19:00,有
津田産婦人科医院,939-1355,富山県砺波市杉木4-69,0763-33-3035,http://www1.tst.ne.jp/tsudasan/,有,平日 9:00-12:00  14:00-18:00土曜 9:00-12:00,有
おとぎの森レディースクリニック,933-0826,富山県高岡市佐野1316-1,0766-20-7711,http://www.otoginomori.jp/,有,平日9:00-12:30 15:00-18:00 土曜9:00-12:30 15:00~17:00木・日祝日休診,有
井本産婦人科医院,930-0096,富山県富山市舟橋北町6-15,076-433-3517,http://www.imotoclinic.jp/,有,平日 9:00-18:00土曜 9:00-13:00木曜日・日曜・祝日 休診,有
医療法人社団藤聖会 女性クリニックWe富山,939-8204,富山県富山市根塚町1-5-1,076-493-5580,http://www.we-toyama.jp,有,月・水8:30~17:00 火・金8:30~19:00 木8:30~12:30土8:30~13:30 休診日:木土曜午後・日曜・祝日・第4土曜日完全予約制につき事前に電話予約必要,有
こうちウィメンズクリニック,937-0041,富山県魚津市吉島1-8-10,076-433-3517,https://www.kochi-clinic.com/,有,平日 9:00-12:30  15:00-19:00木曜・土曜 9:00-13:00日曜・祝日 休診,有
医療法人社団吉本レディースクリニック,930-0864,富山県富山市羽根511,076-422-2000,"https://www,yoshimoto-lc.com",有,月・火・木・金(9:00~18:00)水・土(9:00~12:00),有
かんすいこうえんレディースクリニック,930-0804,富山県富山市下新町18-3,076-431-0303,http://kansuikouenlc.com/,有,月、火、水、金 9:00-12:00、15:00-18:00木、土 9:00-12:00,有
あいARTクリニック,933-0813,富山県高岡市下伏間江572,0766-27-3311,http://www.i-art-clinic.jp/,有,診療時間内常時対応可能,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
産婦人科内科金子医院,939-1732,富山県南砺市荒木1351-1,0763-52-0800,無し,有,平日 8:30-18:00木曜土曜 8:30-12:00,有
八木産婦人科医院,930-0068,富山県富山市西四十物町2-18,076-424-7533,http://yagi-san.jp/,有,月火水金 9:00-12:00  14:30-18:30木曜 9:00-12:00土曜 9:00-12:00 14:30-16:30,有
レディースクリニックむらた,939-0332,富山県射水市橋下条1483-1,0766-57-4141,http://www.lc-murata.com/,有,月火水金土 9:30-12:30  15:00-18:30,有
吉江レディスクリニック,933-0014,富山県高岡市野村1213-1,0766-26-1103,www.yoshie-l.jp/,有,平日 午前 8:45~12:30午後15:30~18:30土曜 午前 8:45~12:30(休診日:土曜午後・日曜・祝日),有
あわの産婦人科医院,939-0626,富山県下新川郡入善町入膳229-3,0765-72-0588,http://www.awano-clinic.com/,有,24時間,有
なかしま産婦人科医院,930-0952,富山県富山市町村2-70,076-424-8800,https://nakashima-obgyn.com/,有,月火木金 9:00-12:00  14:30-18:00水曜土曜 9:00-12:00,有
山岸産婦人科,937-0046,富山県魚津市上村木2-18-28,0765-24-5878,0,有,土曜 8:00-13:00,有
藤田クリニック,939-0234,富山県射水市二口458-15,0766-52-3515,0,有,月火水金 9:00-17:30土曜 9:00-12:30,有
医療法人社団 秀林会吉見病院,936-0052,富山県滑川市清水町3番25号,076-475-0861,http://yoshimi-hospital.jp,有,月・火・金・土(第3以外)9:00~12:00月・火・木・金 15:00~18:00,有
黒部市民病院,938-8502,富山県黒部市三日市1108番地1,0765-54-2211,https://med-kurobe.jp/,有,365日24時間,有
鈴木産婦人科医院,937-0868,富山県魚津市双葉町2-13,0765-24-8820,,有,月・火・水・金 9:00~12:00、15:00~18:00木・土 9:00~12:00,有
