0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人横山厚生会横山病院,990-0031,山形県山形市十日町3丁目6-48,023-622-3415,,有,診療時間 9:00~12:00、15:00~17:00休診日は日曜日と火曜日の午後、木曜日,有
山形大学医学部附属病院,990-9585,山形県山形市飯田西2-2-2,023-633-1122,http://www1.id.yamagata-u.ac.jp/MI,INFO/有,緊急性があれば24時間対応,有
,,,,,,,
天童市民病院,994-0047,山形県天童市駅西五丁目2番1号,023-654-2511,www.tendo-city-hospital.jp,有,平日:8:30~16:00,有
社会福祉法人恩賜財団済生会山,99済0生-8病54院5,山形県山形市沖町79-1,023-682-1111,http://www.ameria.org/,有,外来診療時間帯 8:50~17:00(月~金)、8:50~12:30(第1・3・5土)は外来にその他の時間は救急外来へ,有
山形県立河北病院,999-3511,山形県河北町谷地字月山堂111,0237-73-3131,https://www.kahoku-hospital.jp/,有,平日 8:30~17:15,有
公立高畠病院,992-0351,山形県東置賜郡高畠町高畠386番地,0238-52-1500,http://www.takahatahospital.jp/,有,"(平日)9:00‐11:30 ,14:00‐15:30(第2・4土曜日) 9:00‐11:30",無
公立置賜総合病院,992-0601,山形県東置賜郡川西町大字西大塚2000,0238-46-5000,http://www.okitama-hp.or.jp/,有,24時間,有
産婦人科・小児科三井病院,997-0857,山形県鶴岡市美咲町28番1号,0235-22-3290,http://mitsui-hospital.net/,有,月、火、水、金:9:00~18:30木、土:9:00~12:30(上記以外の時間外対応も可),有
鶴岡市立荘内病院,997-8515,山形県鶴岡市泉町4番20号,0235-26-5111,https://www.shonai-hos.jp,有,平日8:30-17:15※性犯罪等に関する場合は、別途対応可能,有
大沼産婦人科医院,990-0031,山形県山形市十日町1-3-26,023-622-0243,https://itp.ne.jp/info/064044145000,00899/有,平日9:00-12:00/14:00-18:00土曜日9:00-12:00/14:00-16:00休診:日曜祝祭日、水曜午後,有
,,,,,,,
医療法人社団博誠会原田医院,990-3144,山形県上山市石崎2-1-8,023-672-1028,,有,平日9:00-17:30水曜9:00-12:30土曜9:00-16:00,有
羽根田産婦人科クリニック,990-2414,山形県山形市寿町19-1,023-622-3507,http://e-haneda.jp/,有,平日9:00-18:00木曜・土曜:9:00-12:00,有
すまいるレディースクリニック,991-0041,山形県寒河江市大字寒河江字月越5-2,0237-86-3215,http://www.smile-lc.jp/,有,平日9:00-17:30土曜9:00-17:30,有
国井クリニック,991-0065,山形県寒河江市大字中郷1450-1,0237-84-4103,http://www.kunii-c.jp/,有,診療時間内が望ましいが、時間内・深夜も対応可,有
セントラルクリニック,990-2451,山形県山形市吉原3丁目10番17号,023-647-3837,,有,平日9:00-12:00 15:00-18:00水、 土曜9:00-12:20,有
さとうウィメンズクリニック,994-0081,山形県天童市南小畑4-1-1,023-652-1117,www.satowomens.com,有,平日 9:00 〜 17:30土曜 9:00 〜 11:30,有
さとこ女性クリニック,990-0892,山形県山形市中野4103,023-687-0213,http://www.satoko-clinic.info,有,平日9時-17時木、土9時―12時半,有
あかねヶ丘高橋レディースクリニック,990-2482,山形県山形市久保田2-16-19,023-673-0123,http://www.yamagata-atlc.jp,有,月火木金:8:30~18:00水、土8:30~13:00,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
(医)三條医院,996-0084,山形県新庄市大手町5-11,0233-22-4053,,有,"月,火:9:00~17:00水9:00~20:00金9:00-17:00土9:00~12:001,3,5日曜9:00~12:00",有
本間医院,998-0025,山形県酒田市南千日町10-48,0234-22-1093,,有,"平日9:00-12:00 14:00-18:00(火曜日のみ10:00-12:00,14:00-18:00)土曜9:00-12:00",有
たんぽぽクリニック,997-0824,山形県鶴岡市日枝字鳥居上43-1,0235-25-6000,http://tanpopo-c.or.jp/,有,"平日9:00-12:30,15:00-18:30第1,3,5土曜9:00-12:00,15:00-17:30第2,4土曜9:00-12:00,PM休診",有
医療法人 小川医院,999-2241,山形県南陽市郡山1082-10,0238-43-2055,https://byoinnavi.jp/clinic/105336,有,平日(木曜日をのぞく)9:00-18:00,有
産科・婦人科さくらクリニック,992-0042,山形県米沢市塩井町塩野1495-5,0238-26-1087,http://www.sa-ku-ra-clinic.com/,有,平日9:00-18:00水、土9:00-12:30,有
医療法人社団ゆめクリニック,992-0026,山形県米沢市東3-9-3,0238-26-1537,www.yumeclinic.com,有,月火木金9:30-12:00 14:00-18:00水土9:30-12:00,有
産科 婦人科 島貫医院,992-0045,山形県米沢市中央2-5-12,0238-23-1776,https://www.shimanuki-clinic.jp,有,月火金土:9:30-18:00日:9:30-12:30,有
こまがた医院,992-0057,山形県米沢市成島町3丁目2-127-12,0238-27-0303,www.komagatacl.com,有,"金土日9:30-18:00第2,4火水9:30-13:00",有
すこやかレディースクリニック,997-0801,山形県鶴岡市東原町19-27,0235-22-8418,http://www.sukoyaka.net.,有,9:30-12:30 15:30-18:00(水曜、日曜、祝日は除く),有
丸岡医院,998-0841,山形県酒田市松原南15-1,0234-23-8166,http://www.maruoka.or.jp,有,月8:30-17:30水金10:00-17:30木土8:30-12:30,有
川越医院,990-0046,山形県山形市大手町9-25,023-641-6467,http://kawagoeiin.com/,有,平日8:45-12:00、14:00-17:30,有
医療法人真理子レディースクリニック,999-0032,山形県山形市小姓町6-35,023-632-0666,http://www.mariko-ladiesclinic.com,有,月火水金8:30-12:00 14:00-17:00木8:30-11:00土8:00-11:00,有
