0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
岐阜県厚生農業協同組合連合会中濃厚生病院,501-3802,岐阜県関市若草通5-1,0575-22-2211,http://www.chuno.gfkosei.or.jp,有,24時間,有
鷲見病院,501-5121,岐阜県郡上市白鳥町白鳥2-1,0575-82-3151,http://sumihosp.or.jp/,無,婦人科の診察なし,無
郡上市民病院,501-4222,岐阜県郡上市八幡町島谷1261番地,0575-67-1611,http://www.gujo-hospital.jp/,有,平日8:30~17:30,無
桜台医院,501-3931,岐阜県関市桜台1-6-6,0575-24-4100,なし,有,平日 9:00-12:00 16:00-18:00土曜 9:00-12:00,有
せきレディースクリニック,501-3255,岐阜県関市段下28-2,0575-22-5553,https://seki-ladies.jp/,有,月、火、木、金曜 8:30-19:00水、土曜 8:30-12:00,有
社会医療法人厚生会中部国際医療センター,505-8510,岐阜県美濃加茂市健康のまち一丁目1番地,0574-66-1100,https://cjimc-hp.jp/,有,月~土:8:30~17:00緊急の場合24時間・要連絡,有
とまつレディースクリニック,509-0214,岐阜県可児市広見2097,0574-61-1138,https://www.tomatsu-lc.com,有,原則診療時間月、火、木、金 9:00-12:00  16:30-18:30水、土 9:00-12:00,有
ローズベルクリニック,509-0203,岐阜県可児市下恵土2975番地1,0574-60-3355,https://www.rosebell.jp/,有,24時間対応可,有
中西ウィメンズクリニック,507-0024,岐阜県多治見市大正町1丁目45番地,0572-25-8882,http://www.n-w-c.jp/,有,平日 9:30~19:00木曜日、土曜日 9:30~12:30,有
西尾産婦人科,509-5136,岐阜県土岐市泉大島町2-26-2,0572-55-1211,http://nishiogyne.com/,有,平日 9:00~12:00、16:00~19:00木曜日、土曜日 9:00~12:00,有
塚田レディースクリニック,509-6115,岐阜県瑞浪市北小田町2-293,0572-66-1103,,有,月曜日、火曜日、金曜日 8:40~11:30、16:40~18:30水曜日、木曜日、土曜日 8:40~11:30,有
総合病院 中津川市民病院,508-8502,岐阜県中津川市駒場1522番地の1,0573-66-1251,http://nakatsugawa-hp.jp/,有,平日9:00~17:00(受付時間 8:15~11:30),有
市立恵那病院,509-7201,岐阜県恵那市大井町2725番地,0573-26-2121,https://enahosp.jp,有,平日8:30~17:00土曜8:30~12:30,有
林メディカルクリニック,508-0038,岐阜県中津川市新町5-6,0573-65-2007,http://www.hayashi-mc.jp/,有,平日(水除く)9:00~18:00水・土曜 9:00~12:00,有
地方独立行政法人岐阜県立下呂温泉病院,509-2292,岐阜県下呂市森2211,0576-23-2222,https://www.gero-hp.jp/,有,24時間,有
黒木医院,509-2202,岐阜県下呂市森2456,0576-24-1303,,有,月・火・水・金 9:00-12:00 16:00-18:00土 9:00-12:00,有
河合医院,509-4235,岐阜県飛騨市古川町弐之町2の17,0577-74-1333,,有,平日9:00-12:00 15:00-18:00(木曜9:00-11:30)土曜祝日9:00-12:00,有
しま医院,502-0906,岐阜県岐阜市池ノ上4-74,058-233-8732,https://www.shima-iin.com/,有,"平日8:30-12:00,16:00-19:00土曜8:30-12:00,15:00-17:00",有
アルプスベルクリニック,506-0058,岐阜県高山市山田町310,0577-35-1777,https://www.alpsbell.jp,有,"平日 9:00-12:30,17:00-20:00土曜 9:00~12:30緊急の場合、24時間対応",有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
岐阜赤十字病院,502-8511,岐阜県岐阜市岩倉町3-36,058-231-2266,http://www.gifu-med.jrc.or.jp/,有,指定なし(但し、近隣に不在の時をはじめ、対応不可の可能性あり),有
操レディスホスピタル,502-0846,岐阜県岐阜市津島町6丁目19番地,058-233-8811,https://www.misao-ladies.jp/,有,月・火・水・金曜日 午前 9:30~12:30午後 3:30~ 7:00木曜日 午前 9:30~12:30土曜日 午前 9:30~12:30午後 2:00~ 5:00休日当番9:00~18:00,有
朝日大学病院,500-8523,岐阜県岐阜市橋本町3丁目23番地,058-253-8001,https://www.hosp.asahi-u.ac.jp/,有,月 ~ 金(8:30 ~ 11:30) 要予約,有
医療法人社団 誠広会平野総合病院,501-1192,岐阜県岐阜市黒野176番地5,058-239-2325,www.hiranogh.com,有,終日可能(ただし、呼び出しのため時間のかかる場合あり),有
岩砂病院・岩砂マタニティ,502-0812,岐阜県岐阜市八代1-7-1,058-231-2631,https://yuuaikai-gifu.or.jp/,有,月曜~金曜 9:00~17:00土曜9:00~16:00日・祝は対応できません,有
医療法人社団 真和会マナベ産婦人医院,501-0123,岐阜県岐阜市鏡島2-19-5,058-253-3335,0,有,月火水金 9:00~18:00 木土9:00~12:00,有
石原産婦人科,501-3146,岐阜県岐阜市芥見嵯峨2丁目145,058-241-3535,https://ishihara-sanfujinka.com/,有,8:00~17:00(曜日問わず) 夜の問い合わせも可,有
髙橋産婦人科,500-8818,岐阜県岐阜市梅ケ枝町3丁目41-3,058-263-5726,takahashi-ladies.jp,有,平日(木は午前中)9:00~12:00 16:00~19:00土9:00~12:00 14:00~16:00,有
真鍋婦人科,500-8847,岐阜県岐阜市金宝町1-11,058-262-3224,0,有,"平日 9:00~12:00,14:00~17:00木、土 9:00~12:00",有
古田産科婦人科クリニック,500-8842,岐阜県岐阜市金町7丁目3,058-265-2395,furuta-ob-gyn-clinic.la.coocan.jp/,有,平日 8:30-19:00(水曜日のみ 8:30-12:00)土曜日 8:30-16:00,有
宮崎レディスクリニック,500-8474,岐阜県岐阜市加納本町3の5,058-271-3344,www.miyazaki-ob-gy.jp,有,月・水・金9:00~12:00、17:00~19:00火9:00~12:00、16:00~17:30土9:00~12:00,有
西岐阜産婦人科医院,500-8381,岐阜県岐阜市市橋5-3-9,058-272-3881,www.nishigifu-maternity.jp,有,平日 9:30~12:30 15:30~18:30(木曜日は午前中のみ、但しかなりの緊急時、受診可能の場合、時間外料金になります),有
小倉医院,502-0047,岐阜県岐阜市長良葵町1丁目2番地の3,058-231-1573,0,有,"平日、土曜日 8:30~13:00,17:00~19:30祝日休日 8:30~12:00 第3日曜休診",有
医療法人高井外科,502-0857,岐阜県岐阜市正木1978-72,058-232-6055,http://takailadies.net,有,平日(木曜以外)9:00~17:00、土9:00~13:00,有
宮﨑千惠婦人クリニック,502-0071,岐阜県岐阜市長良1972-5,058-233-5553,なし,有,月・火・木・金9:00~18:15 土9:00~12:00休日でも電話対応にて可能,有
基生会おおのレディースクリニック,502-0901,岐阜県岐阜市光町1-44,058-233-0201,www.ohno-lc.com,有,平日9:30~12:30、16:00~19:00 土、日9:30~12:30,有
レディースクリニックまぶち,502-0881,岐阜県岐阜市正木北町12番10号,058-297-1103,www.lc-mabuchi.or.jp,有,"月・火・水・金・土 9:30~12:30,17:00~20:00木 9:30~12:30",有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
あいレディースクリニック,502-0914,岐阜県岐阜市菅生6-2-5,058-296-4141,https://ai-lc.com,有,月・火・木・金8:30~12:30 16:00~19:00水・土8:30~12:30午後休診,有
社会医療法人蘇西厚生会松波総合病院,501-6062,岐阜県羽島郡笠松町田代185-1,058-388-0111,www.matsunami-hsp.or.jp,有,8:00~11:30(平日のみ),有
岐阜・西濃医療センター岐北厚生病院,501-2105,岐阜県山県市高富1187-3,0581-22-1811,http://www.gihoku.gfkosei.or.jp/,有,月・火・木曜日 10:30~11:30(予約制),無
アイリスベルクリニック,501-6244,岐阜県羽島市竹鼻町丸の内4丁目6番,058-393-1122,https://www.irisbell.jp/,有,月・水・金 9:00~12:30 17:00~20:00火・木・土 9:00~12:30,有
大橋クリニック,509-0141,岐阜県各務原市鵜沼各務原町5-171,058-370-5350,0,有,月・水・金 9:00~12:00 17:00~19:00木・土 9:00~12:00,有
医療法人 四葉会 永田産婦人科,504-0968,岐阜県各務原市那加西野町190番地,058-382-0058,www.nagataclinic.jp,有,月・火・水・金 9:00~12:0015:30~18:00木       9:00~12:00土       9:00~13:00,有
モアレディースクリニック,501-0456,岐阜県本巣郡北方町高屋条里3-90,058-320-0311,https://www.morelady.jp,有,月・火・木・金 9:00~19:00水・土     9:00~12:00,有
横山産院,504-0831,岐阜県各務原市蘇原瑞穂町2-60-1,058-389-0311,0,有,月・火・木・金  9:00~12:00  15:00~18:00水・土・日  9:00~12:00,有
横山クリニック,504-0011,岐阜県各務原市那加北洞町1-414-1,058-371-1211,https://itp.ne.jp/info/210102550300000899/,有,診療時間内月・火・木・金 9:00~12:00  15:00~18:00水・土 9:00~12:00,有
大垣市民病院,503-8502,岐阜県大垣市南頬町4丁目86番地,0584-81-3341,https://www.ogaki-mh.jp/,有,24時間,有
いびレディースクリニック,501-0619,岐阜県揖斐郡揖斐川町三輪719-1,0585-23-0050,http://www.ibi-lc.or.jp/,有,平日 9:00~12:0016:30~19:00土日 9:00~12:00,有
クリニックママ,503-0807,岐阜県大垣市今宿3丁目34-1,0584-73-5111,https://climama.jp/,有,平日 9:00~18:00土  9:00~15:00(受付は診療終了の30分前),有
山岸マタニティクリニック,503-0876,岐阜県大垣市俵町133,0584-75-5688,0,有,月~土 診療時間内,有
もりレディースクラブクリニック,503-0021,岐阜県大垣市河間町1-13,0584-74-1888,https://www.mori-lcc.jp/,有,月火木金 9:00~12:0016:30~19:00水    9:00~12:00土    9:00~13:00,有
児玉レディスクリニック,503-0889,岐阜県大垣市高砂町1-31,0584-82-1155,,有,月火木金 9:00~12:3016:00~19:00水    9:00~12:30土    9:00~12:30,有
小坂井レディスクリニック,503-0652,岐阜県海津市馬目393-3,0584-53-3388,,有,月火木金土 9:00~18:00,有
市川外科,503-0976,岐阜県大垣市南若森町328,0584-75-5078,http://ichikawa-geka.com,有,曜日により異なるためHP参照木日 休診土 対応可,有
高田医院,503-2305,岐阜県安八郡神戸町神戸468番地,0584-27-2015,http://www.takadaiin.com,有,月火水金 9:00~12:0016:00~19:00木    9:00~12:00土    9:00~12:0015:00~18:00,有
