0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
岡山赤十字病院,700-8607,岡山県岡山市北区青江2-1-1,086-222-8811,https://www.okayama-med.jrc.or.jp,有,24時間対応可能,有
社会医療法人鴻仁会セントラル・クリニック伊島,700-0017,岡山県岡山市北区伊島北町7-5,086-214-5678,https://www.kohjin.ne.jp,有,平日 9:00-12:3014:00-17:00 (初診~16:00)土曜 9:00-12:30,有
岡山済生会外来センター病院,700-0013,岡山県岡山市北区伊福町1丁目17-18,086-252-2211,https://www.okayamasaiseikai.or.jp/patient/,有,平日 初診 8:30-11:30再診 8:30-11:45,有
医療法人 慈光苑山崎産婦人科医院,700-0024,岡山県岡山市北区駅元町13-3,086-253-6663,無,有,平日 9:00-12:30、14:00-18:30水曜日を除く土曜 9:00-12:30 (月末のみ),有
医療法人福寿会みおウィメンズクリニック,700-0925,岡山県岡山市北区大元上町14-25スタックIIIビル1F,086-805-7955,http://www.miowcl.com,有,月・火・木・金曜 9:00-16:30水・土曜 9:00-12:30,有
みやびウロギネクリニック,700-0822,岡山県岡山市北区表町1-4-1,086-223-1100,http://www.miyabiurogyne.com,有,月・水・木・金・土曜 9:00-17:00,有
中村産婦人科医院,700-0822,岡山県岡山市北区表町3-17-33,086-232-7893,無,有,月・火・水・金曜 9:00-12:3015:00-18:00木曜 9:00-12:00土曜 9:00-12:30,有
井上産婦人科クリニック,700-0903,岡山県岡山市北区幸町4-12河田ビル3階,086-801-0037,http://www.inoue-gyne.jp,有,月・水・金曜 9:00-13:0015:30-18:00火・土曜 9:00-13:00(木・日・祝 休診にて対応不可),有(ほぼ)
オークスマタニティクリニック,700-0064,岡山県岡山市北区大安寺南町2丁目2番5号,086-214-1103,http://oaks-mc.jp,有,月・火・水・金曜 9:00-12:0015:30-17:30木曜 9:00-12:00土曜 9:00-12:00 13:30-14:30,有
三宅医院問屋町テラス,700-0977,岡山県岡山市北区問屋町15-101,086-259-4103,https://miyake-miyakegroup.jp/toiyacho,有,平日 9:00-12:00、15:00-18:00木・土曜 9:00-12:00,有
ペリネイト母と子のサテライトクリニック,700-0821,岡山県岡山市北区中山下1-8-45NTTクレド岡山ビル8F,086-221-1188,http://www.perineito.com,有,月・火曜 9:00-12:30、16:30-18:30水・金曜 9:00-12:30、17:00-19:00木曜 9:00-12:30完全予約制,有
医療法人堀産婦人科医院,700-0821,岡山県岡山市北区中山下2-8-14,086-222-4949,http://www.sikyu.com,有,水・土曜 9:00-12:00(必ず電話連絡の上、受診),有(1名分)
医療法人 産婦人科山下クリニック,701-1202,岡山県岡山市北区楢津394-1,086-284-5511,https://www.ycl.jp,有,月曜 9:00-12:00、16:00-19:00火・木・金曜 9:00-12:3016:00-19:00土曜 9:00-13:00日曜 9:00-12:30,有
医療法人ももレディースクリニック,701-0136,岡山県岡山市北区西花尻1200-3,086-903-2248,http://www.momo-lc.jp,有,平日 9:00-12:00、15:00-18:30土曜 9:00-12:00、15:00-17:00水・日曜、祝日 休診,有
くにかたウィメンズクリニック,700-0065,岡山県岡山市北区野殿東町1-35,086-255-0080,http://www.kunikata.com,有,月・火・水・金・土曜 9:30-12:3015:00-18:00木曜 9:30-12:30日曜・祝日は休診,有
ウィメンズクリニック・かみむら,700-0901,岡山県岡山市北区本町4-18コア本町3F,086-803-5338,http://wck-ok.sakura.ne.jp/wpwp,有,平日 9:00-18:00他 応相談,有
野上医院,703-8204,岡山県岡山市中区雄町490-1,086-279-3018,無,有,月・火・水・金曜 9:00-12:0015:00-18:00木・土曜 9:00-12:00,有
医療法人社団明和会ペリネイト母と子の病院,703-8263,岡山県岡山市中区倉益203-1,086-276-8811,http://www.perineito.com,有,月~金曜 9:00-12:30、16:00-19:00土曜 9:00-12:30,有
医療法人 井上医院,703-8232,岡山県岡山市中区関22,086-201-1515,http://www.inoue-iin.jp,有,月・火・水・金曜 9:00-12:0015:00-18:00木・土曜 9:00-12:00,有
しな子レディースクリニック,703-8266,岡山県岡山市中区湊495-1,086-201-7772,http://www.shinako-ladiesclinic.com,有,月・火・水・金曜 9:00-12:0014:30-17:00木・土曜 9:00-12:00,有
産科婦人科浮田病院,704-8117,岡山県岡山市東区西大寺南2丁目5-18,086-942-5850,,有,平日 9:00-12:15、15:30-18:00木・土曜 9:00-12:15日曜・祝日、木・土曜の午後 休診,有
医療法人国泰会丹羽病院,709-0631,岡山県岡山市東区東平島1036-3,086-297-5511,http://www.niwa.or.jp,有,月・火・水・金曜 9:00-18:30木曜       9:00-12:30土曜       9:00-17:30,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
三宅医院,701-0204,岡山県岡山市南区大福369-8,086-282-5100,https://miyake-miyakegroup.jp,有,平日 9:00-12:00、15:00-18:00土曜 9:00-12:00、14:00-17:00,有
医療法人さくらクリニック,700-0945,岡山県岡山市南区新保658-4,086-241-8188,http://www.sakura-clinic.com,有,月・水曜 9:00-12:30、15:00-18:30火曜 9:00-13:00、14:00-17:00木曜 9:00-12:30金曜 9:00-12:00 15:00-18:30土曜 9:00-13:00,有
医療法人生萌会さわだレディスクリニック,700-0953,岡山県岡山市南区西市584-1,086-246-4103,http://www.sawada-lc.com,有,月~土曜 9:00-12:30、16:00-19:30但し 水・土曜は 午後休診,有
岡南産婦人科医院,702-8043,岡山県岡山市南区平福2-6-43,086-264-3366,http://www.tamano.or.jp/kohnan,有,月・火・水・土曜 9:00-18:00日曜 9:00-12:00,有
社会医療法人全仁会倉敷平成病院,710-0826,岡山県倉敷市老松町4-3-38,086-427-1111,http://www.heisei.or.jp/beauty,有,月・火・木・金曜 9:00-11:0013:00-16:00水・土曜 9:00-11:00,有
倉敷市立市民病院,711-0921,岡山県倉敷市児島駅前2丁目39番地,086-472-8111,http://www.city.kurashiki.okayama.jp/hospital,有,平日 9:00-16:00,無
玉島病院,713-8103,岡山県倉敷市玉島乙島4030,086-522-4141,http://www.tamashimahosp.or.jp,有,月・火・金曜 9:00-11:30水曜 9:00-11:30、15:00-17:30木・土曜 9:00-11:30、16:00-17:30,有
医療法人浅野産婦人科,710-0252,岡山県倉敷市玉島爪崎622-2,086-522-7575,無,有,月・火・木・金曜 9:00-12:0016:00-18:00水・土曜 9:00-12:00日曜・祝日 休診,有
倉敷成人病クリニック,710-0824,岡山県倉敷市白楽町250番地1,086-422-2111,http://www.fkmc.or.jp,有,平日 8:30-11:3013:30-16:30,有
川崎医科大学附属病院,701-0192,岡山県倉敷市松島577,086-462-1111,https://h.kawasaki-m.ac.jp,有,24時間対応可能,有
医療法人山内産婦人科クリニック,710-0001,岡山県倉敷市三田126-1,086-463-3550,https://www.yamauchi-ok.jp,有,月・火・水・金曜 9:00-12:0015:30-18:30木曜 9:00-12:00土曜 9:00-12:00、15:30-18:00日曜・祝日・木曜午後 休診原則、外来診療時間内での対応ですが、24時間電話相談可能です。,有
西沢医院,710-0052,岡山県倉敷市美和1丁目12-8,086-421-2438,無,有,月~土曜 8:30-11:3015:30-17:30木・土曜 午後休診日曜・祝日 休診,有
医療法人橘産婦人科医院,710-0842,岡山県倉敷市吉岡275,086-426-0381,無,有,月・火・水・金・土曜 9:00-12:0015:00-18:00木曜 9:00-12:00日曜・祝日 休診,有
一般財団法人赤堀病院,708-0051,岡山県津山市椿高下33,0868-24-1212,http://www.akahori.or.jp,有,月・火・水・金・土曜 8:30-17:00木曜 8:30-13:00,有
光井産婦人科,708-0036,岡山県津山市南新座18,0868-22-7291,http://www.mitsui-lc.jp,有,平日 9:00-18:00土曜 9:00-17:00火・木曜 9:00-12:30,有
井原市立井原市民病院,715-0019,岡山県井原市井原町1186番地,0866-62-1133,http://www.ibarahp.jp,有,水・金曜 8:30-11:30、13:00-14:30,有診療可能時間帯に限る(プラノバール)
くにとみクリニック,719-1156,岡山県総社市門田78-1,0866-92-0255,http://www.kunitomi-clinic.jp,有,平日 9:00-18:45土曜 9:00-15:30,有
尾島クリニック,716-0028,岡山県高梁市柿木町5,0866-22-2385,http://www.ojimaclinic.com,有,平日 9:00-18:00土曜 9:00-16:00,有
産科・婦人科 片山医院,709-0825,岡山県赤磐市馬屋646,086-229-2166,http://katayamaiin.com,有,日・木曜 9:00-12:30、午後休診月・水・金・土 9:00-12:30、15:00-18:00火曜 休診,有
総合病院落合病院,719-3197,岡山県真庭市落合垂水251,0867-52-1133,http://ochiaihp.jp,有,平日 9:00-17:00土曜 9:00-12:00(第3土曜以外),有
山田医院,707-0025,岡山県美作市栄町10-14,0868-72-0222,無,有,月・火・水・金曜 9:00-12:3014:00-18:00木・土曜 9:00-12:30、午後休診日曜・祭日 休診,有
