0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
城北産科婦人科クリニック,690-0877,島根県松江市春日町48-1,0852-29-1010,https://www.jouhoku-obgyn.com/,有,平日 9:00-18:00土日 9:00-17:00,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
かじクリニック,690-0887,島根県松江市殿町516番地 山陰鴻池ビル2F,0852-27-2600,http://kaji-cl.com,有,平日 9:00-18:00木曜・土曜 9:00-13:00,有
森本産婦人科医院,690-0056,島根県松江市雑賀町82,0852-25-2250,http://www.morimotosanfujinka.com/,有,月・火・木・金 9:00~13:00 16:00~18:00水・土 9:00~13:00,有
三原医院,693-0001,島根県出雲市今市町1605,0853-21-0284,http://www.mihara-cl.com,有,平日 8:30-12:00 15:00-18:30土曜 8:30-13:00,有
医療法人いざみKAZUKIプライベートクリニック,639-0003,島根県松江市朝日町484-13-5階,0852-20-7790,http://www.kazuki-pc.com/,有,10:00-19:00 (水曜日休診),有
ふれあい診療所,690-0017,島根県松江市西津田7-14-21,0852-23-1400,http://www.matsue-seikyo.jp/,有,受付時間内月8:00-11:00 13:30-15:00火8:00-11:00 16:30-18:00水8:00-10:30木8:00-11:00 13:00-14:30金8:00-11:00 13:30-15:00土(第2、4のみ)8:00-11:00,有
大学前のつ内科クリニック,690-0825,島根県松江市学園2丁目27-17,0852-24-3000,https://www.notsu-clinic.com/,有,平日 9:30-12:30 15:00-18:30土曜 9:30-12:30,有
マザリ―産科婦人科医院,690-0017,島根県松江市西津田2-12-33,0852-25-8588,https://www.motherly.or.jp,有,24時時間対応可能だが、診療時間を出来るだけ希望する。平日 9:00-18:00土曜 9:00-16:00,有
八重垣レディースクリニック,699-0111,島根県松江市東出雲町意宇南5丁目4-2,0852-52-7790,http://www.yaegaki-lc.jp/,有,月・水・金 9:00-12:00 15:30-18:30火・木・土 9:00-12:00,有
あさひまちクリニック,690-0003,島根県松江市朝日町476-7,0852-61-3006,https://asahimachi.cs2.jp/yoyaku/,有,平日(月・火・水・金) 9:00-13:0015:30-18:30(木・土曜日)     9:00-13:00,有
公益社団法人益田市医師会立益田地域医療センター医師会病院,699-3676,島根県益田市遠田町1917-2,0856-22-3611,https://www.masuda-med.or.jp/,有,月 13:00~15:00 水  9:00~15:00木  9:00~12:00 金   9:00~12:00,無
町立奥出雲病院,699-1511,島根県仁多郡奥出雲町三成1622-1,0854-54-1122,http://www.okuizumo-hospital.jp,有,平日8:40~17:15,有
医療法人江田クリニック 江田クリニック産婦人科,693-0011,島根県出雲市大津町260,0853-30-7888,https://obgyn.edaclinic.jp/,有,月・火・水・金 9:00-12:30土 9:00-12:00予約制,有
松江市立病院,690-8509,島根県松江市乃白町32-1,0852-60-8000,http://www.matsue-cityhospital.jp/,有,平日・土・日・祝日:24時間対応可能,有
たがしらレディースクリニック,690-0044,島根県松江市浜乃木6-7-8,0852-23-1103,http://tagashira-lc.jp/,有,月・火・水・金・土曜 9:00-17:30,有
大田市立病院,694-0063,島根県大田市大田町吉永1428-3,0854-82-0330,www.ohda-hp.ohda.shimane.jp,有,24時間対応,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
雲南市立病院,699-1221,島根県雲南市大東町飯田96-1,0854-47-7500,http://unnan-hp.jp/,有,平日8:30-17:15,有
独立行政法人国立病院機構浜田医療センター,697-8511,島根県浜田市浅井町777-12,0855-25-0505,https://hamada.hosp.go.jp,有,平日8:30-17:15(時間外24時間対応可),有
医療法人 徳洲会 出雲徳洲会病院,699-0631,島根県出雲市斐川町直江3964-1,0853-73-7000,https://www.izumo-tokushukai.jp/,有,8:30~19:00(緊急時、夜間処方できます),有
いづも八咫クリニック,693-0082,島根県出雲市中野美保南2丁目1-5,0853-25-2688,https://izumoyata-clinic.com,有,平日 8:30-12:00 14:30-18:30土曜 8:30-11:30 13:00-17:00,有
漢方女性クリニック・mio,690-0003,島根県松江市朝日町498 松江センタービル2F,0852-28-0211,http://kmj-mio.com/,有,診療時間内で対応(予約制),有
産婦人科 江木医院,697-0041,島根県浜田市片庭町64,0855-22-1181,-,有,水曜日・日曜日除く8:30-12:0014:00-17:00,有
内田クリニック婦人科,690-0044,島根県松江市浜乃木2丁目6番13号,0852-55-28800120-58-2889,https://www.uchida-clinic.info/gynecology/,有,月・火・水・金 9:00-12:30 15:30-18:00土曜日 9:00-12:30,無
佐藤佐婦人科医院,693-0021,島根県出雲市塩冶町1291-18,0853-21-0973,-,有,木曜日除く平日 9:00-12:00 14:00-18:00土曜日 9:00-12:00,有
隠岐広域連合立隠岐病院,685-0016,島根県隠岐郡隠岐の島町城北町355,08512-2-1356,https://www.oki-hospital.com/,有,平日8:30-17:15(緊急時には時間外24時間対応可),有
島根大学医学部附属病院,693-8501,島根県出雲市塩冶町89-1,0853-23-2111,https://www.med.shimane-u.ac.jp/hospital/,有,曜日に関わらず24時間,有
益田赤十字病院,698-8501,島根県益田市乙吉町イ103-1,0856-22-1480,http://masuda.jrc.or.jp/,有,平日8:30-17:00,有
家族・絆の吉岡医院,692-0011,島根県安来市安来町789番地1,0854-22-2065,https://www.familybondyasugiyoshioka.com/,有,月・火・水・金 9:00-12:30 15:00-18:00木・土 9:00-12:30,有
吉野産婦人科医院,699-0624,島根県出雲市斐川町上直江3091,0853-72-7470,http://www.yclinic.jp/,有,月・火・水・金 9:00-12:00 16:00-18:30土 9:00-12:00,有
邑智郡公立病院組合公立邑智病院,696-0193,島根県邑智郡邑南町中野3848-2,0855-95-2111,https://www.ohchihospital.jp/,有,平日8:30-17:15,有
松陽台 佐藤クリニック,693-0006,島根県出雲市白枝町988-1,0853-23-5883,-,有,平日 8:30-16:00月・土 8:30-13:00,有
