0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
ウィミンズ・ヴィセオ クリニック広島,732-0053,広島市東区若草町11-2グランアークテラス3階,082-568-5177,https://www.womens-viseo.com,有,"平日9:00-12:30,15:00-18:30/土曜9:00-12:30,15:00-17:00休診日 木曜・日曜・祝日",有
JR広島病院,732-0057,広島市東区二葉の里3-1-36,082-262-1171,,有,"平日9:00-11:30,13:00-15:00",無(院外処方のみ対応)
医療法人社団 日の浦会 佐々木産婦人科,732-0009,広島市東区戸坂千足2丁目9-25,082-229-4008,https://www.sasaki-lcl.com,有,"月・火・水・金9:00-13:00,15:00-18:00/木・土9:00-13:00",有
医療法人松本クリニック,732-0823,広島市南区猿猴橋町2-11 駅前クリニックビル5F,082-264-7711,http://matsumotowomens-clinic.webmedipr.jp/,有,"月・火・水・金・土9:30-12:30,14:30-16:00",有
澤崎産婦人科,732-0824,広島市南区的場町二丁目2-15,082-261-2168,http://sawasaki-sanfujinka.com/,有,"月・火・水・金9:00-12:30,15:00-18:00/木9:00-12:30/土9:00-12:30,15:00-17:00",有
新甲さなえ女性クリニック,732-0814,広島市南区段原南1-3-53イーストビル 2階,082-568-2234,http://www.sanae-clinic.com,有,"月・火・水・金10:00-13:00,15:00-18:00/土10:00-15:00",有
母と子のまきクリニック,732-0828,広島市南区京橋町2-24 ロイヤルエイト広島駅前3F,082-264-1105,https://www.motherandfetusmc.com/,有,"月・火・木・金・土9:30-12:30,13:30-18:00",有
医療法人社団 鈴峰今中医院,733-0842,広島市西区井口4-2-31,082-277-1223,http://www.kawamura.gr.jp,有,"月・火・水・金9:00-12:00,15:00-18:00/ 木・土9:00-12:00",有
松尾産婦人科内科医院,733-0003,広島市西区三篠町1-5-7,082-237-1506,http://www.ccv.ne.jp/home/pinetree/,有,"月・火・水・金9:00-12:30,15:30-19:00/木・土9:00-12:30",有
医療法人社団秋月会 香月産婦人科,733-0812,広島市西区己斐本町2丁目14番24号,082-272-5588,http://www.katsuki-clinic.com,有,"月・火・水・金8:00-11:00,14:00-16:00/木8:00-11:00/土8:00-11:45 (新規の患者様は受付時間15分前までの受付とさせていただきます)",有
医療法人社団昭信会 頼島産婦人科病院,731-0113,広島市安佐南区西原5丁目11-18,082-874-0523,http://www.yorishima-hospital.jp/,有,"月・水・金8:30-12:00,14:30-17:30/火・木・土8:30-12:00",有
広島医療生活協同組合 広島共立病院,731-0121,広島市安佐南区中須二丁目20-20,082-879-1111,http://www.hiroshimairyo.or.jp/,有,月・火・木8:30-16:00/水・金・土(奇数週のみ)8:30-11:30,無
舛本産婦人科医院,731-0141,広島市安佐南区相田2-7-22,082-878-1111,www.masumoto-ladys-clinic.jp,有,(午前)月~土 9:00-12:30/(午後)月・水・金15:00-17:30,有
緑井レディースクリニック,731-0103,広島市安佐南区緑井一丁目5-1緑井スカイステージ3F302号,082-831-2300,http://www.midorii-clinic.jp,有,"月・火・水・金9:30-13:00,14:30-17:30/土9:30-12:00,13:00-14:30",有
井上産婦人科クリニック,731-3167,広島市安佐南区大塚西3-11-36,082-848-7010,,有,"平日9:00-12:30,15:00-18:00(木曜以外)/土曜9:00-12:30木曜・日曜休診",有
すみれ産婦人科クリニック,731-0103,広島市安佐南区緑井五丁目29-18,082-831-0160,www.sumire-wcl.com,有,"診療時間内に対応 月・火・木・金9:00-12:30,14:00-18:00/水9:00-12:30/土9:00-13:00",有
やすクリニック,731-0154,広島市安佐南区上安一丁目1-18,082-878-7101,www.yasuclinic.com,有,"月・火・水・金9:00-12:00,14:30-16:30/木・土9:00-12:00(臨時休診の場合あり)",有
ぎおん皮膚科婦人科スキンケアクリニック,731-0138,広島市安佐南区祇園5丁目2-45202,082-832-4112,http://www.gion-cl.com,有,"月・火・木・金9:00-12:00,15:00-18:00/水・土9:00-12:00",有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人社団 正岡病院,730-0852,広島市中区猫屋町4番6号,082-291-3366,https://www.masaoka-hp.com,有,"月・水・金・土8:30-12:30,14:00-17:00/火8:30-12:30,14:00-18:00日曜日・祝日も含めて診療時間外でも対応可能ですが,別途時間外料金をいただいております",有
医療法人あかね会 土谷総合病院,730-8655,広島市中区中島町3-30,082-243-9191,http://www.tsuchiya-hp.jp,有,平日9:00-17:00,有
医療法人社団 井原クリニック,730-0011,広島市中区基町6番27号 アクア広島センター街9階,082-225-3360,http://www.ihara-clinic.jp,有,"月・水・金10:00-13:00,14:30-18:00/木10:00-11:30,14:30-18:00/土10:00-13:00,14:30-17:00 火曜休診",有
医療法人 河野産婦人科クリニック,730-0031,広島市中区紙屋町2丁目2番25号,082-242-1505,,有,"平日9:00-13:00,15:00-18:00/土曜9:00-12:00,13:00-15:00",有
医療法人社団 山岡産婦人科,730-0814,広島市中区羽衣町16番43号,082-240-1103,,有,"平日10:00-13:00,15:00-18:00/木10:00-13:00/土10:00-15:00",有
こうレディスクリニック,730-0043,広島市中区富士見町12-17,082-542-0770,,有,"平日9:00-18:00,土9:00-17:30",有
医療法人 婦人科・内科小松クリニック,730-0017,広島市中区鉄砲町10-18 八丁堀栗村ビル7F,082-227-3777,http://www.komatu.org/,有,"月・火・木・金9:30-12:30,14:30-18:00/水9:30-12:30/土9:30-12:00",有
産婦人科 長尾クリニック,730-0016,広島市中区幟町14番11号 3F,082-502-7002,http://www.nagao-clinic.gr.jp,有,10:00-14:00 日・祝休診,有
木山産婦人科クリニック,730-0036,広島市中区袋町4-3 滝口ビル3階,082-544-3155,http://kiyama-c.com/,有,"月・火・水・金9:00-13:00,14:30-18:00/木9:00-13:00/土9:00-12:30,14:00-17:00",有
医療法人社団はつき会 井槌産婦人科,730-0017,広島市中区鉄砲町9番24号,082-221-1684,http://www.izuchi-clinic.jp,有,平日(月・火・木・金)10:00-18:30/土曜10:00-17:00/月1回第1日曜日10:00-13:00(変更あり・要確認),有
,,,,,,,
医療法人 中川産科婦人科医院,730-0802,広島市中区本川町二丁目1番16号,082-231-2832,http://www.nakagawa.or.jp,有,"月~金9:00-12:30,15:00-17:30土9:00-12:30,14:30-17:00",有
さだもりレディースクリニック,730-0051,広島市中区大手町2丁目7番2号Balcom大手町ビル 4F,082-242-1132,http://www.sadalc.cc,有,"月・火・木・金10:00-13:00,15:00-17:30/水・土10:00-12:00 初診は診療終了の30分前迄の受付が必要。土曜日は事前予約した方のみの完全予約制",有
医療法人社団 女性クリニック ラポール,730-0051,広島市中区大手町5丁目 3-1,082-241-6009,http://www.women-rapport-clinic.com,有,"月・木9:00-13:00,15:00-19:30/火・金・土9:00-13:00,15:00-18:00 水・日曜・祝日休診",有
医療法人社団 明樟会 広島女性クリニック,730-0029,広島市中区三川町1-20 ピンクリボン39ビル4F,082-249-3900,http://www.hiroshimabreastcenter.co.jp/fujin/,有,"月9:00-12:00,15:00-18:00/火・水9:00-13:00,15:00-18:00/金9:00-13:00/土9:00-11:00",有
医療法人社団秋月会 広島中央通り香月産婦人科,730-0029,広島市中区三川町7-1香月メディカルビル6F,082-546-2556,https://www.katsuki-medical.com/,有,"月・火・木・金8:30-18:30/水・土9:00-12:00,14:00-17:00",有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人 耕仁会 村上産婦人科クリニック,731-0231,広島市安佐北区亀山二丁目6-20,082-819-1333,http://www.murakami-clinic.jp/,有,"月・火・金9:00-12:30,14:30-18:00/木9:00-12:30,14:30-17:00/水・土9:00-12:30",有
医療法人 紹応会 河田産婦人科医院,731-5135,広島市佐伯区海老園一丁目2番13号,082-921-3501,http://kawata-obgy.com/,有,"平日(月・火・水・金)9:00-12:00,15:00-17:30/土曜日9:00-12:00,15:00-17:00",有
さくらウィメンズクリニック,731-5125,広島市佐伯区五日市駅前一丁目5-18-402,082-943-5512,https://www.sakurawc.com,有,"月・火・木・金9:00-12:30,14:30-18:00/水9:00-12:30/土9:00-14:00",有
医療法人 双藤会 産科・婦人科 藤東クリニック,735-0029,安芸郡府中町茂陰一丁目1番1号,082-284-2410,https://fujito.clinic,有,"平日(月・火・水・金)9:00-12:30,15:00-17:30/木曜9:00-12:30/土曜9:00-12:30,15:00-17:00",有
医療法人 津田産婦人科クリニック,736-0032,安芸郡海田町南幸町9-43,082-821-0303,http://www.tsuda-sanfujinka.jp,有,"平日(月・火・水・金)9:00-12:30,15:00-17:30/木・土9:00-12:30",有
医療法人豊田レディースクリニック,731-4223,安芸郡熊野町川角四丁目30番1号,082-855-1913,www.toyota-lc.jp,有,"月・火・水・金・土9:00-12:00,14:00-17:00",有
レディースクリニックとよしま医院,739-0612,大竹市油見三丁目19-6,0827-53-7789,,有,"月・火・水・金9:00-12:30,14:00-18:00/木・土9:00-12:30",有
医療法人社団 江川レディースクリニック,738-0015,廿日市市本町5-18,0829-31-0461,http://www.egawa.or.jp/,有,"月・火・水・金・土9:00-13:00,15:00-17:00",有
ひさまつ産婦人科医院,738-0034,廿日市市宮内1448番地1,0829-39-1131,http://hisamatsu.or.jp/,有,"平日 9:00-12:00,14:00-17:30/土曜 9:00-12:30",有
青葉レディスクリニック,739-0401,廿日市市福面2-1-11,0829-50-2327,,有,"月・火・水・金9:00-12:00,14:00-18:00/木・土9:00-12:00",有
かとうレディースクリニック,738-0054,廿日市市阿品3丁目1-6,0829-36-0135,www.kato-lc.jp/,有,"月・火・木・金9:00-12:30,14:30-18:00/水・土9:00-12:30",有
玉木産婦人科医院,737-0125,呉市広本町3-22-26,0823-71-2248,,有,"9:00-12:00,14:30-18:00 ※水曜,土曜は午前のみ",有
末光産婦人科,737-0032,呉市本町3-4,0823-21-1087,,有,平日8:00-18:00,有
田中産婦人科クリニック,737-0051,呉市中央1丁目5-28,0823-22-1321,,有,"平日8:30-12:00,14:00-18:30/土8:30-12:00",有
木岡産婦人科・きおか皮ふ科クリニック,737-0935,呉市焼山中央2丁目5番7号クリニックモールリフレ2F,0823-30-5711,http://www.kioka-clinic.net/,有,"平日(月・火・水・金)9:00-12:30,14:30-18:00/木・土9:00-12:30",有
医療法人社団 産婦人科小児科松田医院,737-0046,呉市中通2丁目4番11号,0823-22-2253,,有,"月・火・水・金・土9:00-12:00,13:30-17:00/木9:00-12:00",有
笠岡レディースクリニック,737-0811,呉市西中央1-3-9 5F,0823-23-2828,https://kasaoka-clinic.jp,有,"月・火・水・金8:30-12:30,15:30-18:30/木8:30-12:00/土8:30-12:00,14:00-16:00",有
さわさき婦人科・産科,737-0046,呉市中通1-3-14 オールファーマシウータウン3F,0823-21-2211,https://www.sawa0510.com/,有,"平日(木以外)8:30-12:00,13:30-17:00/平日(木)8:30-12:00/土8:30-12:00",有
医療法人社団 樹章会 本永病院,739-0016,東広島市西条岡町8-13,082-423-2666,https://www.motonaga.or.jp/,有,月・火・水・金・土8:30-12:00,有
医療法人社団 松田医院,739-0141,東広島市八本松町飯田101,082-428-0019,https://itp.ne.jp/info/340695722400000899/,有,"月・火・水・金9:30-12:00,15:00-18:00/木・土9:30-12:00(午後不可),日・祝は不可",有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
小川胃腸科内科産婦人科医院,729-0104,福山市松永町6-19-9,084-933-3356,,有,"月・火・水・金・土8:30-12:00,14:00-18:00(第1・第3土曜は午後休診)/木8:30-12:00/日・祝日は休診",有
重政レディスクリニック,720-0825,福山市沖野上町五丁目6-23,084-922-5888,https://shigemasa-clinic.fmed.jp/,有,"月・火・水・金9:00-12:30,15:00-18:30/木・土9:00-12:30",有
よしだレディースクリニック内科・小児科,721-0955,福山市新涯町3丁目19-36,084-954-0341,www.yoshida-ladies.net,有,"月・火・水・金9:00-12:30,15:00-18:00/木・土9:00-12:30",有
おおもとウィメンズクリニック,720-0832,福山市水呑町4447番地,084-920-5155,http://ohwc.jp,有,"平日9:00-12:30,15:00-18:30(水は午後休診)/土9:00-12:30,14:00-17:30 /日休診",有
府中市民病院,726-8501,府中市鵜飼町555番地3,0847-45-3300,http://shimin.fuchuhp.jp/,有,平日 午前8:30-11:30 14:00-15:45,有
堀川レディースクリニック,728-0011,三次市十日市西一丁目6-9,0824-63-9412,,有,"月・火・水・金8:30-12:00,14:00-17:30/木8:30-12:00/土8:30-12:00,14:00-17:00(第3土曜休診〉","有(ノルレボは取り寄せ,プラノバールを主に使用)"
谷岡産科・婦人科,728-0021,三次市三次町1778-3,0824-62-2813,,有,"月・火・水・金8:45-12:00,14:00-17:00/木・土8:45-12:00(第5土曜は除く)",有
総合病院 庄原赤十字病院,727-0013,庄原市西本町二丁目7番10号,0824-72-3111,http://www.shobara.jrc.or.jp/,有,月・水・金 8:15~12:00,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
よこやま産婦人科,739-2125,東広島市高屋町中島168番地,082-434-7777,,有,"月・水・金9:00-12:30,15:00-17:30/火・土9:00-12:30",有
医療法人大和会 西条ときわクリニック,739-0025,東広島市西条中央5丁目4-1,082-493-5121,https://fdoc.jp/,有,"月~金(木曜除く)9:00-12:00.14:30-17:00(要予約,電話にて問い合わせてください)/土8:00-11:30(人数制限あり)",有
松林レディースクリニック,739-0024,東広島市西条町御薗宇4281-1東広島クリニックビル3F,082-493-8600,http://www.matsubayashi-lc.com/,有,平日15:00-18:00/土曜日15:00-17:00,有
いまじょうクリニック,739-2105,東広島市高屋町檜山79-1,082-426-6830,http://www.imajo-cl.com/,有,"月・火・水・金9:00-12:00,15:00-18:00/土9:00-12:00,15:00-17:00 木・日曜休診",有
総合病院三原赤十字病院,723-8512,三原市東町二丁目7番1号,0848-64-8111,http://mihara.jrc.or.jp/,有,平日(月~金) 8:30-16:00 ※変更の場合もありますので事前に電話確認をお願いします。,有
社会医療法人里仁会 興生総合病院,723-8686,三原市円一町2丁目5-1,0848-63-5500,http://kohsei-hp.jp,有,"月・水・金・土9:00-12:00,14:00-17:00/火・木9:00-12:00/日9:00-12:00",有
柴田産婦人科皮膚科,723-0014,三原市城町一丁目19-10,0848-62-2525,,有,平日・土曜9:00-13:00(予約)午後(平日)予約,有
堀田レディースクリニック,722-0024,尾道市西則末町9-16,0848-22-8844,http://www.bbbn.jp/~hlc/hlc7.htm,有,"平日10:00-12:30,15:00-18:00",有
公立世羅中央病院,722-1112,世羅郡世羅町本郷918番地3,0847-22-1127,http://www.serachuo-hp.jp,有,"平日9:00-12:00(受付8:30-11:30),13:30-17:00(受付13:30-16:00)/土・日・祝は対応不可",無
