0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
徳島市民病院,770-0812,徳島県徳島市北常三島町2丁目34,088-622-5121,http://www.city.tokushima.tokushima.jp/siminbyoin/,有,24時間,有
徳島県立三好病院,778-8503,徳島県三好市池田町シマ815番地2,0883-72-1131,http://www.miyoshi-hosp.jp/,有,平日8時30分~17時15分,有
美馬とし子レディースクリニック,770-0921,徳島県徳島市栄町2の15,088-653-1912,,有,平日9時~12時30分、15時30分~18時(水曜日 午後休み)土曜日9時~12時30分 15時30分~17時,有
なかたに産婦人科,779-3233,徳島県名西郡石井町石井字石井554-7,088-674ー1295,https://www.nakatani1103.com/,有,平日9時30分~12時、14時30分~18時(水曜日 午後休み)土曜日9時30分~12時 14時30分~16時30分,有
秦産婦人科内科,771-1211,徳島県板野郡藍住町徳命140ー2,088-692ー5758,,有,月曜日~土曜日 8時~18時,有
西条産婦人科,779-3742,徳島県美馬市脇町字西赤谷204,0883-52-2002,www.saijo-obgy.com,有,月、火、木、金曜日 10時~16時 水、土曜日 10時~13時,有
伊月健診クリニック,770-0911,徳島県徳島市東船場町1丁目8番地,088-653-2315,http://www.itsukikenshin.jp/,有,火、金、第1・3・5土曜日 9時~17時,有
木下産婦人科内科医院,774-0014,徳島県阿南市学原町上水田11-7,0884-23-3600,,有,平日9時~12時、14時~17時30分(第2・4木曜日 9時~12時第1・3・5木曜日休診) 土曜日9時~12時 14時~15時30分,有
中山産婦人科,771-1221,徳島県板野郡藍住町東中富字長江傍示5-6,088-692-0333,,有,平日・土曜日9時~12時30分 15時~18時30分 日・祝日 10時~11時,有
春名産婦人科,770-8063,徳島県徳島市南二軒屋町1ー2ー55,088-652-2538,,有,月、火、水、金曜日 9時~12時30分 15時~18時30分 土曜日 9時~12時30分 15時~17時,有
メイプルクリニック高橋産婦人科,770-0868,徳島県徳島市福島二丁目2番8号,088-652ー7077,,有,平日9時~18時(木曜日9時~12時30分) 土曜日9時~18時,有
レディースクリニック兼松産婦人科,772-0003,徳島県鳴門市撫養町南浜字東浜601,088-685-1103,kanematu-clinic.jp,有,月、火、水、金、土曜日 9時~18時30分 木曜日 9時~12時30分,有
蕙愛レディースクリニック,770-0023,徳島県徳島市佐古3番町4ー6,088-653-1201,http://www.keiai-hp.com,有,月~土曜日 8時~18時,無
住吉レディースクリニック,773-0005,徳島県小松島市南小松島町8-3,0885-32-0836,http://www.komatsushima.ne.jp/anzan/,有,平日9時~17時 木・土曜日 9時~12時,少々有
国府藤田産婦人科,779-3124,徳島県徳島市国府町中171-4,088-642-1026,,有,月、火、水、金、土曜日 9時~12時,有
梶産婦人科,770-0832,徳島県徳島市寺島本町東2-22-2,088-622-1680,https://www.kaji-sanfujinka.com,有,月~土曜日 9時~12時30分 14時30分~18時(木曜日は9時~12時30分のみ),有
つるぎ町立半田病院,779-4401,徳島県美馬郡つるぎ町半田字中藪234-1,0883-64-3145,http://www.handa-hospital.jp,有,24時間,病院前院外薬局に有
だいとうレディースクリニック,772-0011,徳島県鳴門市撫養町大桑島字北浜71,088-683-1588,www.daito-lc.com,有,平日8時30分~12時30分、14時30分~18時(木曜日除く) 土曜日8時30分~12時30分,有
祖川産婦人科クリニック,770-0003,徳島県徳島市北田宮3丁目5ー65,088-633-1133,http://www.sogawa.jp,有,原則24時間,有
しんくら女性クリニック,770-0855,徳島県徳島市新蔵町3丁目59,088-602-2088,http://shinkurajyosei-clinic.jp/,有,月、火、木、金、土9時~12時30分 14時~18時(ただし第1・3・5木曜日は9時~12時30分のみ) 水(9時~12時30分),有
ルナウイメンズクリニック,771-0203,徳島県板野郡北島町中村字城屋敷19-13,088-697-2322,http://luna-wc.com,有,月、火、木、金、土曜日 9時~12時30分 14時30分~18時30分 水曜日9時~12時30分,有
平尾レディースクリニック,770-8024,徳島県徳島市西須賀町下中須85ー7,088-669-6366,http://www.hirao-ladiesclinic.com/,有,月、火、木、金 9時~12時30分 14時30分~18時 水 9時~12時30分 土 9時~12時30分 14時30分~17時,有
徳島県鳴門病院,772-8503,徳島県鳴門市撫養町黒崎字小谷32番,088-683-0011,https://naruto-hsp.jp,有,原則24時間365日,有
仁木訪問診療クリニック,770-0856,徳島県徳島市中洲町1丁目64ー2,088-611-2128,,有,平日9時~18時 土曜日9時~13時,有
吉野川医療センター,776-0014,徳島県吉野川市鴨島町知恵島字西知恵島120,0883-26-2222,http://ja-ymc.jp,有,平日8時30分~11時(受付),有
阿南医療センター,774-0045,徳島県阿南市宝田町川原6番地1,0884-28-7777,http://www.anan-medc.jp,有,24時間,有
山城公園レディースクリニック,770-8054,徳島県徳島市山城西3丁目26,088-676-3370,www.yamashiro-park-lc.jp/,有,月~土9:00~12:30 月火木金15:00~18:30 土15:00~16:30,有
