0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
山内産婦人科医院,798-0085,愛媛県宇和島市宮下甲223-5,0895-24-0321,http://yamauchi-lc.com/,有,いつでも可,有
長野産婦人科,798-0050,愛媛県宇和島市堀端町1-8,0895-24-1103,http://nagano-ladies.jp/,有,8:00~22:00,有
産科婦人科 ばらのいずみ クリニック,790-0941,愛媛県松山市和泉南1-7-10,089-956-6002,https://www.baranoizumi-clinic.com/,有,月・火・木・金 9:00~12:00、15:30~18:30水土 9:00~12:00,有
梅岡レディースクリニック,790-0052,愛媛県松山市竹原町1-3-5,089-943-2421,https://www.umeoka-lc.or.jp/,有,月・火・水・金 9:30~12:30、16:00~18:30木 9:30~12:30土 9:30~13:30,有
福井ウィメンズクリニック,790-0922,愛媛県松山市星岡4丁目2-7,089-969-0088,https://www.fukuiwc.jp/,有,月・火・金 9:00~18:00水・土 9:00~16:00木 9:00~12:00,有
岡田産婦人科医院,790-0044,愛媛県松山市余戸東2丁目13番45号,089-971-5161,,有,平日 9:00~17:00水・土 9:00~12:00,有
松山まどんな病院,790-0802,愛媛県松山市喜与町1-7-1,089-936-2461,https://matsuyama-madonna.com/,有,平日 8:30~17:00,有
沢原産婦人科皮フ科 入船呼吸器内科,791-8067,愛媛県松山市古三津5丁目4-34,089-951-0311,,有,月・火・水・金  9:00~12:00、14:30~17:15木・土 9:00~12:00,有
奥島病院,790-0843,愛媛県松山市道後町二丁目2番1号,089-925-2500,http://www.okujima-hospital.com,有,月・火・木・金 9:00~17:00水・土 9:00~12:00,有
武田産婦人科医院,790-0821,愛媛県松山市木屋町1丁目5-14,089-924-3553,http://www.takedasanfu.com/,有,平日 9:00~12:00、14:00~18:00土 9:00~12:00、13:00~15:00時間外、休日でも対応しますが、料金が上がります。,有
まり子レディースクリニック,790-0003,愛媛県松山市三番町4丁目1番7,089-913-1777,http://www43.tok2.com/home/marikolc,有,月~水・金 9:00~13:00、15:00~18:00木・土 9:00~13:00,有
,,,,,,,
松岡産婦人科クリニック,790-0905,愛媛県松山市樽味2丁目8番30号,089-932-3355,https://matsuokafujinka-cl.jp/,有,月・火・木・金 9:00~12:00、14:30~18:00水・土 9:00~13:00,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
公立学校共済組合四国中央病院,799-0193,愛媛県四国中央市川之江町2233,0896-58-3515,http://www.shikoku-ctr-hsp.jp/,有,24時間対応可能,有
社会医療法人石川記念会HITO病院,799-0112,愛媛県四国中央市上分町788-1,0896-58-2222,http://hitomedical.co-site.jp/,有,月・金 9:30~11:30、15:00~16:30火・水・木・第1土・第3土 9:30~11:30,有
いのうえレディースクリニック,799-0405,愛媛県四国中央市三島中央4丁目4番4号,0896-23-3651,,有,月・火・木・金 10:00~13:0015:00~18:30水 15:00~18:30土 10:00~13:00,有
鎌田産婦人科,792-0896,愛媛県新居浜市阿島1丁目1番56号,0897-45-3800,,有,月~水9:00~13:00、14:00~18:00金~土9:00~13:00、14:00~18:00木、日、祭日 休み,有
新谷ウイメンズクリニック,792-0025,愛媛県新居浜市一宮町1丁目12-56,0897-37-2688,https://swcl.jp/,有,月、金 9:00~13:00、15:00~18:30水 9:00~13:00、16:00~18:30火、木、土 9:00~13:00,有
医療法人サカタ産婦人科,793-0006,愛媛県西条市下島山甲1453,0897-55-1103,https://sakata-mc.com/,有,平日9:00~18:00木曜9:00~12:00土曜9:00~16:00,有
医療法人こにしクリニック,792-0811,愛媛県新居浜市庄内町1-13-35,0897-33-1135,http://www.konishi-clinic.jp/,有,月、火、水、金曜日8:30-17:00土曜日8:30-16:30,有
一般財団法人積善会十全総合病院,792-8586,愛媛県新居浜市北新町1番5号,0897-33-1818,https://jyuzen.jp/,有,月・水・金曜日8:45-16:00火・木・土曜日8:45-12:00※土曜日は第1・3・5週のみ,有
独立行政法人労働者健康安全機構 愛媛労災病院,792-8550,愛媛県新居浜市南小松原町13-27,0897-33-6191,https://www.ehimeh.johas.go.jp/,有,平日 8:15-17:00(上記以外の時間外対応、休日対応可、24時間対応),無
社会医療法人 同心会 西条中央病院,793-0027,愛媛県西条市朔日市804番地,0897-56-0300,https://www.saijo-c-hospital.jp/,有,平日 8:30-17:15第2・第4土曜日 8:30-13:00・次の日中までに72時間を超える場合は対応できない。・12/30ー1/3と婦人科常勤医師が不在時は対応できない。,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
よしおか眼科・さかい産婦人科,799-2654,愛媛県松山市内宮町甲512-9,089-978-3888,http://www.yoshioka-mc.com,有,平日のみ 9:00~12:00、15:00~18:00土曜日 9:00~13:00木曜日 9:00~12:00,有
矢野産婦人科,790-0872,愛媛県松山市昭和町72-1,089-921-6507,http://yanomc.com,有,月・火・木 9:00~12:30、15:00~18:00金 9:00~12:30水・土 9:00~15:30,有
つばきウイメンズクリニック,791-1104,愛媛県松山市北土居5-11-7,089-905-1122,https://www.tsubaki-wc.com,有,平日 9:00~12:00、15:00~18:00水 9:00~12:00土 9:00~12:00、15:00~17:00,有
正岡産婦人科,790-0925,愛媛県松山市鷹子町254番地1,089-976-1103,http://www.masaoka-cl.com/,有,月・水・木・9:00~12:00、14:00~18:00水・金 9:00~12:00土9:00~13:00,有
新田産婦人科クリニック,790-0012,愛媛県松山市湊町4丁目1-6,089-998-8880,,有,月・火・木・金9:00~13:00、14:30~18:30水9:00~13:00土9:00~16:00,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
きら病院,794-0028,愛媛県今治市北宝来町1丁目3-5,0898-31-5711,http://kirahp.jp/,有,月火水金土曜9:00~13:00 15:00~18:00日曜10:00~13:00(祝日と連休になる日曜日は休診),有
医療法人社団日浅産婦人科医院,794-0821,愛媛県今治市立花町3-7-30,0898-24-1135,http://www.hiasa.jp/,有,月水金曜9:00~13:00 15:00~18:00日火曜9:00~13:00,有
梅の木中医学クリニック,794-0112,愛媛県今治市玉川町小鴨部甲35-1,0898-55-2820,http://www.umenoki-c.sakura.ne.jp/,有,月火水金曜9:30~12:30 16:00~19:00木曜9:30~12:30土曜9:30~13:00,有
愛媛大学医学部附属病院,791-0295,愛媛県東温市志津川454,089-964-5111,https://www.hsp.ehime-u.ac.jp/,有,平日 8:30-17:00土・日・祝日 8:30-17:00,有
ハートレディースクリニック,791-0216,愛媛県東温市野田2丁目100-1,089-955-0082,http://hlc.d.dooo.jp,有,日~水・金・土 9:00-13:00水・土 15:00~18:00火・金 15:00~19:00,有
市立八幡浜総合病院,796-8502,八幡浜市大平1番耕地638番地,0894-22-3211,http://yawatahama-cgh.jp/,有,月 9:00~12:00火 9:00~12:00水 9:00~12:00木 9:00~12:00金 9:00~12:00,有
よしもとレディースクリニック,795-0065,大洲市東若宮14-14,0893-25-7780,https://www.yoshimotolc.com/,有,日 9:00~13:00月 9:00~18:00火 9:00~18:00水 9:00~18:00金 9:00~18:00土 9:00~13:00,有
かわばた産婦人科,795-0064,大洲市東大洲230番地2,0893-23-1103,http://www.kawabata-lc.jp,有,月 9:00~18:00火 9:00~18:00水 9:00~18:00木 9:00~12:00金 9:00~18:00土 9:00~14:00,有
小泉産婦人科医院,796-0010,八幡浜市松柏丙780,0894-24-3003,,有,月 9:00~16:00火 9:00~16:00水 9:00~16:00木 9:00~16:00,有
いわもと婦人科クリニック,797-0015,西予市宇和町卯之町二丁目275-2,0894-89-3223,https://www.iwamotofujinka-cl.com/,有,月・火・水・金 9:00~12:00、15:00~17:30木 15:00~17:30土 9:00~12:00,有
