0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊への対応可能時間帯(祝日のある週は診療日が異なる可能性がありますので事前に対応可能か電話で確認することをおすすめします。),常時の緊急避妊薬の在庫の有無
かなくらレディスクリニック,450-0003,愛知県名古屋市中村区名駅南一丁目15-21 宇佐美名古屋ビル3階,052-587-3111,-,有,【月火木金】9:00~13:00、16:00~19:00【土 第2.4.5】9:00~13:00,有
かとうのりこレディースクリニック,450-0002,愛知県名古屋市中村区名駅四丁目26番25号 メイフィス名駅ビル3F,052-587-2888,https://katonoriko-lc.jp,有,【平日.月火水金】10:00~13:00、16:00~19:00【木土】10:00~13:00,有
Dr.MARI CLINIC 名古屋駅院,450-0002,愛知県名古屋市中村区名駅三丁目26番8号 KDX名古屋駅前ビル14階,052-551-8881,https://www.lady-plus.jp/,有,【月~土】10:00~19:00【日】11:00~15:00,有
ダイヤビルレディースクリニック,450-0002,愛知県名古屋市中村区名駅3-15-1 名古屋ダイヤビルディング2号館1階,052-561-1881,https://www.daiya-lc.jp,有,平日10:00~13:00、16:00~19:00土曜日 9:00~13:00,有
婦人科可世木クリニック,460-0022,愛知県名古屋市中区金山一丁目14番9号 長谷川ビル8階,052-324-7701,https://www.kaseki-cl.com,有,【平日 月火水金】9:30~12:30、16:00~19:00【土日】9:30~12:30    木祝日休,有
山田シティクリニック,460-0008,愛知県名古屋市中区栄二丁目15-40,052-231-0782,yamadacityclinic.com,有,【月火木金】10:00~13:00、16:00~18:30【水土】10:00~13:00  日祝休み,有
栄産婦人科,460-0008,愛知県名古屋市中区栄五丁目22番22号,052-251-5066,https://sakaeo-g.com,有,【月~木】9:00~13:00、17:00~20:00【金・土】9:00~13:00、17:00~19:00,有
医療法人うたし会 クリニックロタージェ,460-0003,愛知県名古屋市中区錦三丁目24番24号  錦324ビル7F,052-228-9265,http://lottage.com,有,【平日】11:00~14:00、15:00~20:00【水】11:00~14:00【土】11:00~14:00、15:00~18:00  祝日不定休,有
医療法人 芳栄会 飯田レディースクリニック,460-0007,愛知県名古屋市中区新栄三丁目2-1,052-241-0512,https://iidalady.com,有,【月~水、金】9:00~12:30、15:30~18:30【土】9:00~12:30,有
