0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人社団コンシューマメディカル 四ッ谷レディスクリニック,102-0083,千代田区麹町6-4-14 堤ビル2F,03-3234-5343,http://:yotsuya-lc.com,有,平日・土 10:00-13:00 15:00-18:30,有
医療法人社団ILC会 一番町レディースクリニック,102-0082,千代田区一番町4-26 相模屋第5ビル2F,03-3261-2255,https://www.1-ilc.com/,有,月 10:00-13:00 16:00-18:30火・水・金 9:30-13:00 16:00-18:30木 16:00-18:30 土 10:00-13:00,有
紀尾井町レディースクリニック,102-0094,千代田区紀尾井町3-29 紀尾井ロイヤルハイツ204,03-6666-5505,http://www.kioicho-lc.jp/,有,月・火・水・木 9:30-13:30 16:00-20:0金  9:30-13:30 16:00-20:00(12月から)土 10:30-13:30,有
丸の内の森 レディースクリニック,100-6509,東京都千代田区丸の内1-5-1 新丸の内ビルディング9F,03-6206-3900,https://www.moricli.jp/,有,平日 9:00-15:30,有
S.T style クリニック,102-0083,千代田区麹町4-6-8 ダイニチ麹町ビル3F,03-6261-7405,https://ststyle-clinic.jp,無,月・火・水・金・土 10:00-19:00,有
有楽町ビル婦人科クリニック,100-0006,千代田区有楽町1-10-1 有楽町ビル4Fー414区,03-3214-2568,,有,月・火・木・金 11:00-13:00 14:00-18:00,有
あゆみクリニック,101-0052,千代田区神田小川町1-10-3 保坂ビル7F,03-5577-5253,https://www.ayumiclinic.com,有,月・火・木 11:30-14:00 17:00-20:00土  11:30-14:00,有
医療法人社団授生会 杉村レディースクリニック,102-0076,千代田区五番町2 横山ビルB1F,03-3264-8686,https://www.ivf-baby.org,有,平日 8:30-19:00 土 8:30-13:00,有
医療法人財団健貢会 東京クリニック,100-0004,千代田区大手町2-2-1 新大手町ビル1F・地下1F・地下2F,03-3516-7151,http://www.tokyo-cl.com,有婦人科,月・木・金 11:00-12:00 15:00-16:30火 11:00-12:0014:00-16:30水 11:30-12:00 15:30-16:30 土 11:30-12:00,有
霞ヶ関土居美佐クリニック,100-0011,千代田区内幸町2-2-1 日本プレスセンタービルB1,03-3519-5079,http://doimisa-clinic.com/,有,月・火・木・金・第4水 10:30-13:0015:00-18:30第1・2・3        15:00-18:30,有
前田医院,104-0045,中央区築地1-3-6,03-3541-0396,,有,月・火・水・金 9:30-13:00 15:00-18:00土  9:30-13:00,有
医療法人社団進興会 東京ダイヤビルクリニック,104-0033,中央区新川1-28-25 東京ダイヤビルディング3号館-1F,03-3551-7737,https://www.daiya-clinic.jp/,有,月 14:00-17:00木 9:00-12:30 初診の方12:30,有
医療法人社団春音会 はるねクリニック銀座,104-0061,中央区銀座1-5-8 ギンザウィローアベニュービルディング6F,03-5250-6850,http://www.haruneclinic.com/,有婦人科,月・火・水・金 9:30-17:00土 9:30-14:00  木 12:00-19:00,無院外処方
医療法人社団 銀座レディースクリニック,104-0061,中央区銀座4-6-11 銀座センタービル6F,03-3535-1117,http://www.ginzaladies.com,有,月・火・水・金 9:00-18:00木・土      9:00-12:30,有
勝どきウィメンズクリニック,104-0054,中央区勝どき2-10-4宮野海運ビル4F,03-3536-7723,http://www.kachidoki-women.com/,有,平日 8:45-12:30 14:45-17:30土 8:45-12:30,有
安江レディースクリニック,103-0024,中央区日本橋小舟町15-15 ルネ小舟町ビル4F,03-3667-0085,http://www.yasuelc.com,有,月・火・木・金 10:00-13:00 15:00-17:30水 10:00-13:00,有
医療法人三秀会 八重洲中央クリニック,103-0027,中央区日本橋3-1-2 NTA日本橋ビル9F,03-3270-1121,http://www.centralclinic.or.jp,有,月・火・水 10:00-12:00 14:30-18:00木・金・土 10:00-12:00 14:30-17:00,有
医療法人社団わかと会 リバーシティクリニック東京,104-0051,中央区佃1-11-8 ピアウエストスクエア2F,03-6219-5100,https://rivercity-clinic.jp/,有,火・水・木  9:30-17:00,有
医療法人社団新宿レディースクリニック会 東京レディースクリニック,104-0031,中央区京橋1-1-5 セントラルビル5F,03-3342-1971,https://www.tokyo-ladies.jp/,有産婦人科,平日・土・日・祝 9:30-19:00,有
医療法人鉄蕉会 亀田京橋クリニック,104-0031,中央区京橋3-1-1 東京スクエアガーデンビル4階・6階,03-3527-9100,http://www.kameda-kyobashi.com/ja/index.html,有,平日 9:00-13:30 14:00-18:30土  10:30-13:30 15:00-17:00,無
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人社団聖マリア会東京フェリシアレディースクリニック,124-0012,葛飾区立石8-9-6,03-3691-9931,https://www.tokyo-felicia.com/,有,月・火・水・金 9:00-12:30 15:30-18:00木 9:30-12:30 土 9:00-13:00,有
佐久間レディース&ファミリアクリニック,124-0006,葛飾区堀切2-54-16,03-3691-0371,https://sakuma-ladies.com/,有,月・火・木・金 9:00-13:00 16:00-18:00土  9:00-13:00 15:00-17:00,有
医療法人社団慶風会 増田産婦人科,125-0041,葛飾区東金町1-13-5,03-3607-1519,www.masudasanfujinka.jp,有,月・火・水・木・金・土 9:00-11:30月・火・木・金 13:00-15:30月・水・金 18:00-19:00,有
小宅産婦人科医院,125-0031,葛飾区西水元1-29-17,03-3609-0415,,有産婦人科,月・火・木・金 9:00-12:30 15:00-17:50,有
医療法人社団晃母会 らいおんハートクリニック,132-0034,江戸川区小松川2-8-1,03-5875-2830,kobokai@lion-clinic.com,有婦人科,火 9:00-12:00 15:00-18:00金 15:00-16:30,有
太田医院,132-0025,江戸川区松江3-19-17,03-3656-1450,,有,月・火・水・金 9:00-13:00 14:30-18:20土  9:00-13:00,有
葛西産婦人科,134-0084,江戸川区東葛西6-8-6,03-3686-0311,gt-kasai@sea.plala.or.jp,有,月・火・水・金 9:00-11:50 14:00-16:00土   9:00-11:50,有
医療法人社団聖育会 三枝産婦人科医院,134-0088,江戸川区西葛西3-18-1,03-3680-3003,http://www.saigusa.or.jp/,有,24時間対応,有
医療法人社団清雅会 清水産婦人科クリニック,132-0035,江戸川区平井6-2-30,03-3613-5555,http://www.shimizuclinic.net/,有,平日 8:40-16:30 土 8:40-11:30,有
新クリニック,193-0931,八王子市台町2-16-8,042-621-6203,https://www.nhlclinic.com/,有,月・火・金 9:00-12:00 15:00-18:00水 9:00-11:00 土 9:00-12:00 15:00-17:00,有
医療法人社団陽晃会 はぎの医院,192-0066,八王子市本町11-6-1F,042-622-2206,,有,火・水・金 9:00-12:00 14:00-17:00土  9:00-12:00,有
京王産婦人科クリニック,193-0833,八王子市めじろ台2-19-4,042-664-3511,http://keiosanfujinka.com/,有,月・火・木・金 9:20-13:00 15:00-18:00土   9:20-13::00,有
医療法人社団宥和会 南大沢婦人科ヒフ科クリニック,192-0364,八王子市南大沢2-27 フレスコ南大沢4F,042-674-0855,http://www.fujinkahifuka.jp,有,月・火・木・金 9:30-13:00 14:30-18:00土   9:30-13::00,有
山田ウイメンズクリニック,192-0046,八王子市明神町3-25-7 グランデュールマンション1F,042-648-0870,https://yamada-womensclinic.com/,有,平日 9:20-12:30 15:00-18:00土   9:20-12:30,有
まるはし女性応援クリニック,190-0012,立川市曙町2-9-4 野口ビル3F,042-512-8736,http://www.marugyne.com,有,月・火・水・木 11:00-13:30 16:00-19:00日  11:00-15:00,有
こむかい産婦人科,190-0022,立川市錦町2-3-30,042-525-3524,https://www.komukai.net/,有,月・火・水・木 9:00-12:00 13:30-15:3017:00-18:00土  9:00-12:00 13:30-15:30,有
医療法人社団 泉医院,190-0012,立川市曙町2-14-16 住生ASKビル1階,042-522-2233,http://www.izumi-iin.com,有,月・火・木・金 9:00-12:00 15:00-18:30土  9:00-13:00,有
医療法人社団正裕会 井上レディースクリニック,190-0013,立川市富士見町1-26-9,042-529-0111,http://www.inoue-ladies.jp,有,月・水・金 9:00-12:00 15:00-18:00火・木・土    9:00-12:00,有
毛利もとこ女性クリニック,190-0023,立川市柴崎町2-1-8 立川駅南口メディカルモール2F,042-540-3300,https://www.josei-clinic.info/,有,月・火・木・金 9:30-12:30 15:00-18:30土 9:30-15:00,有
武蔵境いわもと婦人科クリニック,180-0023,武蔵野市境南町3-14-6 山桃ビル2F,0422-31-3737,https://www.iwa-cl.jp/,有,月・水・金 10:00-14:00 16:00-20:00火 10:00-14:00 16:00-18:30木 10:00-14:00 土 10:00-13:00 14:00-17:00,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
学校法人聖路加国際大学聖路加国際病院,104-8560,中央区明石町9番1号,03-3541-5151,http://hospital.luke.ac.jp/,有,女性総合診療部 平日 8:30-17:00救命救急センター 夜間 17:00-8:30土・日・祝 0:00-23:59,有
北里大学 北里研究所病院,108-8642,港区白金5丁目9番1号,03-3444-6161,http://www.kitasato-u.ac.jp/hokken-hp/,有,平日 8:30-11:30土(第4除く) 8:30-11:30,有
国家公務員共済組合連合会 虎の門病院,105-8470,港区虎ノ門2-2-2,03-3588-1111,https://www.toranomon.gr.jp,有,平日 9:00-16:30,有
独立行政法人地域医療機能推進機構 東京新宿メディカルセンター,162-8543,新宿区津久戸町5-1,03-3269-8111,http://www.tkn-hosp.gr.jp,有,月・木 9:00-16:00 金 11:00-16:00,有
東京医科大学病院,160-0023,新宿区西新宿6-7-1,03-3342-6111,http://hospinfo.tokyo-med.ac.jp/,有,平日 8:00-11:00,有
順天堂大学医学部附属順天堂医院,113-8431,文京区本郷3-1-3,03-3813-3111,www.juntendo.jp/hospital,有産科・婦人科,平日 8:00-15:00  土 8:00-11:00,有
公益財団法人東京都保健医療公社 荏原病院,145-0065,大田区東雪谷4-5-10,03-5734-8000,http://www.ebara-hp.ota.tokyo.jp/,有,平日 8:00-12:00 13:00-17:00,有
独立行政法人労働者健康安全機構 東京労災病院,143-0013,大田区大森南4-13-21,03-3742-7301,https://tokyoh.johas.go.jp/,有,平日 9:00-17:00,有
医療法人社団九折会 成城木下病院,157-0066,世田谷区成城6-13-20,03-3482-1702,https://kinohosp.com/,有,月~土 8:00-11:30 12:00-16:30,有
社会福祉法人康和会 久我山病院,157-0061,世田谷区北烏山2-14-20,03-3309-1111,http://www.kugayama-hp.org/,有,24時間対応可能(緊急など出来ない場合もある。受診希望は事前TEL),有
医療法人財団健貢会 総合東京病院,165-8906,中野区江古田3-15-2,03-3387-5421,http://www.tokyo-hospital.com,有,平日・土 9:00-13:00,有
一般財団法人自警会 東京警察病院,164-8541,中野区中野四丁目22番1号,03-5343-5611,http://www.keisatsubyoin.or.jp/,有,平日 8:30-11:30,有
医療法人財団明理会 明理会中央総合病院,114-0001,北区東十条3-2-11,03-5902-1199,https://ims.gr.jp/meirikaichuo/,有,平日 8:30-16:30,有
公益社団法人地域医療振興協会 東京北医療センター,115-0053,北区赤羽台4-17-56,03-5963-3311,https://www.tokyokita-jadecom.jp/,有,24時間,有
医療法人財団逸生会 大橋病院,115-0054,北区桐ケ丘1-22-1,03-3907-1222,http://o-hp.or.jp/,有,月・火・木・金 9:00-16:30土(第2・4) 9:00-11:30,有
社会医療法人社団正志会荒木記念東京リバーサイド病院,116-0003,荒川区南千住8-4-4,03-5850-0311,http://www.trshp./jp/,有,月・金・土 8:30-11:30水・木   8:30-11:30 13:30-16:00,有
東京女子医科大学東医療センター,116-8567,荒川区西尾久2-1-10,03-3810-1111,https://twmu-mce.jp/,有,基本24時間 困難な場合もある,有
医療法人財団 明理会 東京腎泌尿器センター大和病院,173-0001,板橋区本町36-3,03-5943-2411,https://www.ims.gr.jp/yamato/,有婦人科,平日 8:30-17:00 土 8:30-12:30,有
医療法人財団仁寿会 荘病院,173-0004,板橋区板橋1-41-14,03-3963-0551,http://www.sho-hospital.jp/usr/pc/,有,平日 9:00-11:30土    9:00-11:30  (第2休診),有
公益財団法人東京都保健医療公社 豊島病院,173-0015,板橋区栄町33-1,03-5375-1234,http://www.toshima-hp.jp/,有,平日 9:00-15:30,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人社団美力会 西国分寺レディースクリニック,185-0024,国分寺市泉町2-9-3 ハートフルビル西晴2F,042-300-0055,http://www.nklc.jp,有,平日 9:30-12:00 15:00-17:30土  9:30-12:00,有
岡産婦人科,186-0004,国立市中1-18-13,042-572-0368,,有,月・火・木・金 9:00-12:00 15:00-18:00土  9:00-12:00,有
医療法人社団慈心会 保坂産婦人科クリニック,201-0014,狛江市東和泉1-21-3,03-3488-1103,https://www.hosaka-cl.com/,有,月・火・木・金 9:00-12:00 15:00-18:00水・土   9:00-12:00,有
社会医療法人財団大和会東大和病院附属セントラルクリニック,207-0014,東大和市南街2-3-1,042-562-5511,http://www.yamatokai.or.jp,有婦人科,月・水・木・金・土 8:30-16:00,無
医療法人社団心慈会 レディースクリニックマリアヴィラ,207-0023,東大和市上北台1-2-14 上北台メディカルビル4F,042-566-8827,http://www.maria-villa.jp/,有産科・婦人科,月・火・木・金 9:00-12:00 16:30-19:30土 9:00-12:00 14:00-17:00,有
宇都宮レディースクリニック,204-0021,清瀬市元町1-4-26 清瀬パークホームズ1F,042-491-0103,https://utsunomiya.or.jp/,有産婦人科,月・火・水・金・土 9:00-17:00,有
医療法人社団恵輝会 ペルフェ滝山マタニティクリニック,203-0033,東久留米市滝山5-3-6,042-477-3503,http://www.perfe.jp/,有,月・火・金 9:00-16:30水・土   9:00-12:00,有
医療法人社団紫波会 平賀診療所,206-0011,多摩市関戸2-10-10,042-375-7154,,有,月・火・木・金 9:30-11:30 15:00-16:30土   9:00-11:30,有
こまちレディースクリニック,206-0033,多摩市落合1-3-1 かじやビル1F,042-357-3535,,有婦人科,月・火・水・木・金・土 9:50-12:45月・火・水・木     15:00-18:30,有
ヒルズクリニック聖蹟,206-0011,多摩市関戸1-5-2,042-316-5556,http://hills-clinic.com,有,平日 9:30-11:30 13:30-16:45土  9:30-11:30 来院前事前電話,有
よりみつレディースクリニック,205-0011,羽村市五ノ神1-2-2 メディカルプラザ3F,042-570-5130,http://website2.infomity.net/8380000092/,有産婦人科,月・火・水・金 8:30-16:00,有
わかくさ医院,205-0001,羽村市小作台2-7-16,042-579-0311,wakakusaiin@hamurashi-med.or.jp,有,月・木    8:30-12:00 14:30-17:00火・金・土 8:30-1200,有
医療法人社団ヒマワリ会畑中医院,188-0012,西東京市南町3-22-8,042-461-3209,http://www.gigi-town.jp/clinic/hatanaka-iin,有,月・火・木・金 9:00-18:00水・土      9:00-12:00,有
ひろクリニック,188-0001,西東京市谷戸町3-26-7,042-423-2784,http://hiroi-c.com,有,月・火・木 9:00-12:30 14:00-17:30金 9:00-12:30 15:00-18:30 土9:00-12:30,有
