0,1,2,3,4,5,6,7
佐藤クリニック,526-0033,滋賀県長浜市平方町1240番地,0749-65-0100,http://www.sato-clinic.com,有,"・月・火・木・金:9:00~12:30,16:00~19:30・土:9:00~12:30",有 ノルレボ錠1.5mg
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊への対応可能時間帯,常時の緊急避妊薬の在庫の有無
独立行政法人 市立大津市民病院,520-0804,滋賀県大津市本宮2丁目9-9,077-521-5414,https://www.och.or.jp/,有,月~木 9:00~15:30上記以外は救急にて対応可,無
青木レディース・クリニック,520-0241,滋賀県大津市今堅田2丁目26-5,077-573-5215,http://aoki-ladies.jp/s/,有,・月曜日~土曜日:9:00~12:00(祝日を除く)・月・水・金:17:00~19:00,有(レボノルゲストル錠1.5mg(1日1名分のみ)プラノバール錠)
医療法人 せせらき会浮田クリニック,520-0242,滋賀県大津市本堅田六丁目36番1号,077-574-3751,https://ukita.gh.jp/,有,・月・水・金:9:00~12:3016:30~19:00・火・木・土:9:00~12:30,有(ノルレボ錠1.5mg)
青地うえだクリニック,520-0043,滋賀県大津市中央1-1-6,077-522-3940,https://www.aoueda-cl.com,有,・月~金:9:00~12:00・月・水・金:17:00~19:00・土曜9:00~12:00(第1-3・5のみ),有 レボノルゲストレル錠1.5mg「F」プラノバール ヤッペ法のみ取り扱い。在庫あり。
医療法人桂川レディースクリニック,520-0834,滋賀県大津市御殿浜21-8,077-511-4135,http://www.katsuragawa-lc.com,有,・月・水・金 9:00~12:30/16:00~19:00・火・木 9:00~12:30/16:00~17:30・土 9:00~12:30,有(レボノルゲストレル錠1.5mg「F」)
医療法人 竹林ウイメンズクリニック,520-2144,滋賀県大津市大萱1丁目1番1号,077-547-3557,https://www.takebayashi-clinic.com,有,24時間対応,有(Levonorgestrol LP1.5mg)
中井医院,520-0524,滋賀県大津市和邇今宿572-4,077-594-0010,未記載,有,・月・火・水・金:9:00~11:3013:30~16:00・木・土:9:00~11:30,有 レボノルゲストレル錠F」
中井医院,520-0524,滋賀県大津市和邇今宿572-4,077-594-0010,未記載,有,・月・火・水・金:8:30~11:3013:30~16:00・木・土:8:30~11:30,有
医療法人若葉会 松島産婦人科医院,520-0027,滋賀県大津市錦織3丁目6-22,077-525-0025,http://matsushima.ladies.jp,有,・月・水・金:9:00~19:30・火・木・土:9:00~15:00,有 レボノルゲストレル錠1.5mg「F」プラノバール ヤッペ法
たかこレディスクリニック,520-0832,滋賀県大津市粟津町3-2-303,077-534-4031,http://www.medic-grp.co.jp/dr/takako-lc,有,"・月・水・金:8:45~12:00,16:45~19:00・火・土:8:45~12:00",有 レボノルゲストレル錠1.5mg「F」プラノバール ヤッペ法相談により可
社会福祉法人恩賜財団済生会滋賀県病院,520-3046,滋賀県栗東市大橋2丁目4番1号,077-552-1221,https://www.saiseikai-shiga.jp,有,平日 8:30-17:00,有(ノルレボー錠1.5mg)
南草津野村病院,525-0059,滋賀県草津市野路1丁目6-5,077-561-3788,http://www.nomura-magokoro-med.or.jp/,有,・平日:9:00~12:00・月・水・金:17:00~19:00・土曜:9:00~12:00,有 レボノルゲストレル錠F」
医療法人産婦人科ハピネスバースクリニック,525-0066,滋賀県草津市矢橋町233-3,077-564-3101,http://happiness-bc.com,有,・日~土:9:00~12:00・月・火・水・金:17:00~19:30,有 ノルレボ錠1.5mgレボノルゲストレル錠1.5mg「F」プラノバール ヤッペ法
ちばレディースクリニック,520-3024,滋賀県栗東市小柿5丁目13-2,077-551-5383,http://www.chiba-lc.com/,有,"・月・火・木:9:30~12:30,17:30~19:30・水・金・土・日(祝日含む):9:30~12:30",有 レボノルゲストレル錠1.5mg「F」プラノバール
医療法人智林会 山田産婦人科,525-0025,滋賀県草津市西渋川1丁目21-14,077-562-1175,http://www.yamadaclinic.com/,有,・月・火・水・金・土:9:00~12:00・月・水・金:17:00~19:00,有 レボノルゲストレル錠1.5mg「F」プラノバール
