0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
福井総合病院,910-8561,福井市江上町第58号16番地1,0776-59-1300,http://www.f-gh.jp/,有,平日 8:30~17:00土曜 8:30~12:30,有
福井県済生会病院,918-8503,福井市和田中町舟橋7番地1,0776-23-1111,https://www.fukui-saiseikai.com/,有,24時間対応可能,有
医療法人 福井愛育病院,910-0833,福井市新保2丁目301番地,0776-54-5757,https://www.fab.or.jp/,有,365日 24時間,有
坂井市立三国病院,913-0042,坂井市三国町中央一丁目2番34号,0776-82-0480,https://www.city.fukui-sakai.lg.jp/index.html,有,平日 8:30~15:30土曜 8:30~11:30休日・時間外の場合はお問い合わせください。,有
福井勝山総合病院,911-8558,勝山市長山町2-6-21,0779-88-0350,http://fukui.jcho.go.jp/,有,平日 09:00 ~ 15:00,有
公立丹南病院,916-0021,鯖江市三六町1丁目2番31号,0778-51-2260,https://www.jadecom.or.jp/jadecomhp/tannan/html,有,平日 8:30~17:土曜 8:30~12:30,有
財団法人  今立中央病院,915-0242,越前市粟田部町33-1,0778-42-1800,www.myclinic.ne.jp/imachu/pc/,有,,無
市立敦賀病院,914-0058,敦賀市三島町1丁目6-60,0770-22-3611,http://tsuruga-hp.jp/,有,24時間対応,有
杉田玄白記念公立小浜病院,917-0078,小浜市大手町2-2,0770-52-0990,http://www.obamahp-wakasa.jp,有,月~金 8:30~17:15(土・日・祝祭日及び上記の時間以外は救急対応),有
若狭高浜病院,919-2225,大飯郡高浜町宮崎87-14-2,0770-72-0880,https://takahama.jcho.go.jp/,有,火曜 9:00~11:30第2・4金曜 9:00~11:30,無
福井総合クリニック,910-0067,福井市新田塚1丁目42-1,0776-21-1300,http://www.f-gh.jp/,有,平日 8:30~17:00土曜 8:30~12:30,有
ホーカベレディースクリニック,918-8002,福井市左内町10号11番地,0776-36-0665,https://www.hookabe.com/,有,平日 9:00~18:30(水曜は休診)土曜 9:00~14:00,有
加藤内科・婦人科クリニック,910-0845,福井市志比口1丁目10-28,0776-53-0053,http://www.katouhomecare.ecnet.jp/,有,平日 8:00~18:00(木曜は12:00まで)土曜 8:00~18:00時間外 電話で対応可,有
レディースクリニックつねざわ,910-0858,福井市手寄1丁目7-23 駅東さくらビル4階,0776-30-5233,https://lc-tsunezawa.jp/,有,月・火・木・金曜 9:00~12:30 14:30~18:30水・土曜 9:00~12:30,有
平井医院,910-0019,福井市春山2丁目24-9,0776-22-6733,,有,平日・土曜 9:00~18:00木曜日 9:00~13:00,有
まきレディースクリニック,910-0064,福井市新田塚町101,0776-22-8989,http://makilc.web.fc2.com/,有,月・火・水・金曜 8:30~18:00土曜 8:30~12:30,有
打波外科胃腸科・婦人科,910-0017,福井市文京7丁目10-2,0776-26-7171,www.uchinami.clinic-hp.com,有,平日 9:00~18:00(火・木は17:00まで)要予約水曜 9:00~13:00土 9:00~17:00 要予約,有
本多レディースクリニック,910-0004,福井市宝永4丁目2番18号,0776-24-6800,www.honda-lc.or.jp,有,月・火・木・金曜 9:00~18:20土曜 9:00~12:50,有
ふくのレディースクリニック,910-0842,福井市開発5丁目606番地,0776-52-3600,https://www.fukuno_clinic.com,有,月・火・木・金曜 9:00~18:00土曜 9:00~12:00,有
金津産婦人科クリニック,919-0621,あわら市市姫1-8-5,0776-73-3800,http://www3.ocn.ne.jp/~doniwa/,有,平日 8:30~18:00(水曜のみ8:30~12:00まで)土曜 8:30~17:00,有
春日レディスクリニック,919-0465,坂井市春江町江留上新町8番地,0776-51-6080,http://www.kasuga-lc.com/,有,平日、土曜、日曜対応可,有
栃木産婦人科医院,912-0053,大野市春日92-6,0779-66-2502,,有,平日 9:00~12:00 15:00~18:00土曜 9:00~12:00 15:00~18:00,有
藤井医院,915-0841,越前市文京1丁目6-28,0778-23-3211,,有,平日、土曜 9:00~18:30水曜 9:00~12:00,有
医療法人 文生会 井元産婦人科医院,915-0061,越前市堀川町6-25,0778-23-3541,www.imoto-sanfujinka.com,有,月・火・木・金曜 9:00~12:00 15:00~18:00水・土曜 9:00~12:00,有
加藤産婦人科,916-0022,鯖江市水落町1-4-21,0778-51-1285,,有,平日 9:00~12:00 14:30~19:00土曜 9:00~12:00 14:00~16:00,有
産婦人科 鈴木クリニック,916-0041,鯖江市東鯖江町4丁目2-23,0778-52-6000,https://suzuki-clinic-sanfujinka.com,有,平日 土曜 日曜 7:00~24:00,有
医療法人 松田マタニティクリニック,914-0815,敦賀市平和町7-3,0770-24-1131,,有,月・火・木・金曜 9:00~12:30 15:00~17:30水・土曜 9:00~12:30,有
産科・婦人科 井上クリニック,914-0814,敦賀市木崎49-24-1,0770-21-4103,https://www.siclinic.jp/,有,月・火・木・金曜 9:00~18:00水・土曜 9:00~12:00,有
中山クリニック,917-0026,小浜市多田2-2-1,0770-56-5588,http://www.nakayamaclinic.jp/,有,平日 9:00~18:00水曜、土曜 9:00~12:00,有
