0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
明治病院,960-8102,福島県福島市北町2番40号,024-521-0805,http://meiji.or.jp/,有,平日 8:30-12:00 14:00-18:00 土 8:30-12:00 14:00-16:00,有
福島西部病院,960-8071,福島県福島市東中央三丁目15番地,024-533-2121,https://www.keiai-kai.or.jp,有,月・火・木・金・土 9:00-12:00 水 9:00-12:00 14:00-16:00,有
福島総合病院,960-1101,福島県福島市大森字下原田25番地,024-544-5171,http://www.saisei.ecnet.jp/,有,平日 8:30~11:30 土曜(第2.4.5) 8:30-11:30,有
大原綜合病院,960-8611,福島県福島市上町6番1号,024-526-0300,http://www.ohara-hp.or.jp,有,24時間 年中無休,有
菅野産婦人科医院,960-8157,福島県福島市蓬莱町2-1-11,024-548-2525,0,有,月.火.水.金  9:00~18:00 木.土 9:00-12:00,有
二瓶産婦人科医院,960-0101,福島県福島市瀬上町字明光町23-1,024-554-2323,0,有,平日 9:00-18:00 木曜 9:00-12:00 土曜 9:00-17:00,有
本田クリニック産科婦人科,960-1101,福島県福島市大森字赤沢97-6,024-545-3500,http://www.honcli.or.jp/,有,24時間,有
いちかわクリニック,960-0112,福島県福島市南矢野目字鼓田6-1,024-554-0303,http://ichikawacl.com/,有,平日(月~金) 8:30-11:30 土曜 8:30-11:30 平日(月.火.木.金) 13:00-17:30,有
ABCクリニック新妻産婦人科,960-8032,福島県福島市陣場町9-18,024-533-1103,0,有,24時間,有
西口クリニック婦人科,960-8053,福島県福島市三河南町10-5,024-525-6388,0,有,月.土 9:30~16:00 火~金 9:30-19:00,有
大川レディースクリニック,960-8152,福島県福島市鳥谷野字天神3-11,024-545-8883,https://www.okawa-ladies.com/,有,月.火.木.金 9:30~19:00 水.土 9:30-13:00,有
やざわみほこレディースクリニック,960-8003,福島県福島市森合字高野1-23,024-573-5881,,有,平日(月.火.木.金) 9:00~18:00 水.土 9:00-12:30 (日曜.祝日 休み),有
本田レディスクリニック,964-0917,福島県二本松本町1-229,0243-22-0301,0,有,平日 9:00-18:00 土曜 9:00-16:00,有
土川産婦人科医院,964-0905,福島県二本松市松岡265-16,0243-22-0035,0,有,平日 8:30-18:30 土曜 8:30-16:30,有
渡辺医院,964-0876,福島県二本松市正法寺町186-1,0243-62-3000,www.watanabe-fns.com,有,月.火.木.金 8:30-12:30 15:00-17:45 水.土 8:30-12:30,有
二本松ウイメンズクリニック,964-0911,福島県二本松市亀谷1-275-4,0243-24-1322,http://www.n-w-cl.jp/,有,平日 8:30-17:30 土曜 8:30-15:30,有
岡崎産婦人科,963-0107,福島県郡山市安積2-335,024-945-8080,http://www.okazaki.or.jp,有,24時間,有
桜井産婦人科医院,963-8014,福島県郡山市虎丸町23-18,024-932-1637,https://www.sakurai-cl.net/,有,月.火.水.金 9:00-11:00 13:30-16:30 木.土 9:00-11:00,有
塚原産婦人科内科外科医院,963-8025,福島県郡山市桑野2丁目34-12,024-922-5789,0,有,平日 9:00-19:00 土曜 9:00-18:00 ※日曜.祝日 問い合わせ不可,有
美術館通りクリニック,963-8806,福島県郡山市字下舘野23-4,024-956-0303,0,有,月.火.水.金 9:00-12:00 14:00-17:00 土 9:00-12:00,有
ロマリンダクリニック,963-8002,福島県郡山市駅前2-11-1,024-924-1161,https://www.lomalinda-jp.com/,有,平日 10:00-17:00 土曜 10:00-13:00,有
小野レディスクリニック,963-0105,福島県郡山市安積町長久保3丁目10番3,024-937-3755,0,有,平日(月.火.水.金) 9:30-11:30 14:30-17:30 土曜 9:30-11:30 14:30-15:30 (木は休診),有
トータルヘルスクリニック,963-8841,福島県郡山市字山崎171,024-927-0325,http://www.jihankai.jp/,有,月.火.木.土.第1日曜 9:30-14:00 15:00-18:00 金 9:30-14:00,有
あべウイメンズクリニック,963-8071,福島県郡山市富久山町久保田字伊賀河原6-1,024-923-4188,http://www.abe-wclinic.jp,有,平日(月~金) 8:30-18:30 (木) 8:30-12:30 土曜 8:30-15:30,有
モミの木クリニック,963-0207,福島県郡山市鳴神1-1-1,024-926-0131,http://www.mominoki-cl.jp,有,月.水.金 8:30-12:30 16:00-18:00 土 8:30-12:30 14:00-18:00 火.木 8:30-12:30 (日曜祝日 休診),有
公立岩瀬病院,962-8503,福島県須賀川市北町20,0248-75-3111,http://www.iwase-hp.jp,有,24時間,有
小林医院,962-0838,福島県須賀川市南町30-10,0248-76-1565,0,有,月.火.木.金.土 8:30-12:00 14:00-17:00 (祝日.水曜.日曜 休み),有
清水産科婦人科クリニック,962-0034,福島県須賀川市一里坦14番地の4,0248-76-8555,0,有,月.火 14:00-17:30 水.金.土 9:00-17:30,有
白河厚生総合病院,961-0005,福島県白河市豊地上弥次郎2番地1,0248-22-2211,http://www.shirakawa-kosei.jp/,有,平日 8:30-12:30 土曜(第2.4.5) 8:30-12:30,有
片倉医院 産科婦人科,961-0971,福島県白河市昭和町1,0248-23-2459,0,有,月.火.水.金 9:00-18:00 木 9:00-12:30 土 9:00-16:00,有
円谷産婦人科医院,961-0957,福島県白河市道場小路62-2,0248-23-4030,http://sma.or.jp/cms/archives/1010,有,医師在宅時はいつでも対応可能,有
坂下厚生総合病院,969-6593,福島県河沼郡会津坂下町逆水50,0242-83-3511,0,有,平日 8:30-17:00 土曜 8:30-12:30 (第1.第3土曜休診),有
なるせとみこレディースクリニック,965-0024,福島県会津若松市白虎町66-1,0242-37-7851,0,有,月.火.木.金 9:00-17:30 水 9:00-12:30 土 9:00-15:00,有
あみウイメンズクリニック,965-0009,福島県会津若松市八角町4-21,0242-37-1456,http://ami-clinic.jp,有,月~金 9:30-12:00 15:00-17:45 水.土 9:30-12:00(※初診の方は終了30分前まで),有
常盤病院,972-8322,福島県いわき市常盤上湯長谷町上ノ台57,0246-81-5522,0,有,24時間365日,有
村岡産婦人科医院,971-8151,福島県いわき市小名浜岡小名4丁目7-1,0246-92-4578,0,有,平日 8:30-16:00 土 8:30-16:00 日 8:30-12:00,有
渡辺産科婦人科,972-8318,福島県いわき市常盤関船町二丁目7-1,0246-42-4567,https://watanabe-oag.jimdo.com/,有,平日 9:00-12:00 14:00-18:00 土 9:00-12:30,有
かたよせクリニック産科・婦人科,972-8316,福島県いわき市常盤西郷町金山70-1,0246-42-4135,http://katayose-clinic.com,有,月.火.木.金 9:00-11:30 14:30-17:30 土 9:00-12:30,有
月川レディースクリニック,970-8026,福島県いわき市字童子町2-6,0246-35-3511,0,有,平日 9:00-18:00 土曜 9:00-17:00 第1.第3日曜 9:00-12:00,有
渡辺婦人科・内科クリニック,974-8212,福島県いわき市東田町2丁目15-8,0246-77-2772,0,有,平日 9:00-18:00 土曜 9:00-17:00,有
いわき草木台総合クリニック,972-8301,福島県いわき市草木台5-1-5,0246-28-1145,www.iwaki-kusakidai.jp,有,火~金 8:30-11:30 15:00-18:30 土 8:30-11:30 15:00-17:30,有
いわき婦人科,973-8403,福島県いわき市内郷綴町大木下3-2,0246-27-2885,http://www.iwaki-fu.or.jp/,有,平日 9:00-17:00 土曜 9:00-12:00,有
かしまレディースクリニック,971-8145,福島県いわき市鹿島町船戸字沼田13-1,0246-58-8577,0,有,平日(月.火.木.金) 9:00-18:00 (水) 9:00-12:00 土曜 9:00-13:00,有
あべクリニック,979-0333,福島県いわき市久之浜町久之浜字九反坪11,0246-79-0030,0,有,平日(月.火.水.金) 9:00-11:00 14:00-17:00 土曜 9:00-11:00,有
大町病院,975-0001,福島県南相馬市原町区大町三丁目97番地,0244-24-2333,http://www.ohmachi.jp,有,毎週火曜日.非常勤医師による診療 9:00-16:00,有
あらき産婦人科クリニック,976-0036,福島県相馬市馬場野字山越55,0244-35-0303,0,有,月.火.水.金.土 9:00-17:00 木 9:00-12:00,有
菅野医院,979-2702,福島県新地町谷地小屋字萩崎61-1,0244-63-2388,http://kanno-clinic.jp/,有,月.火.水.金 9:00-18:00 木.土 9:00-12:00,無
