0,1,2,3,4,5,6,7
基本情報,,,,,,,
医療機関名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
いけがみレディースクリニック,018-5201,秋田県鹿角市秋田県鹿角市花輪字合ノ野245-7,0186-30-0111,https://ikegami-lc.com/,有,月・火・木・金曜:9:00-12:00、14:00-18:00水・土曜:9:00-12:00受診受付は終了30分前まで,有
大館市立総合病院,017-0855,秋田県大館市立総合病院豊町3番1号,0186-42-5370,https://www.odate-hp.odate.akita.jp/,有,24時間,無(院外薬局対応)
石塚医院,017-0828,秋田県大館市向町23,0186-42-2020,―,有,月・火・木・金曜:8:30-12:00、14:00-18:00水・土曜:8:30-12:00,有
北秋田市民病院,018-4221,秋田県北秋田市下杉字上清水沢16-29,0186-62-7001,https://www.kitaakita-hp.jp/,有,平日:8:30~17:00,無
能代厚生医療センター,016-0014,秋田県能代市落合字上前田地内,0185-52-3111,www.yamamoto-hosp.noshiro.akita.jp,有,24時間,有
独立行政法人地域医療機能推進機構秋田病院,016-0851,秋田県能代市緑町5番22号,0185-52-3271,https://akita.jcho.go.jp,有,平日9:30~16:00,有
関口レディースクリニック,016-0185,秋田県能代市字下瀬30-4,0185-53-5121,―,有,月・火・木・金曜:9:00-12:00、14:30-17:30土曜:9:00-12:00,有
成田産婦人科医院,016-0832,秋田県能代市南元町1-17,0185-52-3317,http://userweb.alles.or.jp/nariko/iin/index.html,有,月・火・水・金曜:9:00-17:30木・土曜:9:00-12:00,有
たかはしレディースクリニック,016-0864,秋田県能代市字鳥小屋59-23,0185-55-0033,―,有,月・火・木・金曜:9:00-12:00、14:00-18:00水・土曜:9:00-12:30,有
地方独立行政法人市立秋田総合病院,010-0933,秋田県秋田市川元松丘町4番30号,018-823-4171,https://akita-city-hospital.jp/,有,24時間対応可能,有
秋田厚生医療センター,011-0948,秋田県秋田市飯島西袋1丁目1番1号,018-880-3000,www.akikumihsp.com,有,24時間対応,有
秋田大学医学部附属病院,010-8543,秋田県秋田市広面字蓮沼44番2,018-834-1111,https://www.hos.akita-u.ac.jp/,有,24時間,有
みゆきレディースクリニック,010-0001,秋田県秋田市中通二丁目1-35,018-884-7088,―,有,月・水・木・金:9:30-12:30、14:30-17:30土曜:9:30-13:30,有
藤盛レィディーズクリニック,010-8506,秋田県秋田市東通仲町4-1アルヴェ4F,018-884-3939,―,有,平日:9:00-12:00、14:30-16:30土曜:9:00-12:00要事前予約,有
はりう産婦人科内科クリニック,010-0041,秋田県秋田市広面近藤堰添49−1,018-832-6663,―,有,平日:9:30-18:00金曜:9:30-19:30土曜:9:30-13:00,有
清水産婦人科クリニック,010-0041,秋田県秋田市広面字糠塚116-1,018-893-5655,http://www.shimizu-ac.jp/,有,月・火・水・金曜:9:00-12:00、14:00-17:30木曜:9:00-12:00、土曜:9:00-12:30,有
川原医院,010-0851,秋田県秋田市手形字山崎194-1,018-833-4868,https://www.kawaharaiin.com/,有,月・火・水・金曜:8:30-12:00、14:30-18:30木曜:8:30-12:00土:8:30-12:00、14:00-14:30,有
山王レディースクリニック,010-0953,秋田県秋田市山王中園町10-35,018-862-2110,http://www.sannoladies-cl.com/,有,平日:9:00-12:00、14:30-18:00木曜:9:00-12:00、第2・第4木曜日は全休土曜:9:00-13:00,有
御野場たなかレディースクリニック,010-1427,秋田県秋田市仁井田新田2-14-21,018-874-8100,http://www.onoba-lc.com/,有,月・火・木・金曜:9:00-12:00、15:00-18:00水曜:9:00-12:00、土曜:9:00-13:00、日曜休診,有
並木クリニック,011-0902,秋田県秋田市寺内堂ノ沢1−7−28,018-846-1231,http://www.namiki-clinic.jp/,有,平日9:00-17:00木曜土曜9:00-12:00,有
土崎レディースクリニック,011-0943,秋田県秋田市土崎港南3-5-5,018-880-1565,https://tsuchizaki-lc.jp/,有,月・火・木・金曜:8:45-12:00、14:00-17:45水・土曜:8:45-12:00,有
あきたレディースクリニック安田,011-0946,秋田県秋田市土崎港中央5丁目3-37,018-857-4055,https://yasuda-lc.jp/,有,平日8:30~18:00  土曜8:30~15:30,有
かおりレディスクリニック,010-0971,秋田県秋田市八橋三和町5-2,018-866-8352,http://www.kaori-lc.com/,有,火・水・木・金・土曜:9:00-12:00、14:00-18:00,有
東通りレディースクリニック,010-0041,秋田県秋田市広面字野添53,018-853-7338,https://higashidori-lc.jp,有,月・火・木・金 9:00-12:00 14:00-17:00土 9:00-13:00,有
基本情報,,,,,,,
医療機関名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
医療法人 佐藤病院,015-8555,秋田県由利本荘市小人町117-3,0184-22-6555(代),https://www.satohospital.jp/,有,月・火 8:30~11:00 13:00~15:00金・土 8:30~11:00,有
本荘第一病院,015-8567,秋田県由利本荘市岩渕下110,0184-22-0111,http://www.honjodaiichihp.com,有,平日:8:30-15:30土曜(第四以外):8:30-10:30,無(院外薬局対応)
佐々木産婦人科医院,015-0874,秋田県由利本荘市給人町37-1,0184-22-2358,http://ssk1984.byoinnavi.jp,有,"月・火・水・金 9:00-12:30,14:00-18:30、木 9:00-12:30、土 9:00-12:30,14:00-17:30",有
大曲厚生医療センター,014-0027,秋田県大仙市大曲通町8番65号,0187-63-2111,https://www.okmc.jp/,有,平日8:30~17:00,有
市立角館総合病院,014-0394,秋田県仙北市角館町岩瀬3番地,0187-54-2111,https://www.kakunodate-hp.com/,有,24時間,有
大曲母子医院,014-0014,秋田県大仙市秋田県大仙市福住町8-18,0187-63-2288,―,有,平日:8:00-12:00、14:00-18:00土曜:8:00-12:00、14:00-15:00,有
田口医院,014-0026,秋田県大仙市大曲丸の内町10-25,0187-63-1380,―,有,平日:8:30-17:00水・土曜:8:30-12:00,有
佐藤レデイースクリニック,014-0044,秋田県大仙市戸蒔字谷地添106-1,0187-86-0311,http://www9plala.or.jp/slcweb,有,月、水、金:830-1800火、木、土830-1130,有
くしま産婦人科医院,014-0012,秋田県大仙市幸町1番53号,0187-88-8455,―,有,月・火・水・金 9:00-17:30木 9:00-12:00土 9:00-15:30,有
市立横手病院,〒013-8602,秋田県横手市根岸町5番31号,0182-32-5001,https://www.yokote-mhp.jp/,有,平日8:30-17:00,有
平鹿総合病院,013-8610,秋田県横手市前郷字八ツ口3番1,0182-32-5121,http://www.hiraka-hp.yokote.akita.jp,有,平日・土日・祝日、救急外来で対応当院の在庫は、救急外来の1錠のみのため使用後は補充するまで、対応できない可能性があります。,有
朝日ヶ丘レディースクリニック,013-0055,秋田県横手市朝日ヶ丘4-1-6,0182-33-1531,http://www.asahigaoka-ladies-clinic.com,有,ホームページ記載のメールアドレスに連絡してもらい、対応可能か判断します。asahigaokalc@gmail.com,有
いそべレディスクリニック,013-0060,秋田県横手市条里1-1-21,0182-35-5777,http://isobe-lc.byoinnavi.jp,有,"月・火・水・金曜:8:30-12:00,14:00-17:30木:8:30-12:00,土曜:8:30-13:00",有
雄勝中央病院,012-0055,秋田県湯沢市山田字勇ヶ岡25,0183-73-5000,―,有,24時間,有
池田産婦人科クリニック,012-0036,秋田県湯沢市字両神142番地3,0183-73-0100,http://www.yutopia.or.jp/~ikedam/,有,外来診療時間内のみ対応可,有
秋山クリニック,012-0827,秋田県湯沢市表町4丁目11-16,0183-72-1735,https://akiyamac.net/,有,月・水・金曜:8:30-12:00、13:30-16:00火・木・土曜:8:30-12:00,有
