0,1,2,3,4,5,6,7,8
基本情報,,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
協立クリニック,030-0847,青森市東大野二丁目2-2,017-762-5511,https://www.aomori-h-coop.com/kyoritsu/,,有,平日 9:00~12:00,有
公立野辺地病院,039-3141,野辺地町字鳴沢9-12,0175-64-3211,http://hospital-noheji-aomori.jp,,有,対応時間なし(緊急避妊への対応不可),無
国保五戸総合病院,039-1517,五戸町字沢向17-3,0178-61-1200,www.town.gonohe.aomori.jp/sago,,有,平日 8:45~16:00,有
,,,byoin,,,,,
黒石市国保黒石病院,036-0541,黒石市北美町一丁目70,0172-52-2121,http://hospital-kuroishi.jp,,有,平日 8:30~11:30(外来で対応)※時間外、休日、夜間は事前に電話相談,有
三戸町国保三戸中央病院,039-0141,三戸町大字川守田字沖中9-1,0179-20-1131,https://hospital.town.sannohe.,,有,月 8:15~11:30火 8:15~11:30、12:30~15:00,無
,,,aomori.jp/,,,,,
十和田市立中央病院,034-0093,十和田市西十二番町14-8,0176-23-5121,http://www.hp-chuou-towada.towada.aomori.jp,,有,平日 8:30~17:00,無
西村産婦人科クリニック,031-0802,八戸市小中野4丁目8-18,0178-22-3901,dr.nishimura.com,,有,平日 9:00~11:00、14:30~16:30水・土 9:00~11:00,有
千歳産婦人科医院,030-0861,青森市長島三丁目12ー6,017-776-2893,,,有,平日 9:00~12:00、14:00~18:00木・土 9:00~12:00基本的に外来診療時間内その他は連絡してから指示を受ける,有
倉本クリニック 婦人科・産科,031-0044,八戸市廿六日町3,0178-73-2399,kuracli@comet.ocn.ne.jp,,有,月・火・木・金 9:00~12:00、14:00~18:00水・土 9:00~12:00,有
津軽保健生活協同組合健生病院,036-8511,弘前市大字扇町二丁目2-2,0172-55-7717,https://www.kensei-hp.jp,,有,24時間※ただし、婦人科受付時間(平日9:00~11:00)以外はERで薬の処方のみ対応。,有
田中産婦人科クリニック,030-0966,青森市花園一丁目7-13,017-744-4103,,,有,平日 9:00~18:00水・土 9:00~12:00,有
独立行政法人国立病院機構弘前総合医療センター,036-8545,弘前市大字富野町1,0172-32-4311,http://hirosaki.hosp.go.jp,,有,常時対応,有
八戸クリニック,031-0081,八戸市柏崎1丁目8-32,0178-22-7725,http://www.hachinohe-clinic.com/index.php,,有,365日 24時間対応,有
基本情報,,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
(一財)双仁会黒石厚生病院,036-0351,黒石市黒石字建石9-1,0172-52-4121,Soujinkai-kousei.jp/kuroisi,,有,月~木 9:30~13:00(受付12:45迄)、15:00~18:00(受付17:45迄)金 9:30~13:00(受付12:45迄)土 9:00~13:00(受付12:45迄)※第2、4土曜休診,有
(一財)双仁会青森厚生病院,038-0042,青森市大字新城字山田488-1,017-788-3121,http://www.soujinkai-kousei.jp,,有,月・水・木・金 8:30~12:00,無(院外処方)
,,,,,,,,
安斎レディスクリニック,037-0016,五所川原市字一ツ谷536-18,0173-33-1103,,,有,平日 8:30~17:30土 8:30~12:00,有
いちろうクリニック,036-8082,弘前市大字早稲田四丁目1-5,0172-26-1692,,,有,月~金 9:00~11:30、14:00~17:30土 9:00~11:30、13:00~14:30木・日・祝日 休診(変更になる場合あり),有
医療法人白心会北村医院むつレディスクリニック,035-0031,むつ市柳町一丁目9-55,0175-22-2135,,,有,月~木 9:00~18:30金 9:00~17:00土 9:00~13:00,有
医療法人施仁会ゆざわ産婦人科クリニック,036-8183,弘前市大字品川町48-1,0172-35-4635,www.sakurac.com/,,有,平日 8:00~21:00土日も同じ。他の時間帯も電話連絡で対応可,有
医療法人一松堂医院,031-0087,八戸市朔日町37,0178-22-0025,http://www.isshoudoutaneichi.c,,有,月・火・木・金 9:00~17:30水・土 9:00~11:30,有
,,,,om/,,,,
エフ.クリニック,030-0843,青森市浜田三丁目3-7,017-729-4103,https://efclinic.com,,有,平日 9:00~18:00土 9:00~13:00,有
エルム女性クリニック,037-0036,五所川原市中央四丁目93番地,0173-38-4188,elm-j-clinic.com,,有,月~木9:30~12:00、14:00~17:00金 9:30~12:00、14:30~17:00水 9:30~12:00土 9:30~12:30,有
柏崎メディカルクリニック,031-0081,八戸市柏崎3丁目7-18,0178-45-7777,https://www.k-medical.jp,,有,月~土 9:00~12:00月・火・水・金 14:00~18:00土曜(第2、4)13:00~15:00※ただし、土曜(第2、4)については、婦人科診察日のみ対応。,有
加藤レディースクリニック,038-3142,つがる市木造赤根13-143,0173-26-7068,katoh-lc@muse.ocn.ne.jp,,有,平日 8:30~17:30木・土 8:30~11:30休診日 日・祝、木・土(午後),有
基本情報,,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
しらとりレディスクリニック,036-8154,弘前市大字豊原二丁目1-2,0172-33-2822,http://www.r20.7-dj.com/~ych5s/,,有,月、水~金、日 9:30~12:00土 10:30~12:00月~金 16:00~19:00(木曜 17:00~19:00)その他時間外等については電話対応により随時,有
しんクリニック産婦人科・皮ふ科,034-0037,十和田市穂並町10-12,0176-22-7711,,,有,月・火・木・金 9:00~12:00、14:00~17:30水・土 9:00~12:00,有
たけうちマザーズクリニック,039-1165,八戸市石堂4丁目15-10,0178-20-6556,http://takeuchi-m.byoinnavi.jp/pc/index.html,,有,月・火・木・金 9:00~12:30、15:00~18:00水・土 9:00~12:30,有
中央レディスクリニック,035-0073,むつ市中央二丁目5番5号,0175-24-3151,chuo-ladies.jp,,有,平日 8:30~18:00木・土 8:30~12:00,有
つがる西北五広域連合つがる総合病院,037-0074,五所川原市字岩木町12番地3,0173-35-3111,www.tsgren.jp/tsugaru-general-,,有,平日 8:00~17:00,無
,,,hospital/,,,,,
苫米地レディースクリニック,039-1167,八戸市沢里字沢内36-1,0178-47-5651,http://www.tomabechi-ladys.jp/,,有,月・火・水・金 9:00~12:00、14:30~18:00木 9:00~12:00土 9:00~12:00,有
,,,,,,,,
弘前レディスクリニック,036-8004,弘前市大字駅前町8-1弘前駅前地区共同ビル3F,0172-35-2110,oc-hirosaki.com/hlc-uer2.html,,有,平日 9:00~12:00、14:00~18:00水・土 9:00~12:00,有
藤盛医院,036-8183,弘前市大字品川町27-1,0172-32-0974,fujimori@violin.ocn.ne.jp,,有,24時間対応,有
麻美レディースクリニック,039-1166,八戸市根城5丁目1-2,0178-80-7123,www.mami-ladies.jp/,,有,月・火・水・金 9:00~12:00、14:30~18:00木 9:00~11:30土 9:00~11:30,有
むつ総合病院,035-8601,むつ市小川町一丁目2-8,0175-22-2111,http://www.hospital-mutsu.or.jp,,有,平日 8:30~17:00その他の時間でも適宜対応,有
メーラ.レディスクリニック,036-8343,弘前市大字東長町60-2,0172-31-1882,info@mela-lc.com,,有,月・火・木・金 8:30~18:30水 8:30~12:30土 8:30~16:30,有
レディス・みかみクリニック,036-0367,黒石市前町49,0172-52-8618,http://ladies-mikamiclinic.com/,,有,平日 9:00~12:10、14:00~18:00土 9:00~12:00,有
レディスクリニックセントセシリア,030-0944,青森市大字筒井字八ッ橋95-12,017-738-0321,www.cecilia3.com,,有,平日 9:00~12:30、15:00~18:30(木曜午後休診)土 9:00~15:00,有
