0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
沼本産婦人科医院,760-0058,香川県高松市東田町4-8,087-831-7062,―,有,月・火・木・金9:00~12:30 14:00~18:00水・土9:00~12:30  他の時間帯でも対応可,有
医療法人社団 啓里会かわさきレディースクリニック,760-0017,香川県高松市番町3丁目19-15,087-802-5525,―,有,月・火・木・金9:00~12:30 15:00~18:00水・土9:00~12:30,有
ひらの産婦人科医院,763-0082,香川県丸亀市土器町東四丁目763,0877-24-6611,www.hirano-sanfujinka.com,有,月・火・水・金9:00~12:00 15:00~18:00木・土9:00~12:00,有
医療法人社団 はらだ産婦人科医院,761-8063,香川県高松市花ノ宮町1丁目5-30,087-837-1611,―,有,平日9:00~17:30 水・木は9:00~13:00土9:00~16:00,有
医療法人社団 安原クリニック,761-8072,香川県高松市三条町321-2,087-866-1111,http://yasuhara-maternity.com,有,月・火・木・金8:30~12:30 13:30~17:30土・日8:30~12:30盆、年末年始はお問い合わせ下さい。祝日は休,有
医療法人社団大仁会 もりの木おおにしクリニック,768-0073,香川県観音寺市茂西町1丁目6-3,0875-25-3291,―,有,月~土9:00~13:00,有
医療法人社団豊南会 香川井下病院,769-1613,香川県観音寺市大野原町花稲818-1,0875-52-22h1t5tp,//www.kagawa-inoshita-hospital.,r.jp有,月~水・金・土9:00~12:00 14:00~17:15木曜9:00~12:00   ※日・祝日 休診,有
杉上産婦人科医院,761-1703,香川県高松市香川町浅野1026-5,087-879-6969,https://sugiue-obgyn.jp,有,月・火・水・金・土9:00~12:00 14:00~18:00,有
和田産婦人科医院,760-0080,香川県高松市木太町4020-1,087-867-2340,―,有,月・火・水・金9:00~12:30 14:00~18:00木・土9:00~12:30,有
医療法人 安藤レディースクリニック,761-8075,香川県高松市多肥下町1524-14,087-815-2833,andolc.sakura.ne.jp,有,月・火・金9:00~12:00 14:30~18:30水9:00~12:00 土9:00~13:00第2・第4日曜日 9:00~12:30,有
医療法人社団 みやもとレディースクリニック,760-0075,香川県高松市楠上町2丁目3-15 2階,087-806-1177,http://miyamoto-lc.p-kit.com/,有,平日9:30~18:30木9:30~12:30土9:30~17:00,有
森産婦人科医院,760-0052,香川県高松市瓦町2丁目3-5,087-831-5513,http://morisanfujinka.jp/,有,平日9:00~17:00土曜9:00~16:30但し木曜午後、第3土曜は除く,有
小豆島中央病院,761-4301,香川県小豆郡小豆島町池田2060‐1,0879-75-11h2t1tp,//scha.jp/departent/obstetrics/,bout有,月・水・木・金8:00~11:00火曜8:00~11:00 12:30~15:00,有
鈴木レディースクリニック,760-0066,香川県高松市福岡町3丁目11-27,087-826-2288,―,有,月・水・金8:30~12:30 14:00~17:30火・土8:30~12:30木・日・祝日 休診,有
医療法人社団如水会 オリーブ高松メディカルクリニック,760-0076,香川県高松市観光町649-8,087-839-9607,―,有,平日(火・水・木)9:00~11:30、13:30~14:30,無
医療法人社団愛和会 あさひクリニック,760-0076,香川県高松市観光町538-2,087-831-0280,http://www.asahi-cl.jp,有,月・火・木・金9:00~12:30 15:00~18:00水・土9:00~12:30,有
医療法人社団美術館北通り診療所,760-0029香川,高松市丸亀町13番地3 高松丸亀町商店街参番街,館0847F-813-2220,http://www.machikuri.or.jp,有,月・火・木・金・土9:00~13:00 15:00~18:00,有
社会医療法人財団大樹会総合病院回生病院,762-0007,香川県坂出市室町三丁目5番28号,0877-46-1011,https://www.kaisei.or.jp/,有,平日9:00~17:00,有
サンフラワーマタニティークリニック,761-8073,香川県高松市太田下町3017-3,087-868-4103,http://www.sfmc.jp/,有,月・火・金9:00~12:00 15:00~18:00水・木9:00~12:00、土曜9:00~14:00日曜、祝祭日は休診,有
坂出市立病院,762-8550,香川県坂出市寿町三丁目1番2号,0877h-t4t6p-s5:1/3/1ww,.city.sakaide.lg.jp/site/sakaid,-hospital/有,月曜日8:30~11:30木曜日8:30~16:30,有
医療法人社団 くろべクリニック,760-0080,香川県高松市木太町1335-4,087-867-2267,www.kurobe-cl.com,有,月・水・金9:00~12:30 14:00~18:00火・木9:00~12:30、土9:00~13:00,有
独立行政法人国立病院機構 四国こどもとおとなの医療センター,765-8507,香川県善通寺市仙遊町2丁目1-1,0877-62-1000,https://shikoku-mc.hosp.go.jp/,無,性被害のときのみ対応:24時間,有
高松赤十字病院,760-0017,香川県高松市番町4丁目1-3,087-831-7101,http://www.takamatsu.jrc.or.jp,有,当番日9:00~18:00,有
香川県厚生農業協同組合連合会 滝宮総合病院,761-2393,香川県綾歌郡綾川町滝宮486番地,087-876-1145,http://www.takinomiya-hp.com/,有,平日8:30~17:00,無
陽子レディスクリニック,760-0029,香川県高松市丸亀町1-1高松丸亀町壱番街西館2,087-811-6607,http://www.yokoladies.com,有,平日10:00~19:00土曜10:00~14:00休診日:水、日、祝日,有
独立行政法人地域医療機能推進機構りつりん病院,760-0073,香川県高松市栗林町三丁目5番9号,087-862-3171,http://ritsurin.jcho.go.jp,有,月・火・水・金9:00~11:30 13:30~16:00木9:00~11:30※婦人科が臨時休診の場合は対応できません。,有
さぬき市民病院,769-2393,香川県さぬき市寒川町石田東甲387番地1,0879-43-2h5t2t1ps,//www.city.sanuki.kagawa.jp/hos,ital/有,平日 月・水・木9:00~15:00火・金9:00~11:00,有
独立行政法人労働者健康安全機構 香川労災病院,763-8502,香川県丸亀市城東町三丁目3番1号,0877-23-3111,https://www.kagawah.johas.go.jp,有,平日8:30~17:00,有
