0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
鳥取市立病院,680-8501,鳥取県鳥取市的場一丁目1番地,0857-37-1522,https://hospital.tottori.tottori.jp/,有,平日8:30~17:00,無
鳥取産院,680-0841,鳥取県鳥取市吉方温泉1丁目653番地,0857-23-3151,https://asupiosu.or.jp/,有,平日・土曜日 9:00~12:0014:00~18:00,有
医療法人タグチレディースクリニック,680-0003,鳥取県鳥取市覚寺63-6,0857-39-2121,http://www.tahuchi-ivf.or.jp,有,平日9:00~18:00(木曜9:00~12:00)土曜9:00~17:00,有
みやもと産婦人科医院,680-0874,鳥取県鳥取市叶293-7,0857-51-7717,-,有,平日9:00~18:00土曜9:00~12:00,有
さくらレディースクリニック田園町,680-0803,鳥取県鳥取市田園町2丁目155,0857-25-4103,-,有,月・火・水・金 9:00~18:00木・土(第1、第3)9:00~13:00,有
鳥取北クリニック,680-0905,鳥取県鳥取市賀露町4012,0857-32-7111,-,有,月曜~木曜9:00~12:30、15:00~18:30土曜9:00~12:30、14:00~17:30,有
鳥取県立厚生病院,682-0804,鳥取県倉吉市東昭和町150,0858-22-8181,https://www.pref.tottori.lg.jp/kouseibyouin/,有,平日8:30-17:00,有
打吹公園クリニック,682-0824,鳥取県倉吉市仲ノ町770,0858-22-3790,http://utsubuki-cl.com,有,月・火・水・金・土9:00~18:00※その他の曜日、時間については状況により対応可能。お問い合わせください。,有
あけしまレディースクリニック,682-0807,鳥取県倉吉市幸町507-18,0858-22-6311,http://www.akeshimaclinic.jp/,有,月~土曜9:00-12:00及び15:00-18:00ただし、木曜日は9:00-12:00のみ日曜祝日は休診,有
はまよしレディースクリニック,682-0017,鳥取県倉吉市清谷町1-248-1,0858-27-0701,https://www.hama-lc.com/,有,平日(木曜除く)9:00-17:30土曜 9:00-14:00,有
レディースクリニックひまわり小笹産婦人科,682-0805,鳥取県倉吉市南昭和町27-1,0858-47-6060,-,有,平日 8:45~18:00(12:00~14:15は休み)木・土 8:45~12:00,有
独立行政法人労働者健康安全機構山陰労災病院,683-8605,鳥取県米子市皆生新田1-8-1,0859-33-8181,https://www.saninh.johas.go.jp/,有,平日8:15~17:00土・日・祝祭日:9:30~10:00,有
医療法人同愛会 博愛病院,683-0853,鳥取県米子市両三柳1880番地,0859-29-1100,https://www.hakuai-hp.jp/,有,平日・土・日・祝24時間対応,有
井田レディースクリニック,683-0067,鳥取県米子市東町228,0859-32-3300,-,有,平日9:00~18:00(木曜日休診)土曜9:00~16:00,有
中曽産科婦人科医院,683-0805,鳥取県米子市西福原4-8-41,0859-22-5360,http://www.nakaso-tensi.jp,有,診療受付時間と同じ平日9:00~12:30 15:00~18:00(木曜PM休診)土曜9:00~12:30 14:30~17:00第1・3火のAMは11:30まで※受付は30分前までに,有
母と子の長田産科婦人科クリニック,683-0841,鳥取県米子市上後藤8丁目5-1,0859-29-3131,http://www.nagata-clinic.net/,有,月・火・木・金・土:9:00~18:00水:9:00~12:00,有
ミオ・ファティリティ・クリニック,683-0008,鳥取県米子市車尾南2丁目1-1,0859-35-5211,http://www.mfc.or.jp,有,平日9:00~18:30木・土9:00~12:00※時間外は病棟で対応,有
医療法人社団脇田ウィメンズヘルスケアセンター脇田産婦人科医院,683-0822,鳥取県米子市中町123番地の5,0859-33-1031,http://www.wakita-obgyn.jp,有,平日9:00~19:00木曜・土曜9:00~13:00,有
彦名レディスライフクリニック,683-0854,鳥取県米子市彦名町2856-3,0859-29-0159,http://hicona.jp/,有,月・火・水・金9:00~12:00、15:00~18:30木・土9:00~12:00,無
KAZUKIプライベートクリニック,683-0823,鳥取県米子市加茂町2-108 SANKIビル4階,0859-35-5179,https://kazuki-pc.com/,有,10:00~19:00 全日,有
