0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
後藤産婦人科医院,741-0062,山口県岩国市岩国1丁目20番26号,0827-43-3855,,有,月、火、水、金:9:00~12:00、   14:30~17:30土:9:00~12:00,有
友田クリニック,740-0017,山口県岩国市今津1丁目11-28,0827-21-0913,,有,月、火、水、金:10:00~17:30木、土:9:00から11:30要予約,有
独立行政法人国立病院機構岩国医療センター,740-8510,山口県岩国市愛宕町1丁目1-1,0827-34-1000,https://iwakuni.hosp.go.jp/,有,24時間,無(院外処方のみ対応)
英クリニック,744-0015,山口県下松市大手町2-4-11,0833-41-7788,,有,平日:10:00~16:00(金:15:00まで),有
山下ウィメンズクリニック,744-0075,山口県下松市瑞穂町1丁目6番10号,0833-48-0211,http://ivf-ywc.tumblr.com/,有,月、火、木、金:8:30~12:3014:00~18:00水、土:8:30~12:30,有
療法人 至誠会 梅田病,743-0022,山口県光市虹ヶ浜3丁目6番1号,0833-71-0084,https://umeda-hospital.or.jp,有,24時間対応,有
療法人三生会 みちがみ病,743-0023,山口県光市光ケ丘2番5号,0833-72-3332,https://michigami.or.jp,有,月~土: 8:30〜12:3014:30〜18:00,有
高杉レディースクリニック,746-0012,山口県周南市政所1丁目18番15号,0834-64-7700,http://www.takasugi-lc.com,有,平日:9:00~18:00木:9:00~12:30土:9:00~16:00(12:30~16:00:昼休み),有
津永産婦人科,745-0012,山口県周南市川端町2-30,0834-21-8255,,有,月~水、金、土:9:00~18:00木:9:00~12:00,有
独立行政法人地域医療機能推進機構徳山中央病院,745-8522,山口県周南市孝田町1番1号,0834-28-4411,https://tokuyama.jcho.go.jp/,有,終日(24時間),有
がやレディースクリニッ,753-0851,山口県山口市黒川475-1,083-921-7753,,有,平日・土曜(水曜日を除く)9:00~17:00,有
アベ産婦人科クリニック,747-0811,山口県防府市車塚町10-25,0835-22-0385,http://www.abe-sanfujinka.com,有,平日:9:00~17:00木・土:9:00~12:00,有
おがさまきレディースクリニック,747-0046,口県防府市植松559‐1コスパメディカルビル2,0835-26-1107,http://ogsmk-ladiesclinic.jp/,有,"月火水金曜:8:30~17:30第1,3,5土曜:8:30~16:30",有
手山産婦人科,747-0035,山口県防府市栄町1丁目8番7号,0835-22-0188,,有,24時間対応,有
山口県立総合医療センター,747-8511,山口県防府市大字大崎10077番地,0835-22-4411,https://www.ymghp.jp/,有,当院の診療時間内(平日8:30-17:15),有
永井レディースクリニック,759-0209,山口県宇部市厚南北五丁目2-45,0836-44-1644,0,有,平日9:00-12:30、14:30-18:00木9:00-12:30、土9:00-13:00,有
なわたクリニック,759-0202,山口県宇部市大字沖ノ旦686-1,0836-39-8737,http://www.nawata-clinic.com,有,平日:9:0~12:30、14:00~17:30月、土:9:00~12:30,有
針間産婦人科,755-0031,山口県宇部市常磐町2丁目1-44,0836-21-2373,http://www.noriko-cl.com/,有,平日:8:30~17:30木、土:8:30~12:00,有
おがた婦人科クリニック,750-0007,山口県下関市赤間町3-5,083-223-5080,http://www.ogatafujinka.com/,有,平日:9:00~18:00土曜:9:00~16:00,有
地方独立行政法人下関市立市民病院,750-8520,山口県下関市向洋町1-13-1,083-231-4111,https://shimonosekicity-hosp.jp/,有,平日9:00-17:15,有
山口県済生会豊浦病院,759-6302,山口県下関市豊浦町大字小串10007番3,083-774-0511,https://www.toyoura-saiseikai.jp/,有,平日8:30-17:00土日祝 8:30-12:00,有
医療法人社団野口産婦人科医院,759−6614,山口県下関市梶栗町3−7−8,083−258−2277,http://ogyaaaa3.com,有,24時間相談対応(時間外、深夜、休日加算あり),有
藤野産婦人科医院,751-0831,山口県下関市大学町1丁目4-24,083-252-2200,http://www.tip.ne.jp/fujino/,有,月、火、水、金:9:00~12:30、14:00~18:00木、土:9:00~12:30,有
なかむらレディースクリニック,758-0034,山口県萩市大字熊谷町108番地,0838-22-1557,http://www.pwait.jp/nakamura/,有,平日:9:00-11:30 15:00-17:30土曜:9:00-12:30,有
