0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
村上総合病院,958-8533,新潟県村上市田端町2番17号,0254-53-2141,http://www.mgh.jp/,有,0:00~24:00,有
医療法人恒仁会 新潟南病院,950-8601,新潟県新潟市中央区鳥屋野2007-6,025-284-2511,https://www.niigataminami-hp.com/,有,平日 9:00~17:00土曜 9:00~12:00,有
竹山病院,951-8068,新潟県新潟市中央区上大川前通六番町1183,025-228-7171,http://www.takeyama-hsp.com/,有,24時間365日,有
新潟県厚生農業協同協同組合連合会 新潟医療センター,950-2022,新潟県新潟市西区小針3-27-11,025-232-0111,http://www.niigata-medical.jp/,有,受付時間 平日8:00~11:00,有
医療法人 愛仁会 亀田第一病院,950-0165,新潟県新潟市江南区西町2丁目5番22号,025-382-3111,http://ijn.or.jp/,有,平日 8:30~17:30,有
新潟県厚生農業協同組合連合会 三条総合病院,949-0055,新潟県三条市塚野目5丁目1番62号,0256-32-1131,soum.san@iris.ocn.ne.jp,有,平日8:30~11:30,有
長岡西病院,940-2081,新潟県長岡市三ツ郷屋町371-1,0258-27-8500,www.sutokukai.or.jp/nagaokanishi-hp/,有,平日9:00~12:00,有
新潟県厚生農業協同組合連合会 小千谷総合病院,949-8701,新潟県小千谷市大字平沢新田111番地,0258-81-1600,https://www.ojiya-ghp.jp/,有,平日8:30-17:00,有
新潟県地域医療推進機構魚沼基幹病院,949-7302,新潟県南魚沼市浦佐4132,025-777-3200,https://www.uonuma-kikan-hospital.jp/,有,対応可能時間:全日9:00-17:30外来受付時間:平日8:30-11:30外来受付時間以外は電話にてお問い合わせください。,有
新潟県立十日町病院,948-0065,新潟県十日町市高田町三丁目南32-9,025-757-5566,http://www.tokamachi-hosp-niigata.jp/,有,平日8:00-17:00(有効時間が迫っている等の緊急時は24時間対応可能),有
柏崎総合医療センター,949-8535,新潟県柏崎市北半田2-11-3,0257-23-2165,http://www.kashiwazaki-ghmc.jp/,有,平日9:00~17:00のみ,有
けいなん総合病院,944-8501,新潟県妙高市田町2丁目4番7号,0255-72-3161,http://www.keinansogo.jp/,有,平日8:30~12:00,無
新潟県厚生連 糸魚川総合病院,941-8502,新潟県糸魚川市大字竹ヶ花457番地1,025-552-0280,http://www.itoigawa-hp.jp,有,24時間対応可能,有
新潟県厚生農業協同組合連合会 佐渡総合病院,952-1209,新潟県佐渡市千種161,0295-63-3121,ijichief@sado-hp.jp,有,平日・土・日・祝日0:00~24:00,有
遠山医院,959-3132,新潟県村上市坂町1777,0254-62-2012,,有,月・火・水・金 8:30~17:30木・土曜 8:30~11:30,有
関塚医院,957-0006,新潟県新発田市中田町2-17-15,0254-26-1405,http://www.sekizuka-clinic.or.jp,有,平日 AM9:30~PM5:30土・水 AM9:30~12:30,有
富田産婦人科クリニック,957-0055,新潟県新発田市諏訪町1丁目2番15号,0254-22-1155,http://tomita-cl.com,有,平日 9:00~13:00土 9:00~13:00,有
渡部レディスクリニック,957-0063,新潟県新発田市新栄町1-1-6,0254-26-6666,http://www.watanabe-cl.com/,有,平日 9:00~18:00土 9:00~13:00,有
医療法人社団 たかうち医院,959-1821,新潟県五泉市赤海2-6-2,0250-43-6222,,有,平日 9:00~12:30、15:00~17:45木・土 9:00~12:30,有
中谷医院,959-1725,新潟県五泉市太田2-6-39,0250-47-7741,http://www.nakatani-cl.jp,有,(受付時間)月・火・木・金 8:30~12:15、14:30~17:45土 8:30~12:15,有(院外処方)
茅原クリニック,955-0823,新潟県三条市東本成寺12-14,0256-31-1103,,有,平日(月・火・木・金) 9:00~17:30水・土 9:00~12:30,有
レディスクリニック石黒,955-0083,新潟県三条市荒町2-25-33,0256-33-0150,http://www.ishiguro.or.jp/,有,平日 8:30~18:30土曜 8:30~12:30,有
うえだクリニック,959-1232,新潟県燕市井土巻2-60,0256-66-5666,http://for-women.or.jp/ueda-clinic/,有,月・火・木・金 9:15~12:30、14:45~18:00土 9:15~12:30、14:45~17:00,有
本田医院,959-0130,新潟県燕市分水桜町1-5-28,0256-97-3003,http://og-hondacl.sakura.ne.jp,有,休診:祝日、日曜日午後休診:水、土曜日,有
医療法人社団 渡辺医院,959-0235,新潟県燕市吉田旭町1-7-3,0256-93-2148,www.cl-watanabe.com,有,平日 9:00~18:00土曜 9:00~17:00木・日休診,有
小林真紀子レディース・クリニック,940-2014,新潟県長岡市堤5-45,0258-27-7755,http://www.baby-k.or.jp/,有,月・火 9:00~12:30、15:30~17:30水 9:00~11:00、13:00~15:00金 9:00~12:30、土 完全予約制,有
医療法人社団セッテローザ七條胃腸科内科医院,940-0875,新潟県長岡市新保6-77,0258-22-7177,http://www.shichijo-clinic.com/,有,月・火・水・金 9:00~11:30、15:00~17:30木・土 9:00~11:30,有
セントポーリアウイメンズクリニック,940-2116,新潟県長岡市南七日町2-8,0258-21-0800,,有,平日 9:30~12:30、14:30~18:00水・土 9:30~12:30,有
医療法人社団 たかき医院,949-8551,新潟県十日町市馬場丙1550-1,025-758-2361,http://takakiiin.com/,有,月・水・金曜日 9:00~17:30火・木曜日 9:00~12:00土曜日(第1、3) 9:00~12:00,有
産科婦人科 山田医院,945-0055,新潟県柏崎市駅前2-1-27,0257-23-6070,http://www.yamada-obgy.jp,有,月・火・木・金 9:00~12:00、15:00~18:00水・土 9:00~12:00,有
愛クリニック,944-0016,新潟県妙高市美守1丁目12-9,0255-72-4103,http://www.ai-clinic.info/,有,平日(除く水曜) 9:00~18:30水曜 9:00~12:30土曜 9:00~15:30,有
大島クリニック,943-0153,新潟県上越市鴨島1100,025-522-2000,https://www.oshima-cl.jp/,有,月・火・木・金 9:00~12:00、15:00~18:30水・土 9:00~12:00,有
城北レディースクリニック,943-0827,新潟県上越市栄町5-16,025-521-7700,http://www.jyohokuladies.com,有,月・火・木・金 9:00~12:00、14:30~18:00土:9:00~12:00、14:30~17:00水・日:9:00~12:00,有
小熊医院,950-3126,新潟県新潟市北区松浜1-2-19,025-259-2622,,有,平日 9:00~18:00土曜 9:00~12:00,有
あかねウィメンズクリニック,950-0855,新潟県新潟市東区江南3-8-20,025-286-6868,,有,平日 8:30~18:00水・土 8:30~13:00,有
医療法人社団 源川産婦人科クリニック,950-0014,新潟県新潟市東区松崎1-18-12,025-272-5252,,有,平日 9:00~18:00土曜 9:00~11:30(土曜午後・日曜は市産婦人科医会による当番制),有
本多レディースクリニック,950-0841,新潟県新潟市東区中野山891-1,025-256-5561,http://www.honda-lc.com,有,月・木・金 9:00~12:30、15:00~18:00火 9:00~11:00、15:00~18:00水・土 9:00~12:30新患の受付は上記時間終了の30分までとなっています。,有
ARTクリニック白山,951-8131,新潟県新潟市中央区白山浦2-20-1,025-378-3065,https://www.art-hakusan.com,有,月・火・木・金 10:00~12:30、15:00~17:30水・土 9:30~13:00,有
エンゼルマザークリニック,950-0962,新潟県新潟市中央区出来島1丁目5番15号,025-281-1103,http://www.angelmother.jp,有,平日 9:00~17:15土曜 9:00~12:00,有
医療法人社団ロイヤルハートクリニック,950-0905,新潟県新潟市中央区天神尾1丁目17番5号,025-244-1122,https://royal-heart-clinic.com/index1.html,有,月・火・木・金 10:00~13:00、16:00~18:00水・土 10:00~13:00,有
とくなが女性クリニック,950-0932,新潟県新潟市中央区長潟837-1,025-286-4103,https://www.tokunaga-j-clinic.com/,有,24時間対応可 ただし事前tel要,有
畠山産婦人科クリニック,950-0982,新潟県新潟市中央区堀之内南1丁目18-16,025-243-8421,https://itp.ne.jp/info/152086096000000899/,有,月・火・木・金 9:00~13:00、15:00~16:30土 9:00~13:00,有
松井女性クリニック,951-8062,新潟県新潟市中央区西堀前通6番町899 シス西堀1F,025-222-7878,http://www.matsui-ladiesclinic.jp/,有,月・水・木・金 10:00~13:30、15:30~18:30土・日 10:00~13:30,有
新津産科婦人科クリニック,950-0208,新潟県新潟市江南区横越中央7丁目1番7号,025-384-4103,http://www.sankafujinka.jp/,有,平日 9:00~12:00、14:00~18:00土 9:00~12:00,有
吉沢医院,950-1446,新潟県新潟市南区庄瀬1111,025-373-0846,,有,いつでも可,有
小新女性クリニック,950-2028,新潟県新潟市西区小新南1-8-7,025-230-6525,http://www.kosinjosei.com/,有,月・火・木・金 9:30~17:00土 9:30~12:00,有
すずき産科婦人科クリニック,950-2022,新潟県新潟市西区小針7丁目17番14号,025-266-2728,,有,月・木  9:00~12:30、15:00~18:00火・金 9:00~12:30、15:00~18:30水・土 9:00~12:30(休診日:日曜、祭日、第1・3土曜、水曜午後、第2・4・5土曜午後)新患受付は平日17:00まで土曜日の新患受付は行っていません。,有
広橋産婦人科クリニック,950-2044,新潟県新潟市西区坂井砂山3-7-1,025-260-7870,https://hirohashi.net/,有,平日 9:00~18:00土 9:00~12:00,有
荒川レディースクリニック,953-0041,新潟県新潟市西蒲区巻甲4670,0256-72-2785,,有,月・火・木・金 9:00-12:30、15:00-18:00水・土 9:00-12:30,有
もたにメディカルクリニック,953-0041,新潟県新潟市西蒲区巻甲4279-5,0256-72-4141,http://www.mmc-hohoemi.com/,有,平日 9:00~12:30、15:00~18:00木・土 9:00~12:30,有
万代レディースクリニック,950-0088,新潟県新潟市中央区万代1-2-3コープ野村万代2F,025-245-1735,bandai-ladiesclinic.com,有,午前9:30~12:30(火:12:00まで)午後14:30~18:00(土:17:30まで)水曜午後、木曜日祝は休診,有
長岡レディースクリニック,940-0875,新潟県長岡市新保2-5-43,0258-22-7780,www.nagaokalc.com,有,月、火、水、金;9:00~12:00、15:00~16:30木、土;9:00~12:00,有
