0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
長野県厚生農業協同組合連合会 佐久総合病院 佐久医療センター,385-0051,佐久市中込3400-28,0267-62-8181,http://www.sakuhp.or.jp/,有,24時間対応可能ですが、電話相談をあらかじめお願いします。,有
長野県厚生農業協同組合連合会 浅間南麓こもろ医療センター,384-8588,小諸市相生町三丁目3番21号,0267-22-1070,http://komoro-mc.com/,有,24時間対応可,有
御代田中央記念病院,389-0206,北佐久郡御代田町御代田4107-40,0267-32-4711,https://miyotahp.jp/,有,月・火・水・金 8:30-17:00土・日            8:30-12:00,有
独立行政法人国立病院機構 信州上田医療センター,386-8610,上田市緑が丘1-27-21,0268-22-1890,https://shinshuueda.hosp.go.jp/,有,24時間対応可,有
上田市立産婦人科病院,386-0022,上田市緑が丘1-27-32,0268-22-1573,https://www.city.ueda.nagano.jp/site/san,n/有,平日 8:30-16:30,有
,,,,,,,
諏訪中央病院,391-8503,茅野市玉川4300番地,0266-72-1000,http://www.suwachuo.jp,有,24時間対応可能 (診療時間外は救急外来にて救急担当医(非産婦人科医)の対応となります),有
岡谷市民病院,394-8512,岡谷市本町四丁目11番33号,0266-23-8000,http://www.okaya-hosp.jp/,有,24時間対応,有
医療法人登誠会 諏訪マタニティークリニック,393-0077,諏訪郡下諏訪町112-13,0266-28-6100,http://temporary.e-smc.jp/info/,有,平日 8:30-11:30,有
伊那中央病院,396-8555,伊那市小四郎久保1313番地1,0265-72-3121,https://www.inahp.jp/,有,24時間,有
下伊那赤十字病院,399-3303,下伊那郡松川町元大島3159-1,0265-36-2255,https://shimoina.jrc.or.jp/,有,月・火・木 8:30-11:30,有
長野県立木曽病院,397-8555,木曽郡木曽町福島6613-4,0264-22-2703,https://kiso-hosp.jp/,有,平日(月~金) 9:00-17:00 (要予約)が望ましいが、やむを得ない場合、時間外対応可能(必ず事前に連絡頂き、来院時間を相談),有
社会医療法人財団慈泉会 相澤病院,390-8510,松本市本庄2-5-1,0263-33-8600(代),https://aizawahospital.jp/,有,緊急時対応,有
社会医療法人抱生会 丸の内病院,390-8601,松本市渚1丁目7番45号,0263-28-3003,http://www.marunouchi.or.jp/,有,平日 9:00-17:00,有
医療法人仁雄会 穂高病院,399-8303,安曇野市穂高4634,0263-82-2474,https://hotaka-hospital.or.jp/,有,月・火・水・金 9:00-12:30、15:30-17:30木・土 9:00-12:30,有
長野県厚生農業協同組合連合会 北信総合病院,383-8505,中野市西1丁目5番63号,0269-22-2151,https://www.hokushin-hosp.jp/,有,平日            8:30-17:00土(第2・4)   8:30-12:30,有
JA長野厚生連 長野松代総合病院,381-1231,長野市松代町松代183,026-278-2031,http://www.nagano-matsushiro.or.jp/,有,平日 9:00-12:00,有
医療法人慈恵会吉田病院,381-0043,長野市吉田2-1-26,026-241-5952,https://www.yoshida-hospital.or.jp/,有,月-金 8:30-12:00、15:00-17:00土    8:30-12:00,有
長野赤十字病院,380-8582,長野市若里五丁目22番1号,026-226-4131,http://www.nagano-med.jrc.or.jp/,有,平日 8:30-17:00,有
いまいレディースクリニック,385-0022,佐久市岩村田2015-1,0267-66-7050,https://www.imai-ladies.jp/,有,月・火・水・金 9:00-12:00、15:00-18:00木・土            9:00-12:00,有
医療法人花岡医院 花岡レディースクリニック,384-0033,小諸市市町5-4-16,0267-23-4103,http://www.hanaoka-lc.jp/,有,月・水・金 9:00-11:30、15:00-16:45火・木・土 9:00-11:30,有
板倉レディースクリニック,381-2217,長野市稲里町中央一丁目12番12号,026-291-0707,http://www.itakura-cli.jp/,有,月~土              8:30-11:30月・火・木・金  14:00-16:00,有
清水産婦人科医院,381-2224,長野市川中島町原908-1,026-219-3838,https://www.shimizuclinic.jp/,有,平日(水曜日以外) 9:00-12:00、15:00-17:15水・土                 9:00-11:00,有
中澤ウィメンズライフクリニック,380-0928,長野市若里6-3-6,026-228-8155,https://nwlc.jp/,有,月~土 9:00-12:00 (祝日除く),有
社会福祉法人博愛会 高木クリニック,380-0813,長野市緑町1596番地,026-234-3239,,有,月・火・木・金  9:00-12:30、15:00-18:00水                  9:00-12:30土                  9:00-13:00,有
医療法人社団 斎藤産婦人科医院,385-0051,佐久市中込1985-1,0267-62-0823,http://www.saito-gynecology.jp/,有,平日 9:00-11:30、15:00-17:30 (水:午後休診)土     9:00-11:30 (第2・4休診),有
坂口医院,389-0102,北佐久郡軽井沢町大字軽井沢756,0267-42-2431,,有,平日・土 8:00-12:00,有
佐久平エンゼルクリニック,385-0021,佐久市長土呂1210-1,0267-67-5816,https://www.sakudaira-angel-clinic.jp/,有,月・火・木・金 8:30-12:00、14:00-18:00水・土            8:30-12:00,有
医療法人社団弦巻会 上田原レディース&マタニティークリニック,386-1102,上田市上田原455-1,0268-26-3511,http://www.avis.ne.jp/~ueda-lmc/,有,平日   9:00-12:00、16:00-19:00土・日 9:00-12:00休診:木・祝日,有
医療法人弘生堂 つかはらクリニック,386-0401,上田市塩川1358番地1,0268-75-5544,https://www.tsukahara-clinic.jp/,有,(※事前連絡要)月・火・木・金   9:00-11:30、14:00-15:30土(第2・4) 9:00-11:30,有
平岡産婦人科,391-0001,茅野市ちの2543-9,0266-72-6133,,有,平日   8:30-17:30木・土 8:30-11:30,有
平出クリニック内科・産婦人科,391-0001,茅野市ちの628-1,0266-72-1661,https://hiraide-clinic.jp/,有,平日 9:00-17:30 (木曜 9:00-12:00)土     9:00-12:00,有
駒ヶ根高原レディスクリニック,399-4117,駒ヶ根市赤穂759番地195,0265-82-1010,http://www.kklc.jp/top.html,有,24時間(土・日・祝日も対応),有
菜の花マタニティクリニック,396-0009,伊那市日影380番1,0265-76-7087,http://nano-mata.jp/,有,平日 8:30-16:00土     8:30-12:00,有
このはなクリニック,396-0012,伊那市上新田2426,0265-98-8814,https://konohana-ladies.jp/,有,平日 9:00-16:00土    9:00-11:30,有
平岩ウイメンズクリニック,399-2431,飯田市川路4938,0265-27-2067,,有,月・金・土 8:45-12:00火・木       8:45-12:00、15:30-18:00,有
医療法人 羽場医院,399-2561,飯田市駄科536-3,0265-28-5151,,有,月      15:00-18:20水・金   9:00-12:20、15:00-18:20土         9:00-12:20,有
高森レディスクリニック,399-3101,長野県下伊那郡高森町山吹435-5,0265-48-8255,http://www.kklc.jp/takamori/,有,月・水・木・金 9:00-12:00 (祝日対応なし),有
北原レディースクリニック,390-0852,松本市島立1081-1,0263-48-3186,,有,月・火・水・金 9:00-17:00,有
吉野産婦人科医院,390-0806,松本市女鳥羽1-7-6,0263-32-2965,http://www.yoshino-sanfujinka.com/,有,月~金  8:00-11:30、14:00-16:30土         8:00-11:30,有
南天診療所,390-0821,松本市筑摩3-15-31,0263-29-1515,http://www.mhl.janis.or.jp/~kokusai/nant,n/有,月・火・水・金  9:00-11:30木・土             9:00-12:00,有
,,,,,,,
ひろおかさくらレディースウィメンズクリニック,399-0701,塩尻市大字広丘吉田3191,0263-85-0013,https://www.sakura-ladies-clinic.jp/,有,月・木・金 9:00-12:30、15:00-18:00火・水      9:00-12:30土            9:00-12:30,有
横西産婦人科,390-0852,松本市島立2992-1,0263-31-5760,http://www.yokonishi-clinic.jp/,有,月・火・木・金  9:00-12:00(受付11:30まで)13:00-16:00(受付15:30まで)水・土           9:00-12:00(受付11:30まで),有
あづみ野レディースクリニック,399-8205,安曇野市豊科4198-3,0263-71-2666,http://azumino-cl.jp,有,完全予約制月・火・木・金  8:45-12:00、14:45-18:00水・土             8:45-12:00(日・祝休み、お盆・年末年始休みあり),有
ゆり産婦人科医院,399-0027,松本市寿南1丁目23-4,0263-85-0555,http://www.yuridr.com/,有,月・火・水・金 9:00-11:30、15:00-17:00木・土            9:00-11:30,有
はぎわら医院,399-8204,安曇野市豊科高家4915,080-6935-1125,https://aus-clinic.net,有,365日対応、ただし6:45-23:00,有
医療法人草生会ほりうちレディースクリニック,390-0821,松本市筑摩1丁目16番3号,0263-87-6316,https://www.horiuchi-ladies.com/,有,月・火・木・金 8:45-12:00、14:00-17:30水                   8:45-12:00土                  8:45-12:30,有
医療法人 保倉産婦人科医院,383-0037,中野市小田中210-2,0269-22-5000,http://www.hokuraiin.com/,有,外来診療時間内,有
医療法人裕生会 丸山産婦人科医院,380-0822,長野市南千歳町982番地,026-226-4484,http://www.maruyamasanfujinka.com/,有,24時間365日処方可 (ただし夜間休日は加算あり)月~木 9:30-17:00金        9:30-12:30土        9:30-16:00,有
林産婦人科医院,381-0043,長野市吉田2丁目3-27,026-241-5855,https://www.hayashiclinic-go.com/,有,月・火・木  9:00-12:30、14:00-18:00水・金        9:00-12:30土             9:00-12:30、14:00-17:00,有
吉澤産婦人科医院,380-0904,長野市七瀬中町96,026-226-8475,http://www.yszw.com/,有,平日   9:00-12:30、15:00-18:00水・土 9:00-12:30,有
みゆき会クリニック,389-2232,飯山市下木島9番地,0120-801-030,https://dock.miyuki-g.or.jp/,有,月 12:45-15:30土 9:00-12:00、14:00-17:00日 10:00-13:00 (不定期に月2日),有
すずきレディスクリニック,383-0041,中野市岩船352番地1,0269-24-7887,,有,月・火・金 9:00-18:30水・木・土 9:00-12:30,有
びわレディースクリニック,380-0823,長野市南千歳1丁目1-1ながの東急百貨店本館6階,026-217-4232,https://biwa-ladies.jp/,有,平日(月・木・金) 9時-18時  (火・水休診)土日祝                9時-17時,有
野村ウィメンズクリニック,394-0027,岡谷市中央町3-1-36,0266-24-1103,,有,平日 8:30-18:00土     8:30-12:00,有
白木医院,399-8101,安曇野市三郷明盛1610-1,0263-77-2134,,有,(事前連絡要)火・水・木・金 9:00-11:30、14:00-16:00土                 9:00-11:30、14:00-15:30,有
松本市立病院,390-1401,松本市波田4417-180,0263-92-9027,hospi@city.matsumoto.lg.jp,有,平日 9:00-15:30,無(在庫は置かず院外
西澤産婦人科クリニック,395-0044,飯田市本町4丁目5番地,0265-24-3800,https://gyn.nishizawa-hp.jp,有,平日   9:00-12:00、14:00-17:30土       9:00-12:00,有
飯田市立病院,395-8502,飯田市八幡町438,0265-21-1255,https://www.imh.jp,有,平日  診療時間外             土・日  終日基本的には時間外の緊急時に対応(要事前連絡),有
医療法人暁会 仁愛病院,396-0026,伊那市西町4906,0265-78-3333,,有,火・水・木・金・土 9:00-12:00、13:30-18:00,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
わかばレディス&マタニティクリニック,390-0303,松本市浅間温泉1-24-5,0263-45-0103,https://www.wakaba-lc.jp/,有,月・火・木・金 10:00-13:00、15:00-17:30水        10:00-13:00土        10:00-13:00、15:00-16:30,有
諏訪赤十字病院,392-8510,諏訪市湖岸通り5丁目11番50号,0266-52-6111,https://www.suwa.jrc.or.jp,有,平日   8:30-17:00,有
長野県立信州医療センター,382-0091,須坂市須坂1332,026-245-1650,https://shinshumedicalcenter.jp,有,平日   8:45-17:00やむを得ない場合、時間外対応可能ですが、必ず事前に連絡をお願いします。,有
市立大町総合病院,398-0002,大町市大町3130番地,0261-22-0415,https://www.omachi-hospital.jp/,有,平日  8:30-17:00,有
