0,1,2,3,4,5,6,7
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
あき総合病院 掲載,784-0027,安芸市宝永町3-33,0887-34-3111,http://www.pref.kochi.lg.jp/aki/,有,平日 8:30~15:30,有
浅井産婦人科・内科,781-8132,高知市一宮東町1-7-7,088-846-3131,,有,平日 8:30~17:00木 8:30~12:00土 8:30~15:00,有
梅原産婦人科,781-0253,高知市瀬戸南町2-1-10,088-842-0700,,有,平日(月・火)9:00~18:00(水・金)9:00~19:00土 9:00~18:00日 9:00~12:00,有
高知大学医学部附属病院,783-8505,南国市岡豊町小蓮185-1,088-880-2383,http://www.kochi-u.ac.jp/kms/hsptl/index.html,有,月・火・木9:00~11:00,有
高知県・高知市病院企業団立高知医療センター,781-8555,高知市池2125-1,088-837-3000,https://www2.khsc.or.jp,有,常時(夜間休日は対応困難な場合あり),有
高知県立幡多けんみん病院,788-0785,宿毛市山奈町芳奈3-1,0880-66-2222,http://www.pref.kochi.lg.jp/hata/,有,平日 8:30~17:00,有
国見産婦人科,780-0870,高知市本町4-2-30,088-822-5954,www13.plala.or.jp/kunimi_baby/,有,月・火・木・土 9:00~13:0015:00~17:00水・日 休,有
高須どい産婦人科,781-8104,高知市高須2-18-17,088-882-1228,http://takasudoi.com/,有,平日 8:30~12:0014:00~16:00水曜日 8:30~12:30火・木 17:00~18:00診療しています,有
田村産婦人科,780-0862,高知市鷹匠町1-1-10,088-823-1110,info@tamura.or.jp,有,平日 9:00~17:20土曜 9:00~17:00祝祭日 9:00~11:30,有
基本情報,,,,,,,
施設名,郵便番号,住所,電話番号,ウェブサイトURL,産科、婦人科又は産婦人科の標榜の有無,医療機関における緊急避妊にかかる対面診療への対応可能時間帯,常時の緊急避妊薬の在庫の有無
愛宕病院,780-0051,高知市愛宕町1丁目1番13号,088-823-3301,http://atago-hp.or.jp,有,平日 8:00~17:00土曜 8:00~11:00,有
小林レディスクリニック,780-8018,高知市竹島町13-1うしおえメディカルビルイーア3F,088-805-1777,https://koba-lc.gr.jp,有,月・火・木・金 9:15~12:4515:00~18:45水 9:15~12:45土 9:15~12:4515:00~16:15,有
にこにこレディスクリニック,780-8085,高知市大谷公園町16-30,088-840-2525,,有,月・火・木・金 9:00~19:00水 9:00~13:00土 9:00~17:00,有
はまだ産婦人科,781-8104,高知市高須3丁目1-28,088-882-0777,www.hamada-hp.or.jp,有,平日 9:00~18:00木 9:00~12:30土 9:00~16:00,有
レディスクリニックコスモス,780-0072,高知市杉井流6番27号,088-861-6700,www.lccosmos.jp,有,(平日・土)9:00~18:00(水)9:00~13:00,有
内田産婦人科,780-0985,高知市南久万39-2,088-873-0010,,有,月・火・水・金 9:00~12:0014:00~16:30木・土 9:00~12:00,有
毛山病院,780-0806,高知市知寄町1丁目2-2,088-883-0515,https://keyama-clinic.com,有,月~水・金 8:30~17:30木 8:30~13:00土 8:30~16:30,有
山﨑病院,781-1301,高岡郡越知町越知甲2041-3,0889-26-1123,yamasaki@yamasaki.or.jp,無,平日 8:30~17:30土曜 8:30~12:30,有
